Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Guilherme,BRA,DF,RB Bragantino,21,2002,7.4,1,0,0,8,4,1,31,10,10,0,0,0,22,13,19,40.6
Luis Guilherme,BRA,"FW,DF",Palmeiras,17,2006,2.0,0,0,0,0,3,0,13,0,2,0,0,0,5,5,3,62.5
Zé Guilherme,BRA,DF,Grêmio,18,2005,2.5,0,0,0,4,4,0,6,7,7,0,0,0,16,5,4,55.6
Gustavinho,BRA,"MF,FW",RB Bragantino,19,2004,10.6,1,0,0,14,8,0,45,4,9,0,0,0,50,11,30,26.8
Gustavo,BRA,GK,Criciúma,30,1993,33.3,4,1,1,1,3,0,0,0,0,0,0,0,25,9,2,81.8
Luiz Gustavo,BRA,"DF,MF",Atl Goianiense,20,2003,0.8,0,0,0,3,1,0,1,1,0,0,0,0,4,3,1,75.0
Luiz Gustavo,BRA,MF,São Paulo,36,1987,23.8,3,0,0,34,27,0,10,29,26,0,0,0,105,14,13,51.9
Raul Gustavo,BRA,DF,Corinthians,24,1999,1.0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,4,20.0
Ryan Gustavo,BRA,MF,Corinthians,20,2003,5.8,2,0,0,15,6,0,3,7,14,0,0,0,21,3,6,33.3
Rafael Haller,URU,DF,Atl Goianiense,23,2000,0.6,0,0,0,0,0,0,3,2,1,0,0,0,5,4,2,66.7
Lucas Halter,BRA,DF,Botafogo (RJ),23,2000,15.0,4,0,0,19,6,0,0,11,10,0,1,0,48,18,21,46.2
Héctor,ESP,"FW,DF",Corinthians,28,1995,0.7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0
Thiago Heleno,BRA,DF,Ath Paranaense,35,1988,25.3,6,1,0,23,10,0,0,32,13,0,0,0,67,65,39,62.5
Helinho,BRA,"FW,MF",RB Bragantino,23,2000,12.2,4,0,0,16,14,1,71,10,6,0,0,0,75,8,18,30.8
Henrique,BRA,FW,São Paulo,17,2006,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
Bruno Henrique,BRA,"FW,MF",Flamengo,33,1990,23.0,6,0,0,44,57,11,24,12,16,2,0,0,82,43,42,50.6
Bruno Henrique,BRA,"MF,FW",Internacional,34,1989,21.2,5,0,0,50,20,1,60,16,28,0,0,0,95,24,22,52.2
Gustavo Henrique,BRA,DF,Corinthians,30,1993,16.4,8,1,1,13,7,1,2,19,10,0,0,0,46,52,23,69.3
Luiz Henrique,BRA,"FW,MF",Botafogo (RJ),23,2001,28.1,3,0,0,37,71,9,57,11,30,3,0,0,110,25,40,38.5
Matheus Henrique,BRA,"MF,FW",Cruzeiro,26,1997,13.5,4,0,0,18,22,2,21,7,15,0,0,0,72,10,10,50.0
Paulo Henrique,BRA,DF,Vasco da Gama,27,1996,28.0,6,0,0,40,25,0,88,46,62,0,0,0,162,19,22,46.3
