Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Jon Moncayola,ESP,MF,Osasuna,26,1998,32,26,2099,23.3,0,0,0,0,0,0,8,0,1.6,1.6,3.7,5.3,25,107,51,0.0,0.0,0.0,0.0,0.0,0.07,0.16,0.23,0.07,0.23
Gonzalo Montiel,ARG,"DF,MF",Sevilla,27,1997,6,1,113,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,2,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Gerard Moreno,ESP,FW,Villarreal,32,1992,17,6,721,8.0,3,2,5,0,3,3,0,0,4.2,1.8,3.6,5.5,19,53,60,0.37,0.25,0.62,0.0,0.25,0.53,0.45,0.98,0.23,0.69
Xavier Moreno,ESP,FW,Valladolid,19,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateu Morey,ESP,DF,Mallorca,24,2000,16,8,741,8.2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,17,17,32,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08
Ilaix Moriba,GUI,MF,Celta Vigo,21,2003,33,22,2132,23.7,1,1,2,1,0,0,9,1,1.7,1.7,1.5,3.2,34,119,64,0.04,0.04,0.08,0.04,0.08,0.07,0.06,0.14,0.07,0.14
Manu Morlanes,ESP,MF,Mallorca,25,1999,23,15,1338,14.9,0,0,0,0,0,0,7,0,0.6,0.6,0.3,0.9,16,88,39,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
Raúl Moro,ESP,"MF,FW",Valladolid,21,2002,33,26,2341,26.0,4,5,9,4,0,0,2,0,4.1,4.1,5.7,9.8,112,81,190,0.15,0.19,0.35,0.15,0.35,0.16,0.22,0.38,0.16,0.38
Cristhian Mosquera,ESP,DF,Valencia,20,2004,37,37,3319,36.9,1,0,1,1,0,0,6,0,0.4,0.4,0.0,0.4,35,123,6,0.03,0.0,0.03,0.03,0.03,0.01,0.0,0.01,0.01,0.01
Santiago Mouriño,URU,DF,Alavés,22,2002,25,20,1849,20.5,0,1,1,0,0,0,7,0,0.9,0.9,0.9,1.8,14,46,1,0.0,0.05,0.05,0.0,0.05,0.05,0.04,0.09,0.05,0.09
Abdul Mumin,GHA,DF,Rayo Vallecano,26,1998,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.6,0.6,0.2,0.8,12,40,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03
Aihen Muñoz,ESP,DF,Real Sociedad,26,1997,21,13,1098,12.2,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.4,26,38,28,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04
Álex Muñoz,ESP,DF,Las Palmas,30,1994,21,18,1415,15.7,3,0,3,3,0,0,3,0,0.9,0.9,0.5,1.4,15,45,53,0.19,0.0,0.19,0.19,0.19,0.05,0.03,0.09,0.05,0.09
Iker Muñoz,ESP,MF,Osasuna,21,2002,23,4,610,6.8,0,1,1,0,0,0,2,0,0.5,0.5,1.0,1.4,6,24,10,0.0,0.15,0.15,0.0,0.15,0.07,0.14,0.21,0.07,0.21
Javier Muñoz,ESP,"MF,DF",Las Palmas,29,1995,35,28,2588,28.8,1,3,4,1,0,0,5,0,1.3,1.3,2.5,3.7,36,108,91,0.03,0.1,0.14,0.03,0.14,0.04,0.09,0.13,0.04,0.13
Víctor Muñoz,ESP,"FW,DF",Real Madrid,21,2003,2,0,36,0.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,3,0,9,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,1.23,1.23
Vedat Muriqi,KVX,FW,Mallorca,30,1994,29,24,2058,22.9,7,2,9,5,2,3,1,2,9.7,7.3,2.2,9.5,23,30,103,0.31,0.09,0.39,0.22,0.31,0.42,0.1,0.52,0.32,0.41
Juan Musso,ARG,GK,Atlético Madrid,30,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matija Nastasić,SRB,DF,Leganés,31,1993,26,24,2110,23.4,1,0,1,1,0,0,3,0,0.1,0.1,0.1,0.2,1,59,0,0.04,0.0,0.04,0.04,0.04,0.0,0.01,0.01,0.0,0.01
Natan,BRA,DF,Betis,23,2001,31,23,2175,24.2,1,1,2,1,0,0,5,1,0.3,0.3,0.6,1.0,12,52,6,0.04,0.04,0.08,0.04,0.08,0.01,0.03,0.04,0.01,0.04
Pau Navarro,ESP,DF,Villarreal,19,2005,17,8,916,10.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,40,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Navarro,ESP,"MF,FW",Mallorca,22,2002,23,15,1278,14.2,1,0,1,1,0,0,3,0,2.0,2.0,1.9,3.9,45,51,85,0.07,0.0,0.07,0.07,0.07,0.14,0.14,0.28,0.14,0.28
