Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Donny van de Beek,NED,MF,Girona,27,1997,15.8,29,18,17,7,5,13,26,50.0,13,19,3,16,10,39,12,0
Luken Beitia,ESP,DF,Real Sociedad,20,2004,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Ismael Bekhoucha,MAR,"MF,DF",Getafe,19,2004,0.8,1,1,1,0,0,1,2,50.0,1,2,1,1,2,3,2,0
Héctor Bellerín,ESP,DF,Betis,29,1995,6.4,13,7,7,4,2,10,17,58.8,7,5,3,2,6,19,21,0
Jude Bellingham,ENG,MF,Real Madrid,21,2003,27.6,61,33,20,27,14,28,42,66.7,14,37,2,35,28,89,23,1
Fran Beltrán,ESP,MF,Celta Vigo,25,1999,26.9,50,35,24,21,5,24,56,42.9,32,26,6,20,26,76,34,4
Carlos Benavídez,URU,MF,Alavés,26,1998,5.4,19,14,10,6,3,6,11,54.5,5,5,2,3,8,27,14,1
Iker Benito,ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
Yuri Berchiche,ESP,DF,Athletic Club,34,1990,22.7,33,21,19,11,3,19,33,57.6,14,25,5,20,27,60,72,3
Álex Berenguer,ESP,"FW,MF",Athletic Club,29,1995,26.0,32,16,6,16,10,14,31,45.2,17,23,2,21,10,42,18,0
Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0
Juan Bernat,ESP,"DF,MF",Villarreal,31,1993,2.4,9,7,7,1,1,4,5,80.0,1,3,1,2,1,10,4,0
Juan Bernat,ESP,"MF,DF",Getafe,31,1993,7.8,19,13,9,5,5,7,12,58.3,5,9,3,6,2,21,12,0
Juan Berrocal,ESP,DF,Getafe,25,1999,11.8,14,7,10,4,0,10,14,71.4,4,6,3,3,15,29,59,0
Antonio Blanco,ESP,MF,Alavés,24,2000,30.3,67,40,23,37,7,32,83,38.6,51,30,7,23,42,109,48,1
Daley Blind,NED,DF,Girona,34,1990,30.9,49,27,26,19,4,31,48,64.6,17,32,9,23,32,81,94,2
Adama Boiro,ESP,"DF,FW",Athletic Club,22,2002,12.2,20,11,11,7,2,10,15,66.7,5,10,3,7,12,32,27,1
Enzo Boyomo,CMR,DF,Osasuna,22,2001,33.2,68,43,46,18,4,30,39,76.9,9,34,19,15,44,112,137,3
Enzo Boyomo,CMR,DF,Valladolid,22,2001,3.0,6,2,4,2,0,3,3,100.0,0,4,3,1,1,7,7,0
Darko Brašanac,SRB,MF,Leganés,32,1992,18.0,26,11,5,15,6,9,17,52.9,8,24,11,13,16,42,34,0
Abel Bretones,ESP,DF,Osasuna,23,2000,23.0,61,37,28,25,8,39,63,61.9,24,29,4,25,18,79,64,2
Tajon Buchanan,CAN,MF,Villarreal,25,1999,4.6,10,5,6,4,0,6,9,66.7,3,6,0,6,1,11,1,0
Ante Budimir,CRO,FW,Osasuna,33,1991,32.8,20,9,3,11,6,3,13,23.1,10,19,4,15,2,22,26,0
Manu Bueno,ESP,"MF,FW",Sevilla,20,2004,1.6,4,3,0,1,3,1,2,50.0,1,0,0,0,0,4,2,0
Endika Buján,ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Pau Cabanes,ESP,"MF,FW",Villarreal,19,2005,1.8,4,4,0,3,1,3,4,75.0,1,5,0,5,3,7,2,1
Pau Cabanes,ESP,"MF,FW",Alavés,19,2005,2.1,8,2,4,3,1,6,13,46.2,7,2,0,2,0,8,1,0
Leandro Cabrera,URU,DF,Espanyol,33,1991,31.9,40,23,29,8,3,19,33,57.6,14,35,25,10,30,70,199,2
Fernando Calero,ESP,"DF,MF",Espanyol,28,1995,7.9,18,10,13,4,1,8,12,66.7,4,16,9,7,16,34,50,1
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,21,2002,12.2,42,26,23,16,3,19,33,57.6,14,24,8,16,18,60,23,0
Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,12.6,9,3,2,5,2,4,6,66.7,2,8,1,7,4,13,16,0
José Campaña,ESP,MF,Las Palmas,31,1993,13.2,21,16,8,11,2,11,20,55.0,9,9,1,8,19,40,19,2
Peio Canales,ESP,"MF,FW",Athletic Club,19,2005,2.9,3,2,0,1,2,1,1,100.0,0,3,0,3,2,5,2,0
Antonio Candela,ITA,DF,Valladolid,24,2000,10.1,9,6,6,2,1,4,11,36.4,7,11,6,5,6,15,33,0
Sergi Canós,ESP,"MF,FW",Valencia,27,1997,4.1,11,7,3,4,4,4,10,40.0,6,6,1,5,5,16,5,0
Dani Cárdenas,ESP,GK,Rayo Vallecano,27,1997,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Irvin Cardona,MLT,"FW,MF",Espanyol,26,1997,6.7,8,5,2,4,2,6,16,37.5,10,5,1,4,4,12,10,0
