Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Antonio Blanco,ESP,MF,Alavés,24,2000,30.3,11,1,1,66,27,0,29,42,40,0,0,0,164,28,35,44.4
Daley Blind,NED,DF,Girona,34,1990,30.9,2,0,0,19,16,1,42,32,27,0,0,0,116,17,24,41.5
Adama Boiro,ESP,"DF,FW",Athletic Club,22,2002,12.2,3,0,0,13,8,1,31,12,11,0,0,0,45,16,9,64.0
Enzo Boyomo,CMR,DF,Osasuna,22,2001,33.2,5,0,0,43,8,0,2,44,43,0,0,0,121,29,35,45.3
Enzo Boyomo,CMR,DF,Valladolid,22,2001,3.0,0,0,0,3,0,0,0,1,2,0,0,0,11,3,5,37.5
Darko Brašanac,SRB,MF,Leganés,32,1992,18.0,4,0,0,38,13,4,11,16,11,1,0,0,61,20,38,34.5
Abel Bretones,ESP,DF,Osasuna,23,2000,23.0,3,0,0,25,32,3,85,18,37,0,1,0,106,20,17,54.1
Tajon Buchanan,CAN,MF,Villarreal,25,1999,4.6,2,0,0,12,20,5,16,1,5,0,0,0,26,3,3,50.0
Ante Budimir,CRO,FW,Osasuna,33,1991,32.8,4,0,0,47,35,15,6,2,9,6,0,0,54,136,132,50.7
Manu Bueno,ESP,"MF,FW",Sevilla,20,2004,1.6,0,0,0,2,3,0,1,0,3,0,0,0,6,0,1,0.0
Endika Buján,ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Pau Cabanes,ESP,"MF,FW",Villarreal,19,2005,1.8,0,0,0,4,7,0,6,3,4,1,0,0,6,1,2,33.3
Pau Cabanes,ESP,"MF,FW",Alavés,19,2005,2.1,1,0,0,5,5,0,12,0,2,0,0,0,11,1,3,25.0
Leandro Cabrera,URU,DF,Espanyol,33,1991,31.9,4,1,0,24,8,0,17,30,23,1,1,0,83,77,42,64.7
Fernando Calero,ESP,"DF,MF",Espanyol,28,1995,7.9,1,0,0,6,8,0,2,16,10,0,0,0,26,12,17,41.4
