Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
434,Hamari Traoré,ml MLI,DF,Paris FC,33-330,1992,9,9,680,7.6,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,8,24,23,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
435,Kevin Trapp,de GER,GK,Paris FC,35-168,1990,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
436,Heorhii Tsitaishvili,ge GEO,"FW,DF",Metz,25-035,2000,16,12,1007,11.2,2,1,3,2,0,0,0,0,1.0,1.0,3.0,4.0,34,9,69,0.18,0.09,0.27,0.18,0.27,0.09,0.27,0.36,0.09,0.36,Matches
437,Matthieu Udol,fr FRA,DF,Lens,29-278,1996,16,16,1428,15.9,0,5,5,0,0,0,1,0,1.1,1.1,5.4,6.5,34,54,67,0.00,0.32,0.32,0.00,0.32,0.07,0.34,0.41,0.07,0.41,Matches
438,Vanderson,br BRA,DF,Monaco,24-185,2001,8,5,437,4.9,0,2,2,0,0,0,3,0,0.1,0.1,1.8,1.9,11,24,32,0.00,0.41,0.41,0.00,0.41,0.02,0.36,0.39,0.02,0.39,Matches
439,Charles Vanhoutte,be BEL,MF,Nice,27-098,1998,12,11,938,10.4,0,2,2,0,0,0,5,0,0.0,0.0,0.4,0.4,6,56,16,0.00,0.19,0.19,0.00,0.19,0.00,0.04,0.04,0.00,0.04,Matches
440,Robinio Vaz,fr FRA,FW,Marseille,18-309,2007,14,3,379,4.2,4,2,6,4,0,0,2,0,2.3,2.3,0.8,3.1,5,4,36,0.95,0.47,1.42,0.95,1.42,0.55,0.20,0.74,0.55,0.74,Matches
441,Calvin Verdonk,id IDN,DF,Lille,28-241,1997,5,2,267,3.0,0,0,0,0,0,0,2,1,0.0,0.0,0.3,0.3,3,27,12,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.10,0.01,0.10,Matches
442,Arthur Vermeeren,be BEL,MF,Marseille,20-319,2005,9,6,532,5.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.2,7,32,10,0.00,0.17,0.17,0.00,0.17,0.01,0.03,0.04,0.01,0.04,Matches
443,Julián Vignolo,ar ARG,"MF,FW",Toulouse,19-016,2006,4,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
