Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Sérigné Diop,SEN,FW,Brest,20-225,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sofiane Diop,MAR,"MF,FW",Nice,25-197,2000,11.0,6,3,6,0,0,1,8,12.5,7,8,1,7,7,13,5,0
Andy Diouf,FRA,MF,Lens,22-220,2003,1.0,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0
Yehvann Diouf,SEN,GK,Nice,26-037,1999,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,0
Assane Dioussé,SEN,MF,Auxerre,28-094,1997,2.0,4,1,0,4,0,2,3,66.7,1,4,2,2,1,5,3,0
Harouna Djibrin,CMR,FW,Angers,19-048,2006,1.5,2,2,0,2,0,1,8,12.5,7,1,0,1,2,4,5,0
Lohann Doucet,FRA,MF,Paris FC,23-100,2002,1.3,1,0,1,0,0,1,2,50.0,1,1,1,0,0,1,3,2
Fodé Doucouré,MLI,"MF,FW",Le Havre,24-323,2001,7.4,21,13,8,7,6,8,13,61.5,5,13,1,12,4,25,12,0
Désiré Doué,FRA,"FW,MF",Paris S-G,20-203,2005,4.0,12,9,0,7,5,4,6,66.7,2,6,1,5,2,14,1,1
Guela Doué,CIV,DF,Strasbourg,23-067,2002,11.1,22,18,11,7,4,15,24,62.5,9,13,2,11,9,31,43,0
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,22-152,2003,10.2,9,6,2,4,3,3,5,60.0,2,6,3,3,12,21,22,0
Kamory Doumbia,MLI,MF,Brest,22-308,2003,10.1,30,19,4,18,8,8,23,34.8,15,15,0,15,9,39,2,1
Aron Dønnum,NOR,"MF,DF",Toulouse,27-247,1998,13.0,23,12,9,10,4,14,27,51.9,13,12,1,11,17,40,9,0
Simon Ebonog,CMR,MF,Le Havre,21-129,2004,6.1,19,12,9,8,2,5,5,100.0,0,12,4,8,6,25,9,0
Noah Edjouma,FRA,"MF,FW",Toulouse,20-080,2005,2.6,4,3,2,2,0,1,5,20.0,4,1,0,1,3,7,5,0
Odsonne Édouard,FRA,FW,Lens,27-341,1998,9.2,5,4,2,1,2,2,11,18.2,9,7,2,5,1,6,16,0
CJ Egan-Riley,ENG,DF,Marseille,22-355,2003,4.6,6,4,3,2,1,2,5,40.0,3,4,3,1,1,7,19,1
Jacques Ekomie,GAB,DF,Angers,22-126,2003,11.9,37,22,22,12,3,19,24,79.2,5,30,2,28,18,55,27,1
Breel Embolo,SUI,FW,Rennes,28-312,1997,9.5,15,10,2,8,5,1,5,20.0,4,7,2,5,4,19,6,0
Emanuel Emegha,NED,FW,Strasbourg,22-323,2003,4.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1
Emersonn,BRA,FW,Toulouse,21-160,2004,8.7,12,5,1,6,5,4,9,44.4,5,4,0,4,5,17,9,0
Julio Enciso,PAR,"MF,FW",Strasbourg,21-334,2004,6.7,5,3,3,2,0,3,5,60.0,2,8,0,8,1,6,5,1
Ansu Fati,ESP,"MF,FW",Monaco,23-053,2002,4.7,8,4,1,5,2,4,8,50.0,4,3,0,3,1,9,4,1
Abdoulaye Faye,SEN,DF,Lorient,21-092,2004,6.4,12,7,9,3,0,6,8,75.0,2,7,4,3,12,24,34,1
Matias Fernandez-Pardo,BEL,FW,Lille,20-323,2005,9.8,10,7,2,7,1,6,9,66.7,3,9,0,9,3,13,1,0
Jonathan Fischer,DEN,GK,Metz,24-044,2001,15.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
