Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Nicolas Cozza,FRA,DF,Nantes,26-349,1999,9.3,0,3,0,0.0,0.32,0.0,0.0,,22.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Charlie Cresswell,ENG,DF,Toulouse,23-128,2002,16.0,3,21,7,33.3,1.31,0.44,0.14,0.43,9.4,0,0,0,2.1,2.1,0.1,0.9,0.9
Kévin Danois,FRA,MF,Auxerre,21-178,2004,13.8,1,13,4,30.8,0.94,0.29,0.08,0.25,25.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Dante,BRA,DF,Nice,42-066,1983,1.5,0,2,1,50.0,1.29,0.65,0.0,0.0,24.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Mathys De Carvalho,FRA,MF,Lyon,20-236,2005,3.0,0,7,2,28.6,2.32,0.66,0.0,0.0,18.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Jeffrey De Lange,NED,GK,Marseille,27-266,1998,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Théo De Percin,MTQ,GK,Auxerre,24-324,2001,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Thibault De Smet,BEL,DF,Paris FC,27-201,1998,9.5,0,4,0,0.0,0.42,0.0,0.0,,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Romain Del Castillo,FRA,"FW,MF",Brest,29-269,1996,14.0,6,12,3,25.0,0.86,0.21,0.08,0.33,32.6,2,5,7,6.1,0.6,0.05,-0.1,0.4
Thomas Delaine,FRA,"DF,FW",Le Havre,33-274,1992,2.2,0,3,0,0.0,1.34,0.0,0.0,,19.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Ousmane Dembélé,FRA,FW,Paris S-G,28-222,1997,3.7,2,10,2,20.0,2.68,0.54,0.0,0.0,21.9,0,2,3,3.0,0.6,0.06,-1.0,-0.6
Jessy Deminguet,FRA,MF,Metz,27-350,1998,10.7,1,6,3,50.0,0.56,0.28,0.17,0.33,20.9,0,0,0,0.2,0.2,0.04,0.8,0.8
