Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
CJ Egan-Riley,ENG,DF,Marseille,22-355,2003,4.6,403,390,12,6,2,1,1,5,0,0,0,0,374,1,2
Jacques Ekomie,GAB,DF,Angers,22-126,2003,11.9,504,401,100,6,1,0,32,94,0,0,0,0,384,3,12
Breel Embolo,SUI,FW,Rennes,28-312,1997,9.5,161,159,1,0,0,1,2,0,0,0,0,0,119,1,5
Emanuel Emegha,NED,FW,Strasbourg,22-323,2003,4.6,43,41,2,0,0,0,0,0,0,0,0,0,35,0,2
Emersonn,BRA,FW,Toulouse,21-160,2004,8.7,118,116,1,0,0,0,6,0,0,0,0,0,82,1,8
Julio Enciso,PAR,"MF,FW",Strasbourg,21-334,2004,6.7,250,229,20,1,0,0,10,0,5,2,1,1,210,1,5
Ansu Fati,ESP,"MF,FW",Monaco,23-053,2002,4.7,167,162,5,1,0,0,2,2,0,0,0,0,136,0,6
Abdoulaye Faye,SEN,DF,Lorient,21-092,2004,6.4,357,324,33,8,0,1,0,1,0,0,0,0,314,0,1
Matias Fernandez-Pardo,BEL,FW,Lille,20-323,2005,9.8,316,309,7,0,2,0,31,1,6,2,2,0,246,0,19
Jonathan Fischer,DEN,GK,Metz,24-044,2001,15.2,644,538,105,27,0,0,0,0,0,0,0,0,541,1,0
Malick Fofana,BEL,FW,Lyon,20-267,2005,8.0,233,228,5,1,2,1,24,4,0,0,0,0,175,0,17
Rayan Fofana,FRA,FW,Lens,19-314,2006,5.0,88,78,9,0,0,0,2,1,0,0,0,0,61,1,2
Seko Fofana,CIV,MF,Rennes,30-230,1995,7.3,364,360,3,3,1,2,7,0,0,0,0,0,325,1,2
Przemysław Frankowski,POL,DF,Rennes,30-255,1995,9.0,501,419,81,11,0,5,49,60,10,9,0,0,383,1,24
Ismaëlo Ganiou,BFA,DF,Lens,20-284,2005,4.8,268,263,4,3,0,0,2,1,0,0,0,0,229,1,1
Ulisses Garcia,SUI,DF,Marseille,29-346,1996,2.3,100,81,19,4,0,0,1,15,0,0,0,0,90,0,0
Jean-Philippe Gbamin,CIV,DF,Metz,30-089,1995,15.2,1051,983,66,31,1,16,2,2,0,0,0,0,932,2,8
Yann Gboho,FRA,"MF,FW",Toulouse,24-343,2001,14.0,363,360,2,1,3,1,22,0,0,0,0,0,272,1,17
Willem Geubbels,FRA,FW,Paris FC,24-129,2001,6.4,123,101,21,1,1,0,6,0,0,0,0,0,82,1,5
Rachid Ghezzal,ALG,FW,Lyon,33-228,1992,1.6,76,66,10,2,0,0,11,0,5,4,0,0,53,0,1
Olivier Giroud,FRA,FW,Lille,39-084,1986,11.4,243,228,14,2,2,1,1,1,0,0,0,0,165,1,13
Martial Godo,ENG,"MF,DF",Strasbourg,22-284,2003,3.4,107,105,2,0,0,0,6,2,0,0,0,0,91,0,2
Maxima Goffi,FRA,DF,Lille,17-334,2008,0.4,28,22,6,1,0,0,1,5,0,0,0,0,22,0,1
Aleksandr Golovin,RUS,"FW,MF",Monaco,29-207,1996,7.3,276,265,8,4,1,0,7,1,2,1,0,0,214,3,7
André Gomes,POR,MF,Lille,32-146,1993,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Angel Gomes,ENG,MF,Marseille,25-114,2000,9.8,583,570,11,4,2,4,7,2,4,0,4,0,524,2,6
Rafael Gonçalves,POR,MF,Strasbourg,20-308,2005,2.7,177,175,1,1,1,1,1,0,0,0,0,0,160,1,4
Alimami Gory,MLI,"FW,MF",Paris FC,29-115,1996,3.0,61,57,4,0,1,0,3,3,0,0,0,0,55,0,3
Amine Gouiri,ALG,"FW,MF",Marseille,25-310,2000,4.2,119,103,16,3,1,0,13,0,12,5,3,0,94,0,2
Tiago Gouveia,POR,"DF,MF",Nice,24-188,2001,4.2,143,127,15,2,0,0,2,13,0,0,0,0,113,1,8
Jonathan Gradit,FRA,DF,Lens,33-029,1992,9.0,479,455,23,20,0,1,3,2,0,0,0,0,436,1,0
Mason Greenwood,ENG,"FW,MF",Marseille,24-083,2001,13.6,769,708,59,15,6,24,59,11,31,8,15,0,597,2,15
Dominik Greif,SVK,GK,Lyon,28-261,1997,12.0,456,382,73,33,0,0,0,0,0,0,0,0,375,1,0
Ismaël Guerti,FRA,MF,Metz,21-146,2004,0.3,23,20,3,3,0,2,1,0,0,0,0,0,19,0,0
Idrissa Guèye,SEN,FW,Metz,19-098,2006,1.5,16,12,4,0,0,0,0,0,0,0,0,0,8,0,0
Morgan Guilavogui,GUI,"MF,FW",Lens,27-288,1998,5.0,185,179,5,2,2,0,3,1,0,0,0,0,142,1,5
Daouda Guindo,MLI,DF,Brest,23-070,2002,5.8,260,210,49,4,0,3,11,45,0,0,0,0,205,1,5
Bahereba Guirassy,FRA,"FW,MF",Nantes,19-116,2006,7.7,192,185,6,0,0,0,16,5,0,0,0,0,117,1,12
Achraf Hakimi,MAR,DF,Paris S-G,27-049,1998,7.3,698,641,57,5,0,4,21,52,0,0,0,0,630,0,7
Adil Hamdani,FRA,FW,Lyon,16-336,2009,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
Pierre-Yves Hamel,FRA,FW,Paris FC,31-323,1994,0.9,9,7,2,0,0,0,0,0,0,0,0,0,6,0,0
Florent Hanin,ALG,DF,Angers,35-322,1990,4.5,202,166,36,5,0,1,10,31,0,0,0,0,157,0,2
Hans Hateboer,NED,DF,Rennes,31-348,1994,0.2,10,8,1,0,0,0,0,1,0,0,0,0,8,1,0
Hans Hateboer,NED,DF,Lyon,31-348,1994,2.5,139,123,16,1,0,2,8,15,0,0,0,0,112,0,2
Gauthier Hein,FRA,MF,Metz,29-138,1996,13.1,769,656,110,29,2,26,64,8,43,18,19,0,655,3,9
Lucas Hernández,FRA,DF,Paris S-G,29-312,1996,9.5,811,736,75,13,0,7,4,62,0,0,0,0,747,0,3
Santiago Hidalgo,ARG,"FW,MF",Toulouse,20-309,2005,2.7,67,65,2,0,0,1,4,1,0,0,0,0,48,0,1
Lukáš Hrádecký,FIN,GK,Monaco,36-029,1989,6.9,203,157,45,11,0,0,0,0,0,0,0,0,152,1,0
Kwon Hyeokkyu,KOR,MF,Nantes,24-285,2001,8.4,224,215,7,6,0,0,1,0,0,0,0,0,192,2,1
Hong Hyunseok,KOR,MF,Nantes,26-190,1999,3.2,88,77,11,2,2,0,14,0,8,6,2,0,59,0,3
Lucas Høgsberg,DEN,DF,Strasbourg,19-183,2006,9.3,611,564,45,14,0,1,0,8,0,0,0,0,563,2,3
Pierre Højbjerg,DEN,MF,Marseille,30-140,1995,12.5,1035,1008,23,16,3,8,5,4,0,0,0,0,957,4,7
Stanis Idumbo,BEL,"MF,DF",Monaco,20-177,2005,1.6,52,45,7,2,0,0,1,5,0,0,0,0,47,0,1
Hamza Igamane,MAR,"FW,MF",Lille,23-051,2002,4.8,135,129,5,0,2,1,5,2,0,0,0,0,98,1,3
Jonathan Ikone,FRA,"FW,MF",Paris FC,27-235,1998,2.6,69,64,3,0,0,0,2,0,0,0,0,0,59,2,3
