Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Jorge Cuenca,ESP,DF,Fulham,26-036,1999,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Josh Cullen,IRL,MF,Burnley,29-260,1996,16.2,2,10,6,60.0,0.62,0.37,0.2,0.33,20.2,0,0,0,0.9,0.9,0.09,1.1,1.1
Jair Cunha,BRA,DF,Nott'ham Forest,20-291,2005,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matheus Cunha,BRA,"MF,FW",Manchester Utd,26-210,1999,11.4,3,47,17,36.2,4.11,1.49,0.06,0.18,19.3,0,0,0,4.4,4.4,0.09,-1.4,-1.4
Diogo Dalot,POR,DF,Manchester Utd,26-280,1999,11.6,1,8,3,37.5,0.69,0.26,0.13,0.33,19.2,0,0,0,0.7,0.7,0.08,0.3,0.3
Mikkel Damsgaard,DEN,MF,Brentford,25-173,2000,11.5,1,11,5,45.5,0.96,0.44,0.09,0.2,19.7,1,0,0,1.0,1.0,0.09,0.0,0.0
Kevin Danso,AUT,DF,Tottenham,27-095,1998,5.5,0,1,0,0.0,0.18,0.0,0.0,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0
Karl Darlow,WAL,GK,Leeds United,35-076,1990,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ben Davies,WAL,DF,Tottenham,32-243,1993,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxim De Cuyper,BEL,"DF,FW",Brighton,25-001,2000,8.5,2,7,5,71.4,0.82,0.59,0.29,0.4,20.3,2,0,0,1.4,1.4,0.2,0.6,0.6
Liam Delap,ENG,FW,Chelsea,22-318,2003,3.9,0,12,5,41.7,3.1,1.29,0.0,0.0,17.7,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Sepp van den Berg,NED,DF,Brentford,24-003,2001,17.0,0,10,4,40.0,0.59,0.24,0.0,0.0,9.0,0,0,0,1.6,1.6,0.16,-1.6,-1.6
Justin Devenny,NIR,"MF,FW",Crystal Palace,22-073,2003,2.4,1,7,2,28.6,2.86,0.82,0.0,0.0,17.1,1,1,1,1.6,0.9,0.12,-0.6,-0.9
Kiernan Dewsbury-Hall,ENG,MF,Everton,27-108,1998,14.0,4,17,5,29.4,1.22,0.36,0.24,0.8,15.5,0,0,0,1.6,1.6,0.09,2.4,2.4
Bafodé Diakité,FRA,DF,Bournemouth,24-351,2001,13.5,0,1,0,0.0,0.07,0.0,0.0,,11.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Amad Diallo,CIV,"DF,MF",Manchester Utd,23-165,2002,13.4,2,28,8,28.6,2.09,0.6,0.07,0.25,16.0,0,0,0,3.7,3.7,0.13,-1.7,-1.7
Habib Diarra,SEN,MF,Sunderland,21-354,2004,4.1,0,6,1,16.7,1.45,0.24,0.0,0.0,19.4,0,0,0,0.6,0.6,0.1,-0.6,-0.6
Rúben Dias,POR,DF,Manchester City,28-223,1997,16.1,2,7,3,42.9,0.44,0.19,0.29,0.67,15.7,0,0,0,0.4,0.4,0.06,1.6,1.6
Tyler Dibling,ENG,FW,Everton,19-286,2006,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucas Digne,FRA,DF,Aston Villa,32-156,1993,11.2,0,7,3,42.9,0.63,0.27,0.0,0.0,21.1,3,0,0,0.4,0.4,0.06,-0.4,-0.4
Issa Diop,FRA,DF,Fulham,28-348,1997,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
El Hadji Malick Diouf,SEN,DF,West Ham,20-360,2004,15.4,0,12,1,8.3,0.78,0.06,0.0,0.0,22.8,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Matt Doherty,IRL,DF,Wolves,33-341,1992,5.0,0,3,0,0.0,0.6,0.0,0.0,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Jeremy Doku,BEL,"MF,FW",Manchester City,23-210,2002,10.4,1,15,8,53.3,1.44,0.77,0.07,0.13,14.2,0,0,0,1.4,1.4,0.09,-0.4,-0.4
Nicolás Domínguez,ARG,"FW,MF",Nott'ham Forest,27-178,1998,2.9,0,3,0,0.0,1.02,0.0,0.0,,19.4,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Gianluigi Donnarumma,ITA,GK,Manchester City,26-301,1999,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Patrick Dorgu,DEN,DF,Manchester Utd,21-058,2004,8.9,0,8,1,12.5,0.89,0.11,0.0,0.0,16.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Max Dowman,ENG,FW,Arsenal,15-357,2009,0.3,0,3,0,0.0,9.31,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Joél Drakes-Thomas,ENG,MF,Crystal Palace,16-197,2009,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Martin Dúbravka,SVK,GK,Burnley,36-342,1989,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lewis Dunk,ENG,DF,Brighton,34-032,1991,15.5,0,9,0,0.0,0.58,0.0,0.0,,18.1,2,0,0,0.6,0.6,0.06,-0.6,-0.6
Odsonne Édouard,FRA,FW,Crystal Palace,27-341,1998,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcus Edwards,ENG,"FW,MF",Burnley,27-020,1998,1.1,0,4,1,25.0,3.56,0.89,0.0,0.0,21.2,2,0,0,0.3,0.3,0.08,-0.3,-0.3
Hjalmar Ekdal,SWE,DF,Burnley,27-063,1998,9.9,0,4,1,25.0,0.4,0.1,0.0,0.0,10.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Hugo Ekitike,FRA,FW,Liverpool,23-186,2002,10.6,8,31,10,32.3,2.92,0.94,0.26,0.8,15.1,0,0,0,4.5,4.5,0.15,3.5,3.5
Anthony Elanga,SWE,"FW,MF",Newcastle Utd,23-240,2002,7.6,0,9,3,33.3,1.18,0.39,0.0,0.0,17.3,0,0,0,1.1,1.1,0.13,-1.1,-1.1
Harvey Elliott,ENG,"MF,FW",Liverpool,22-263,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Harvey Elliott,ENG,"MF,FW",Aston Villa,22-263,2003,1.1,0,3,0,0.0,2.76,0.0,0.0,,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Wataru Endo,JPN,"MF,DF",Liverpool,32-317,1993,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Romain Esse,ENG,FW,Crystal Palace,20-224,2005,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxime Estève,FRA,DF,Burnley,23-211,2002,15.9,0,6,1,16.7,0.38,0.06,0.0,0.0,10.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Evanilson,BRA,FW,Bournemouth,26-078,1999,12.7,2,29,9,31.0,2.28,0.71,0.07,0.22,11.9,0,0,0,4.1,4.1,0.14,-2.1,-2.1
Eberechi Eze,ENG,"MF,FW",Arsenal,27-177,1998,10.1,4,25,10,40.0,2.47,0.99,0.16,0.4,17.4,0,0,0,2.3,2.3,0.09,1.7,1.7
Eberechi Eze,ENG,MF,Crystal Palace,27-177,1998,0.9,0,6,2,33.3,6.51,2.17,0.0,0.0,32.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Bruno Fernandes,POR,MF,Manchester Utd,31-106,1994,16.4,5,42,10,23.8,2.56,0.61,0.07,0.3,20.5,4,2,4,7.0,3.9,0.09,-2.0,-0.9
Mateus Fernandes,POR,"MF,FW",West Ham,21-166,2004,12.7,2,11,2,18.2,0.86,0.16,0.18,1.0,22.9,0,0,0,0.9,0.9,0.09,1.1,1.1
Enzo Fernández,ARG,MF,Chelsea,24-340,2001,15.2,4,31,14,45.2,2.04,0.92,0.1,0.21,17.4,2,1,1,6.1,5.4,0.17,-2.1,-2.4
Zian Flemming,NED,FW,Burnley,27-144,1998,7.4,5,16,7,43.8,2.17,0.95,0.19,0.43,17.1,0,2,2,3.2,1.6,0.1,1.8,1.4
