Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Pedrinho,BRA,"FW,MF",América (MG),22,1999,19,9,968,10.8,4,2,6,4,0,0,3,0,2.6,2.6,1.6,4.2,65,41,95,0.37,0.19,0.56,0.37,0.56,0.24,0.15,0.39,0.24,0.39
Pedrinho,BRA,"MF,FW",Atlético Mineiro,23,1998,7,1,228,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,9,17,10,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.1,0.05,0.1
Pedrinho,BRA,FW,Flamengo,18,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro,BRA,FW,Flamengo,24,1997,24,12,1174,13.0,11,3,14,11,0,1,3,0,12.1,11.3,2.9,14.2,8,20,78,0.84,0.23,1.07,0.84,1.07,0.93,0.22,1.15,0.86,1.09
João Pedro,BRA,"DF,FW",Corinthians,25,1996,2,1,113,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Pedro Pepê,BRA,MF,Cuiabá,24,1998,30,27,2318,25.8,1,0,1,1,0,0,4,0,2.1,2.1,2.9,5.1,72,159,82,0.04,0.0,0.04,0.04,0.04,0.08,0.11,0.2,0.08,0.2
Peglow,BRA,"FW,MF",Atl Goianiense,20,2002,6,2,236,2.6,0,1,1,0,0,0,1,0,0.3,0.3,0.5,0.8,9,14,25,0.0,0.38,0.38,0.0,0.38,0.13,0.19,0.32,0.13,0.32
Pegorari,BRA,GK,Juventude,30,1991,13,13,1142,12.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Peixoto,BRA,FW,Ceará,26,1995,13,5,471,5.2,0,1,1,0,0,0,0,0,0.6,0.6,0.7,1.3,1,6,22,0.0,0.19,0.19,0.0,0.19,0.11,0.14,0.25,0.11,0.25
Douglas Pelé,BRA,"FW,DF",Goiás,22,1999,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12
Léo Pelé,BRA,DF,São Paulo,25,1996,29,28,2480,27.6,0,0,0,0,0,0,4,1,0.7,0.7,0.2,1.0,78,197,11,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03
Carlos de Pena,URU,"MF,FW",Internacional,29,1992,34,30,2634,29.3,5,6,11,3,2,3,6,0,5.1,2.7,7.4,10.1,56,210,123,0.17,0.21,0.38,0.1,0.31,0.17,0.25,0.43,0.09,0.35
Andreas Pereira,BRA,MF,Flamengo,26,1996,13,9,792,8.8,2,1,3,2,0,0,2,0,0.9,0.9,0.7,1.6,15,64,26,0.23,0.11,0.34,0.23,0.34,0.1,0.08,0.18,0.1,0.18
Egídio Pereira Júnior,BRA,"DF,MF",Coritiba,35,1986,21,13,1258,14.0,1,2,3,1,0,0,1,1,0.5,0.5,1.7,2.2,23,57,76,0.07,0.14,0.21,0.07,0.21,0.03,0.12,0.16,0.03,0.16
Léo Pereira,BRA,DF,Flamengo,26,1996,13,11,1112,12.4,0,1,1,0,0,0,4,0,0.7,0.7,1.6,2.3,22,76,9,0.0,0.08,0.08,0.0,0.08,0.06,0.13,0.19,0.06,0.19
Hernán Pérez,PAR,FW,Coritiba,32,1989,2,1,96,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,2,0,8,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13
Lucas Perri,BRA,GK,Botafogo (RJ),24,1997,4,3,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petterson,BRA,"FW,MF",Flamengo,18,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yan Phillipe,BRA,FW,Atlético Mineiro,17,2004,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11
