Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Jhon Chancellor,VEN,DF,Coritiba,30,1992,13.0,6,0.46,5,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Arthur Chaves,BRA,DF,Avaí,21,2001,16.5,4,0.24,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Renato Chaves,BRA,DF,Juventude,31,1990,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chico,BRA,"MF,FW",Juventude,30,1991,24.2,93,3.84,51,27,1,3,7,4,5,0.21,4,0,0,0,1,0
Christian,BRA,MF,Ath Paranaense,21,2000,4.8,12,2.52,9,0,1,1,0,1,0,0.0,0,0,0,0,0,0
Diego Churín,ARG,FW,Atl Goianiense,32,1989,26.5,63,2.37,48,1,1,6,7,0,8,0.3,8,0,0,0,0,0
Marcelo Cirino,BRA,FW,Ath Paranaense,30,1992,5.2,11,2.1,9,0,1,0,1,0,2,0.38,1,0,0,0,1,0
Léo Cittadini,BRA,"MF,FW",Ath Paranaense,27,1994,8.0,15,1.87,14,0,0,0,1,0,2,0.25,2,0,0,0,0,0
Luccas Claro,BRA,DF,Fluminense,30,1991,5.2,2,0.39,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Clayton,BRA,"FW,MF",Coritiba,23,1999,3.6,18,4.95,12,0,1,1,4,0,0,0.0,0,0,0,0,0,0
Cléber,BRA,FW,Ceará,25,1996,10.9,29,2.67,26,0,0,3,0,0,1,0.09,1,0,0,0,0,0
Jean Cléber,BRA,MF,Avaí,31,1990,9.6,32,3.33,26,0,2,0,2,2,1,0.1,1,0,0,0,0,0
Cleiton,BRA,DF,Flamengo,18,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Andrés Colorado,COL,MF,São Paulo,23,1998,3.4,8,2.34,8,0,0,0,0,0,1,0.29,1,0,0,0,0,0
Germán Conti,ARG,DF,América (MG),27,1994,18.4,13,0.71,10,0,0,2,0,1,0,0.0,0,0,0,0,0,0
Jonathan Copete,COL,FW,Avaí,34,1988,3.1,7,2.26,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Bruno Cortez,BRA,DF,Avaí,34,1987,27.0,37,1.37,27,3,2,1,4,0,2,0.07,2,0,0,0,0,0
Talles Costa,BRA,MF,São Paulo,19,2002,6.1,14,2.31,9,1,0,0,2,2,4,0.66,2,0,0,0,1,1
Lucas Crispim,BRA,"DF,MF",Fortaleza,27,1994,13.0,52,4.0,29,18,1,1,1,2,3,0.23,2,1,0,0,0,0
Daniel Cruz,BRA,"FW,DF",Botafogo (RJ),20,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tomás Cuello,ARG,FW,Ath Paranaense,21,2000,18.0,75,4.18,54,6,7,4,2,2,7,0.39,6,1,0,0,0,0
Víctor Cuesta,ARG,DF,Botafogo (RJ),33,1988,28.5,26,0.91,17,2,0,4,2,1,4,0.14,2,0,0,1,1,0
Andrés D'Alessandro,ARG,FW,Internacional,40,1981,0.8,5,6.34,2,2,1,0,0,0,1,1.27,0,0,1,0,0,0
Adailson Dadá,BRA,"MF,FW",Goiás,24,1997,27.9,72,2.58,38,14,4,3,13,0,10,0.36,6,2,0,2,0,0
Daniel,BRA,GK,Internacional,27,1994,23.0,3,0.13,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Danilo,BRA,MF,Palmeiras,20,2001,30.5,79,2.59,61,2,6,4,4,2,6,0.2,5,0,0,0,0,1
David,BRA,MF,Ceará,17,2004,0.1,1,8.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
David,BRA,FW,Internacional,26,1995,9.1,12,1.28,9,0,0,1,2,0,2,0.21,2,0,0,0,0,0
Kayke David,BRA,"FW,MF",Flamengo,19,2003,0.3,2,6.92,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Giorgian De Arrascaeta,URU,MF,Flamengo,27,1994,16.4,113,6.88,69,20,6,10,6,2,14,0.85,9,4,0,1,0,0
Denilson,BRA,MF,Cuiabá,20,2001,7.8,19,2.44,17,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Dentinho,BRA,FW,Ceará,33,1989,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dentinho,BRA,"FW,MF",Avaí,24,1997,3.2,13,4.12,9,0,2,0,2,0,0,0.0,0,0,0,0,0,0
Valentín Depietri,ARG,"FW,MF",Fortaleza,21,2000,2.6,8,3.08,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Deyverson,BRA,FW,Cuiabá,30,1991,14.1,38,2.7,28,0,2,5,3,0,2,0.14,1,0,1,0,0,0
DG,BRA,DF,Botafogo (RJ),20,2001,0.7,3,4.5,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
