Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
288,Mateus Gonçalves Martins,br BRA,"MF,FW",América (MG),28,1994,3,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,0,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
289,Matheus Gonçalves,br BRA,"FW,MF",Flamengo,17,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,3,4,0.00,0.00,0.00,0.00,0.00,0.29,0.36,0.65,0.29,0.65,Matches
290,Matheus Gonçalves,br BRA,"FW,MF",RB Bragantino,17,2005,12,4,462,5.1,0,1,1,0,0,0,3,0,0.9,0.9,0.9,1.8,33,23,36,0.00,0.19,0.19,0.00,0.19,0.18,0.17,0.36,0.18,0.36,Matches
291,Yony González,co COL,"FW,MF",Fluminense,28,1994,18,6,575,6.4,1,1,2,1,0,0,1,0,1.6,1.6,0.7,2.3,3,4,47,0.16,0.16,0.31,0.16,0.31,0.25,0.11,0.36,0.25,0.36,Matches
292,Roger Guedes,br BRA,"FW,MF",Corinthians,26,1996,15,15,1349,15.0,7,1,8,5,2,2,3,0,6.6,5.1,0.8,5.8,38,50,100,0.47,0.07,0.53,0.33,0.40,0.44,0.05,0.49,0.34,0.39,Matches
293,Guga,br BRA,DF,Fluminense,24,1998,22,16,1508,16.8,1,3,4,1,0,0,4,0,0.8,0.8,2.1,2.9,31,73,92,0.06,0.18,0.24,0.06,0.24,0.05,0.13,0.17,0.05,0.17,Matches
294,Guilherme,br BRA,MF,Goiás,31,1991,30,25,1851,20.6,6,6,12,2,4,4,7,1,5.6,2.5,3.2,5.6,20,102,87,0.29,0.29,0.58,0.10,0.39,0.27,0.15,0.43,0.12,0.27,Matches
295,Guilherme,br BRA,"FW,MF",Fortaleza,27,1995,30,16,1414,15.7,3,3,6,3,0,0,3,0,4.4,4.4,2.8,7.2,59,29,103,0.19,0.19,0.38,0.19,0.38,0.28,0.18,0.46,0.28,0.46,Matches
296,Guilherme,br BRA,"DF,MF",RB Bragantino,20,2002,9,1,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,11,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
297,Luis Guilherme,br BRA,"FW,MF",Palmeiras,16,2006,19,4,576,6.4,0,0,0,0,0,0,0,0,0.7,0.7,1.2,1.9,35,29,54,0.00,0.00,0.00,0.00,0.00,0.12,0.19,0.31,0.12,0.31,Matches
