Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Giovani Lo Celso,ARG,"MF,FW",Villarreal,26,1996,12.5,694,643,47,8,11,17,31,7,27,17,0,0,578,4,14
David López,ESP,DF,Girona,32,1989,18.4,1203,1138,62,48,0,5,0,3,0,0,0,0,1082,3,5
Diego López,ESP,GK,Rayo Vallecano,40,1981,1.1,29,21,8,0,0,0,0,0,0,0,0,0,22,0,0
Diego López,ESP,"FW,MF",Valencia,20,2002,5.0,151,149,1,1,2,1,12,0,0,0,0,0,101,1,7
Unai López,ESP,MF,Rayo Vallecano,26,1995,13.9,929,835,86,44,0,18,55,7,27,10,8,1,745,8,18
Anthony Lozano,HON,FW,Cádiz,29,1993,16.0,293,283,9,0,1,1,7,1,0,0,0,0,198,1,13
Pol Lozano,ESP,MF,Espanyol,22,1999,0.2,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0
José Luis Gayà,ESP,DF,Valencia,27,1995,30.1,1734,1344,378,51,2,13,213,285,42,9,25,0,1284,12,39
José Luis Morales,ESP,"FW,MF",Villarreal,35,1987,13.5,258,237,18,0,2,1,13,4,0,0,0,0,181,3,14
Andriy Lunin,UKR,GK,Real Madrid,23,1999,7.0,227,186,41,4,0,1,0,0,0,0,0,0,205,0,1
Awer Mabil,AUS,"MF,FW",Cádiz,26,1995,1.8,54,48,6,3,0,0,9,1,2,1,1,0,34,0,4
Darwin Machís,VEN,FW,Valladolid,29,1993,6.7,208,191,12,2,1,5,37,8,1,1,0,0,137,5,13
Pablo Maffeo,ESP,DF,Mallorca,25,1997,33.1,1221,967,248,7,2,9,123,241,0,0,0,0,819,6,39
Lisandro Magallán,ARG,DF,Elche,28,1993,10.0,391,370,19,17,0,1,1,1,0,0,0,0,325,2,3
Jon Magunazelaia,ESP,"MF,FW",Real Sociedad,21,2001,0.7,16,15,1,1,0,0,2,0,0,0,0,0,8,0,1
Nemanja Maksimović,SRB,MF,Getafe,27,1995,22.8,563,531,32,12,0,0,9,0,1,0,0,0,439,0,10
Hugo Mallo,ESP,DF,Celta Vigo,31,1991,24.0,1427,1187,234,34,1,10,67,200,0,0,0,0,1094,6,29
Mickael Malsa,MTQ,MF,Valladolid,26,1995,0.8,20,20,0,0,0,0,0,0,0,0,0,0,13,0,1
Giorgi Mamardashvili,GEO,GK,Valencia,21,2000,38.0,1086,740,342,103,0,3,0,0,0,0,0,0,697,4,1
Reinildo Mandava,MOZ,DF,Atlético Madrid,28,1994,20.6,1067,945,121,24,0,4,16,97,0,0,0,0,918,1,18
Aïssa Mandi,ALG,DF,Villarreal,30,1991,16.2,911,857,52,24,1,12,2,24,0,0,0,0,826,2,4
Marcão,BRA,DF,Sevilla,26,1996,4.2,217,209,6,5,0,3,0,0,0,0,0,0,187,2,3
