Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Bernardo,BRA,DF,Bochum,29,1995,21,19,1782,19.8,0,0,0,0,0,0,5,0,0.7,0.7,0.7,1.4,14,100,14,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07
Alexander Bernhardsson,SWE,"FW,MF",Holstein Kiel,25,1998,19,15,1263,14.0,7,2,9,7,0,0,3,0,4.1,4.1,1.3,5.5,25,33,72,0.5,0.14,0.64,0.5,0.64,0.29,0.1,0.39,0.29,0.39
Matúš Bero,SVK,MF,Bochum,28,1995,30,29,2565,28.5,5,2,7,5,0,1,11,0,4.0,3.0,3.7,6.7,29,143,111,0.18,0.07,0.25,0.18,0.25,0.14,0.13,0.27,0.11,0.24
Jan-Niklas Beste,GER,"FW,MF",Freiburg,25,1999,12,0,212,2.4,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.3,5,8,20,0.0,0.42,0.42,0.0,0.42,0.38,0.16,0.54,0.38,0.54
El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001,12,3,356,4.0,2,1,3,2,0,0,0,0,1.6,1.6,1.1,2.8,6,7,25,0.51,0.25,0.76,0.51,0.76,0.41,0.29,0.7,0.41,0.7
Tom Bischof,GER,"MF,FW",Hoffenheim,19,2005,31,30,2559,28.4,5,2,7,5,0,0,5,0,2.2,2.2,3.6,5.9,47,138,102,0.18,0.07,0.25,0.18,0.25,0.08,0.13,0.21,0.08,0.21
Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993,27,10,982,10.9,2,1,3,2,0,0,3,0,1.6,1.6,1.6,3.2,19,64,38,0.18,0.09,0.27,0.18,0.27,0.15,0.14,0.29,0.15,0.29
Myron Boadu,NED,FW,Bochum,23,2001,19,11,1042,11.6,9,1,10,8,1,1,2,0,7.7,6.9,1.1,8.0,12,18,70,0.78,0.09,0.86,0.69,0.78,0.67,0.1,0.76,0.6,0.69
Sacha Boey,FRA,DF,Bayern Munich,23,2000,13,6,593,6.6,0,2,2,0,0,0,1,0,0.1,0.1,1.2,1.3,18,39,63,0.0,0.3,0.3,0.0,0.3,0.02,0.18,0.2,0.02,0.2
Victor Boniface,NGA,FW,Leverkusen,23,2000,19,12,1008,11.2,8,1,9,8,0,1,2,0,7.8,7.1,1.1,8.1,26,23,61,0.71,0.09,0.8,0.71,0.8,0.7,0.1,0.8,0.63,0.73
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999,15,8,788,8.8,2,1,3,2,0,0,2,0,1.2,1.2,0.5,1.7,3,21,1,0.23,0.11,0.34,0.23,0.34,0.14,0.06,0.2,0.14,0.2
Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999,25,19,1646,18.3,2,0,2,2,0,0,1,0,1.5,1.5,1.1,2.6,10,41,44,0.11,0.0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14
Julian Brandt,GER,MF,Dortmund,28,1996,30,28,2303,25.6,5,10,15,5,0,0,1,0,4.8,4.8,8.5,13.2,61,149,199,0.2,0.39,0.59,0.2,0.59,0.19,0.33,0.52,0.19,0.52
Tim Breithaupt,GER,MF,Augsburg,22,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.0,0.75,0.75,0.0,0.75,0.04,0.29,0.33,0.04,0.33
Maximilian Breunig,GER,"FW,MF",Heidenheim,23,2000,13,2,350,3.9,2,0,2,1,1,1,0,0,3.4,2.7,0.2,2.9,5,7,13,0.51,0.0,0.51,0.26,0.26,0.89,0.05,0.94,0.68,0.74
Moritz Broschinski,GER,"FW,MF",Bochum,23,2000,33,15,1390,15.4,1,3,4,1,0,0,1,0,4.2,4.2,1.8,6.0,37,20,130,0.06,0.19,0.26,0.06,0.26,0.27,0.12,0.39,0.27,0.39
Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,21,2003,26,22,1947,21.6,3,6,9,3,0,0,2,0,2.2,2.2,5.1,7.3,45,63,119,0.14,0.28,0.42,0.14,0.42,0.1,0.24,0.34,0.1,0.34
Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,25,1998,12,3,400,4.4,2,2,4,2,0,0,0,0,2.3,2.3,0.6,2.9,16,16,41,0.45,0.45,0.9,0.45,0.9,0.52,0.15,0.66,0.52,0.66
Jacob Bruun Larsen,DEN,"MF,FW",Stuttgart,25,1998,15,3,414,4.6,1,0,1,1,0,0,1,0,0.6,0.6,1.2,1.8,19,19,40,0.22,0.0,0.22,0.22,0.22,0.13,0.27,0.39,0.13,0.39
Emi Buendía,ARG,MF,Leverkusen,27,1996,11,3,257,2.9,2,0,2,2,0,0,0,0,0.9,0.9,0.9,1.8,2,14,24,0.7,0.0,0.7,0.7,0.7,0.31,0.3,0.61,0.31,0.61
Marius Bülter,GER,"FW,DF",Hoffenheim,31,1993,25,22,1729,19.2,7,2,9,7,0,0,4,0,3.7,3.7,3.1,6.8,57,35,155,0.36,0.1,0.47,0.36,0.47,0.19,0.16,0.35,0.19,0.35
Jonathan Burkardt,GER,FW,Mainz 05,24,2000,29,28,2109,23.4,18,2,20,16,2,2,0,0,14.8,13.2,3.1,16.3,32,42,157,0.77,0.09,0.85,0.68,0.77,0.63,0.13,0.76,0.56,0.7
Oliver Burke,SCO,FW,Werder Bremen,27,1997,25,9,908,10.1,5,0,5,5,0,0,4,0,4.1,4.1,1.7,5.8,22,15,88,0.5,0.0,0.5,0.5,0.5,0.41,0.17,0.57,0.41,0.57
Marnon Busch,GER,"DF,MF",Heidenheim,29,1994,23,15,1396,15.5,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.5,22,63,43,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.1,0.02,0.1
Anthony Caci,FRA,DF,Mainz 05,27,1997,33,33,2684,29.8,1,7,8,1,0,0,6,0,3.1,3.1,6.6,9.7,45,133,152,0.03,0.23,0.27,0.03,0.27,0.1,0.22,0.32,0.1,0.32
Cole Campbell,USA,"MF,FW",Dortmund,18,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emre Can,GER,"DF,MF",Dortmund,30,1994,31,23,2105,23.4,3,0,3,1,2,2,4,1,2.0,0.4,0.7,1.1,20,116,12,0.13,0.0,0.13,0.04,0.04,0.08,0.03,0.11,0.02,0.05
Tiago Cardoso,LUX,GK,Gladbach,18,2006,5,4,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulie Ceesay,GAM,FW,St. Pauli,20,2004,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Julian Chabot,GER,DF,Stuttgart,26,1998,31,27,2269,25.2,3,1,4,3,0,0,11,1,2.0,1.8,0.5,2.4,7,108,5,0.12,0.04,0.16,0.12,0.16,0.08,0.02,0.1,0.07,0.09
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005,21,13,1130,12.6,0,0,0,0,0,0,2,1,0.3,0.3,0.4,0.7,4,69,2,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,21,2002,26,10,1013,11.3,1,3,4,1,0,0,2,0,2.6,2.6,2.9,5.5,20,52,73,0.09,0.27,0.36,0.09,0.36,0.23,0.26,0.49,0.23,0.49
Timothy Chandler,USA,DF,Eint Frankfurt,34,1990,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anrie Chase,JPN,DF,Stuttgart,20,2004,12,7,734,8.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,28,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Arthur Chaves,BRA,DF,Hoffenheim,23,2001,26,24,2185,24.3,1,0,1,1,0,0,8,0,0.8,0.8,0.1,0.9,10,57,13,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.04,0.03,0.04
Fabio Chiarodia,ITA,DF,Gladbach,19,2005,16,3,379,4.2,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,1,10,1,0.24,0.0,0.24,0.24,0.24,0.07,0.1,0.17,0.07,0.17
Carney Chukwuemeka,ENG,MF,Dortmund,20,2003,10,1,253,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.9,1.5,15,18,24,0.36,0.0,0.36,0.36,0.36,0.21,0.32,0.54,0.21,0.54
Alexis Claude-Maurice,FRA,"MF,FW",Augsburg,26,1998,28,25,2109,23.4,9,2,11,9,0,0,4,0,4.7,4.7,1.2,5.9,59,61,102,0.38,0.09,0.47,0.38,0.47,0.2,0.05,0.25,0.2,0.25
Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004,24,15,1489,16.5,1,1,2,1,0,0,4,0,0.8,0.8,1.0,1.8,30,63,42,0.06,0.06,0.12,0.06,0.12,0.05,0.06,0.11,0.05,0.11
Kingsley Coman,FRA,FW,Bayern Munich,28,1996,28,14,1282,14.2,5,4,9,5,0,0,0,0,4.3,4.3,3.3,7.6,66,45,215,0.35,0.28,0.63,0.35,0.63,0.3,0.23,0.53,0.3,0.53
Sirlord Conteh,GER,"FW,MF",Heidenheim,28,1996,29,4,892,9.9,1,1,2,1,0,0,2,0,2.1,2.1,2.6,4.7,29,19,75,0.1,0.1,0.2,0.1,0.2,0.21,0.26,0.47,0.21,0.47
Danny da Costa,GER,DF,Mainz 05,31,1993,25,25,2006,22.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,21,109,22,0.0,0.04,0.04,0.0,0.04,0.0,0.03,0.03,0.0,0.03
Yan Couto,BRA,"DF,FW",Dortmund,22,2002,21,8,895,9.9,0,0,0,0,0,0,5,0,0.3,0.3,0.9,1.2,46,68,83,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12
Tomáš Čvančara,CZE,FW,Gladbach,23,2000,28,7,831,9.2,2,0,2,2,0,0,5,1,3.8,3.8,0.9,4.7,15,23,50,0.22,0.0,0.22,0.22,0.22,0.41,0.1,0.51,0.41,0.51
Finn Dahmen,GER,GK,Augsburg,26,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Dähne,GER,GK,Holstein Kiel,30,1994,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
