Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Paul Hennrich,GER,MF,Hoffenheim,19,2005,0.1,3,2,0,0,0,0,0,0,0,0,0,0,2,1,0
Benjamin Henrichs,GER,DF,RB Leipzig,27,1997,10.4,476,413,62,5,1,3,19,57,0,0,0,0,360,1,13
Mario Hermoso,ESP,DF,Leverkusen,29,1995,3.3,249,235,13,3,0,3,5,4,0,0,0,0,213,1,0
Piero Hincapié,ECU,DF,Leverkusen,22,2002,29.7,2110,1944,159,33,2,7,37,83,0,0,0,0,1855,7,21
Adam Hložek,CZE,"FW,MF",Hoffenheim,22,2002,20.8,508,493,12,0,1,1,20,4,0,0,0,0,348,3,19
Nicolas Höfler,GER,MF,Freiburg,34,1990,8.8,376,370,4,3,0,0,1,0,0,0,0,0,325,2,7
Jonas Hofmann,GER,"MF,DF",Leverkusen,32,1992,4.0,191,181,9,0,1,0,5,2,4,1,0,0,167,1,0
Philipp Hofmann,GER,FW,Bochum,31,1993,25.3,694,673,16,0,2,2,10,1,0,0,0,0,441,5,12
Lucas Höler,GER,"FW,MF",Freiburg,30,1994,20.7,595,577,16,1,1,1,14,3,0,0,0,0,390,2,19
Benedict Hollerbach,GER,"FW,MF",Union Berlin,23,2001,28.2,674,660,13,0,3,4,73,2,0,0,0,0,441,1,54
Lewis Holtby,GER,MF,Holstein Kiel,33,1990,13.8,706,600,102,55,2,2,46,16,26,13,10,0,540,4,17
Gerrit Holtmann,PHI,"DF,FW",Bochum,29,1995,12.6,411,379,32,0,0,2,91,31,0,0,0,0,270,0,28
Franck Honorat,FRA,FW,Gladbach,27,1996,16.0,606,509,95,15,0,1,125,21,59,17,36,0,409,2,26
Mathias Honsak,AUT,"FW,DF",Heidenheim,27,1996,13.1,462,404,57,11,0,0,50,30,13,5,7,0,324,1,16
Timo Horn,GER,GK,Bochum,31,1993,13.0,499,358,140,42,0,0,0,0,0,0,0,0,284,1,0
Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989,29.0,912,714,195,60,0,0,0,0,0,0,0,0,687,3,0
Robin Hranáč,CZE,DF,Hoffenheim,24,2000,2.4,147,145,2,2,0,0,0,0,0,0,0,0,127,0,1
