Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Marc Pubill,ESP,DF,Atlético Madrid,22-186,2003,4.3,206,242,85.1,3645,1426,91,94,96.8,97,110,88.2,16,28,57.1,1,0.2,0.2,0.8,2,14,2,1,9
Dani Raba,ESP,"FW,MF",Valencia,30-055,1995,2.8,84,114,73.7,1681,464,31,42,73.8,40,45,88.9,11,18,61.1,1,0.4,0.4,0.6,2,12,4,0,22
Ionuț Radu,ROU,GK,Celta Vigo,28-209,1997,17.0,357,486,73.5,8659,5836,86,86,100.0,174,180,96.7,78,201,38.8,0,0.0,0.0,0.0,0,4,1,0,0
Antonio Raillo,ESP,DF,Mallorca,34-076,1991,17.0,701,806,87.0,13428,4343,220,241,91.3,412,441,93.4,61,105,58.1,1,0.3,0.3,0.7,5,34,0,0,47
Largie Ramazani,BEL,"FW,MF",Valencia,24-299,2001,1.6,38,55,69.1,585,195,17,25,68.0,18,23,78.3,1,3,33.3,1,0.6,0.4,0.4,2,4,1,0,7
Raphinha,BRA,"FW,MF",Barcelona,29-009,1996,7.8,305,386,79.0,4979,1161,159,178,89.3,104,126,82.5,29,55,52.7,3,2.6,3.9,0.4,21,24,12,2,30
Marcus Rashford,ENG,FW,Barcelona,28-053,1997,11.8,417,538,77.5,6274,1475,233,261,89.3,135,175,77.1,28,62,45.2,6,3.1,3.1,2.9,28,10,23,2,38
Giacomo Raspadori,ITA,"FW,MF",Atlético Madrid,25-308,2000,2.4,71,96,74.0,1203,215,34,42,81.0,29,37,78.4,6,11,54.5,1,0.7,0.6,0.3,4,3,2,0,6
Andrei Ratiu,ROU,DF,Rayo Vallecano,27-186,1998,16.0,693,861,80.5,10925,3280,372,409,91.0,269,323,83.3,38,77,49.4,1,2.8,1.8,-1.8,18,38,18,7,65
Raúl,ESP,FW,Osasuna,25-050,2000,6.6,93,133,69.9,1180,242,57,81,70.4,23,30,76.7,5,6,83.3,0,0.3,0.7,-0.3,5,3,4,1,9
Abde Rebbach,ALG,MF,Alavés,27-134,1998,8.0,194,287,67.6,3087,801,110,129,85.3,62,85,72.9,16,46,34.8,0,1.3,1.3,-1.3,13,18,5,2,24
Federico Redondo,ARG,MF,Elche,22-339,2003,0.2,19,23,82.6,248,77,11,13,84.6,8,9,88.9,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Alejandro Rego,ESP,MF,Athletic Club,22-195,2003,4.5,152,189,80.4,2543,652,77,92,83.7,57,65,87.7,14,19,73.7,0,0.2,0.2,-0.2,4,17,2,0,20
Alberto Reina,ESP,MF,Oviedo,28-105,1997,8.7,319,395,80.8,5595,1747,149,169,88.2,128,153,83.7,34,54,63.0,0,0.6,0.7,-0.6,7,23,5,2,48
Vitor Reis,BRA,DF,Girona,19-345,2006,14.9,753,822,91.6,13581,4647,303,320,94.7,376,393,95.7,65,90,72.2,0,0.9,0.2,-0.9,4,32,2,0,57
Álex Remiro,ESP,GK,Real Sociedad,30-274,1995,17.0,477,625,76.3,13339,9751,102,103,99.0,215,218,98.6,160,301,53.2,0,0.1,0.0,-0.1,3,24,0,0,2
Oriol Rey,ESP,MF,Levante,27-301,1998,8.3,272,325,83.7,4565,1341,132,146,90.4,108,123,87.8,27,39,69.2,0,0.1,0.2,-0.1,2,25,3,2,19
