Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Gabriel Osho,NGA,DF,Auxerre,25.0,1998.0,18.4,944,132,484,417,48,11,944,7,4,57.1,2,28.6,539,2461,1294,12,4,0,7,3,613,2
Jibril Othman,TUN,FW,Saint-Étienne,20.0,2004.0,0.1,1,0,0,1,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,0,0
Abdoul Ouattara,FRA,"DF,FW",Strasbourg,18.0,2005.0,5.2,251,16,70,115,68,7,251,4,2,50.0,2,50.0,119,554,225,7,4,4,7,4,164,14
Kassoum Ouattara,FRA,"DF,FW",Monaco,19.0,2004.0,4.3,274,4,56,131,88,9,274,15,5,33.3,9,60.0,137,734,399,15,3,4,12,7,151,35
Zinédine Ould Khaled,FRA,MF,Angers,24.0,2000.0,3.8,167,11,58,92,18,5,167,3,0,0.0,3,100.0,82,381,129,2,1,1,4,3,106,5
Beres Owusu,FRA,DF,Saint-Étienne,20.0,2003.0,1.0,44,5,15,19,10,1,44,0,0,,0,,19,84,32,0,2,0,1,1,20,0
Elisha Owusu,GHA,MF,Auxerre,26.0,1997.0,26.0,1097,46,300,670,140,5,1097,23,9,39.1,13,56.5,521,1958,698,8,10,2,26,24,566,33
Willian Pacho,ECU,DF,Paris S-G,22.0,2001.0,23.7,2223,244,921,1269,43,8,2223,7,2,28.6,4,57.1,1399,5986,2592,3,3,0,15,4,1697,1
Nicolas Pallois,FRA,DF,Nantes,36.0,1987.0,22.4,1192,191,653,502,45,2,1192,7,3,42.9,4,57.1,570,2589,1201,6,3,1,8,3,626,5
Nicolas Pays,FRA,"FW,MF",Montpellier,20.0,2003.0,5.0,247,3,21,87,148,17,247,26,10,38.5,15,57.7,170,1399,618,21,20,5,8,13,188,53
Kévin Pedro,FRA,DF,Saint-Étienne,18.0,2006.0,0.1,17,4,8,8,1,0,17,1,1,100.0,0,0.0,8,60,38,2,0,0,0,0,4,1
Jordan Pefok,USA,FW,Reims,28.0,1996.0,4.2,90,6,18,37,35,17,90,4,2,50.0,1,25.0,52,196,75,3,0,1,6,8,58,7
Théo Pellenard,FRA,DF,Auxerre,30.0,1994.0,0.5,28,6,13,8,7,0,28,0,0,,0,,7,25,17,1,0,0,1,0,11,1
Timothee Pembele,FRA,DF,Le Havre,21.0,2002.0,12.4,680,45,254,291,145,20,680,29,15,51.7,12,41.4,368,2140,1066,27,14,4,19,12,398,44
Faris Pemi Moumbagna,CMR,FW,Marseille,24.0,2000.0,0.1,0,0,0,0,0,0,0,0,0,,0,,1,2,0,0,0,0,0,1,1,0
Óscar Perea,COL,"MF,DF",Strasbourg,18.0,2005.0,0.2,13,0,0,6,7,0,13,2,2,100.0,0,0.0,8,84,38,1,0,0,2,0,10,4
Mathias Pereira Lage,POR,"FW,MF",Brest,27.0,1996.0,17.5,714,24,120,277,324,37,714,28,10,35.7,17,60.7,317,1874,824,32,17,9,38,18,387,100
