Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Josué Casimir,HAI,"FW,MF",Le Havre,22.0,2001.0,22.2,5,0,0,28,46,8,85,7,26,3,0,0,83,9,23,28.1
Cristian Cásseres Jr.,VEN,MF,Toulouse,24.0,2000.0,30.0,11,0,0,53,46,1,80,42,61,0,0,0,172,24,17,58.5
Jean-Charles Castelletto,CMR,"DF,MF",Nantes,29.0,1995.0,29.1,5,1,0,34,15,0,9,25,17,0,3,1,91,51,27,65.4
Enzo Caumont,FRA,MF,Angers,20.0,2004.0,0.4,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,50.0
Fabien Centonze,FRA,DF,Nantes,28.0,1996.0,2.9,0,0,0,2,2,1,11,2,4,0,0,1,8,6,4,60.0
Brendan Chardonnet,FRA,DF,Brest,29.0,1994.0,26.8,6,0,0,36,20,0,3,29,33,0,0,1,91,58,38,60.4
Jhoanner Chávez,ECU,"DF,MF",Lens,22.0,2002.0,6.6,1,0,0,10,8,2,30,6,5,0,1,0,25,7,5,58.3
Théo Chennahi,FRA,DF,Montpellier,19.0,2005.0,2.0,2,0,0,3,2,0,2,2,3,0,0,0,11,1,2,33.3
Sidiki Cherif,FRA,FW,Angers,17.0,2006.0,3.6,0,0,0,4,8,5,4,0,5,0,0,0,10,3,16,15.8
Rayan Cherki,FRA,"FW,MF",Lyon,20.0,2003.0,22.7,3,0,0,16,34,3,118,7,12,0,0,0,83,4,8,33.3
Lucas Chevalier,FRA,GK,Lille,22.0,2001.0,34.0,0,0,0,0,7,0,0,0,2,0,0,0,70,6,0,100.0
Pedro Chirivella,ESP,MF,Nantes,27.0,1997.0,26.1,6,0,0,25,16,0,19,19,29,0,0,0,116,10,14,41.7
Joris Chotard,FRA,MF,Montpellier,22.0,2001.0,21.0,5,0,0,16,10,1,30,19,27,0,1,0,90,16,11,59.3
Djaoui Cissé,FRA,MF,Rennes,20.0,2004.0,12.5,4,0,0,25,14,0,3,13,18,0,0,0,78,4,13,23.5
Yoann Cissé,FRA,MF,Auxerre,19.0,2004.0,0.1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,
Jonathan Clauss,FRA,"DF,MF",Nice,31.0,1992.0,25.6,7,0,0,26,12,1,190,48,35,1,0,0,114,16,11,59.3
Marcus Coco,FRA,DF,Nantes,28.0,1996.0,10.6,3,2,0,30,17,0,28,11,21,0,0,0,42,17,13,56.7
Alois Confais,FRA,MF,Le Havre,27.0,1996.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,
Francis Coquelin,FRA,MF,Nantes,33.0,1991.0,2.5,1,0,0,7,1,0,0,6,5,0,0,0,8,3,0,100.0
Derek Cornelius,CAN,DF,Marseille,26.0,1997.0,15.8,9,2,2,25,14,0,4,14,17,0,1,0,67,32,13,71.1
Pierre Cornud,FRA,DF,Saint-Étienne,27.0,1996.0,6.4,2,0,0,10,3,1,14,9,10,0,1,0,33,3,4,42.9
David Costa,POR,"MF,FW",Lens,23.0,2001.0,3.9,0,1,0,3,4,0,15,1,0,1,0,0,10,0,2,0.0
Logan Costa,CPV,DF,Toulouse,23.0,2001.0,1.0,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7
Grégoire Coudert,FRA,GK,Brest,25.0,1999.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Lasso Coulibaly,CIV,"FW,MF",Auxerre,21.0,2002.0,0.5,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0.0
Mamadou Coulibaly,FRA,MF,Monaco,20.0,2004.0,0.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
Soumaïla Coulibaly,FRA,DF,Brest,20.0,2003.0,4.9,1,0,0,12,1,0,0,5,2,1,0,0,19,8,6,57.1
Tanguy Coulibaly,FRA,"FW,MF",Montpellier,23.0,2001.0,16.5,4,2,1,45,21,3,21,11,24,0,1,0,70,19,23,45.2
