Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Mayckel Lahdo,SWE,FW,AZ Alkmaar,21.0,2002.0,9.7,226,287,78.7,3529,598,122,141,86.5,81,94,86.2,16,26,61.5,1,2.0,2.3,-1.0,16,8,14,5,23
Boris lambert,BEL,"MF,DF",Willem II,24.0,2000.0,16.6,522,666,78.4,9524,3178,222,253,87.7,238,277,85.9,53,105,50.5,0,0.1,0.4,-0.1,5,64,5,1,63
Sam Lammers,NED,FW,Twente,27.0,1997.0,16.7,282,418,67.5,3827,843,173,233,74.2,80,118,67.8,12,23,52.2,1,2.5,3.0,-1.5,13,18,12,1,39
Kostas Lamprou,GRE,GK,NAC Breda,32.0,1991.0,1.0,43,56,76.8,1270,912,5,5,100.0,24,24,100.0,14,26,53.8,0,0.0,0.0,0.0,0,1,0,0,1
Tygo Land,NED,MF,PSV Eindhoven,18.0,2006.0,0.4,42,45,93.3,581,149,22,24,91.7,18,18,100.0,0,0,,0,0.0,0.0,0.0,0,4,0,0,3
Noa Lang,NED,FW,PSV Eindhoven,25.0,1999.0,21.0,901,1168,77.1,14157,4229,506,586,86.3,298,383,77.8,71,114,62.3,10,6.1,9.6,3.9,59,69,66,14,148
Tobias Lauritsen,NOR,FW,Sparta R'dam,26.0,1997.0,30.1,371,638,58.2,4753,1009,228,366,62.3,95,169,56.2,10,14,71.4,2,2.6,2.6,-0.6,31,32,15,0,54
James Lawrence,WAL,DF,Almere City,31.0,1992.0,19.5,724,854,84.8,13505,4608,258,286,90.2,386,420,91.9,65,117,55.6,1,0.6,1.1,0.4,9,55,3,0,56
Richy Ledezma,USA,DF,PSV Eindhoven,23.0,2000.0,19.0,1500,1675,89.6,24294,6620,754,788,95.7,631,699,90.3,86,128,67.2,1,1.9,2.7,-0.9,22,153,35,16,169
Clint Leemans,NED,MF,NAC Breda,28.0,1995.0,18.8,653,863,75.7,10831,3469,311,365,85.2,229,286,80.1,75,138,54.3,4,4.5,3.5,-0.5,48,73,14,3,79
Julian Lelieveld,NED,"DF,MF",RKC Waalwijk,26.0,1997.0,23.9,941,1146,82.1,17859,7393,342,387,88.4,499,569,87.7,92,158,58.2,0,0.9,1.4,-0.9,18,90,20,7,109
Bryan Limbombe,BEL,"MF,FW",Heracles Almelo,23.0,2001.0,4.2,67,100,67.0,967,303,43,52,82.7,21,36,58.3,3,8,37.5,0,0.5,0.7,-0.5,3,3,2,1,5
Marcus Linday,SWE,MF,Heerenveen,21.0,2003.0,14.0,567,679,83.5,8892,2198,284,331,85.8,234,262,89.3,30,47,63.8,2,0.9,1.3,1.1,8,64,10,2,80
Bryan Linssen,NED,FW,NEC Nijmegen,33.0,1990.0,9.0,66,126,52.4,862,252,45,70,64.3,17,34,50.0,1,5,20.0,0,0.2,0.5,-0.2,3,6,2,0,9
Evert Linthorst,NED,MF,Go Ahead Eag,24.0,2000.0,27.9,1314,1538,85.4,23345,6526,591,641,92.2,550,622,88.4,144,208,69.2,3,2.2,2.9,0.8,24,154,42,6,173
Enric Llansana,NED,MF,Go Ahead Eag,23.0,2001.0,30.2,1335,1668,80.0,23199,7668,640,756,84.7,537,635,84.6,126,198,63.6,3,3.4,4.3,-0.4,20,160,32,5,171
