Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Senne Lynen,BEL,MF,Werder Bremen,26-307,1999,13.6,546,631,86.5,9833,3091,226,256,88.3,257,281,91.5,50,63,79.4,0,0.2,0.5,-0.2,5,45,4,1,49
Koki Machida,JPN,DF,Hoffenheim,28-120,1997,0.5,32,36,88.9,634,285,13,13,100.0,14,14,100.0,4,8,50.0,0,0.0,0.0,0.0,0,1,1,0,1
Shuto Machino,JPN,"FW,MF",Gladbach,26-084,1999,6.6,116,169,68.6,1695,500,69,85,81.2,33,48,68.8,7,13,53.8,0,0.4,1.0,-0.4,8,8,3,0,8
Arne Maier,GER,DF,Augsburg,26-349,1999,0.0,5,8,62.5,74,18,3,5,60.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Linton Maina,GER,"FW,DF",Köln,26-183,1999,3.1,91,112,81.3,1580,433,41,41,100.0,39,48,81.3,9,13,69.2,0,0.1,0.6,-0.1,3,10,5,1,21
Patrick Mainka,GER,DF,Heidenheim,31-047,1994,15.0,581,653,89.0,11230,3496,161,176,91.5,372,401,92.8,43,63,68.3,1,0.7,0.6,0.3,4,26,1,0,40
Lovro Majer,CRO,MF,Wolfsburg,27-340,1998,8.4,250,308,81.2,4050,1193,115,128,89.8,109,124,87.9,15,26,57.7,2,1.1,1.1,0.9,15,29,7,2,40
Jordy Makengo,FRA,DF,Freiburg,24-142,2001,7.3,256,324,79.0,4202,1139,117,137,85.4,121,146,82.9,12,29,41.4,0,0.3,0.5,-0.3,3,20,5,4,22
Andrija Maksimović,SRB,"MF,FW",RB Leipzig,18-201,2007,0.9,41,44,93.2,765,124,19,19,100.0,17,19,89.5,4,5,80.0,0,0.1,0.1,-0.1,2,5,0,0,3
Said El Mala,GER,"FW,MF",Köln,19-119,2006,7.6,113,173,65.3,1708,303,63,78,80.8,40,57,70.2,7,15,46.7,2,1.3,1.2,0.7,7,3,5,2,9
