Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Denilho Cleonise,NED,"FW,MF",RKC Waalwijk,21.0,2001.0,20.0,16,9,4,5,7,8,14,57.1,6,15,0,15,12,28,5,0
Iñigo Córdoba,ESP,"FW,MF",Fortuna Sittard,26.0,1997.0,29.2,92,62,46,31,15,37,85,43.5,48,63,6,57,42,134,24,0
Enzo Cornelisse,NED,"DF,MF",Vitesse,20.0,2003.0,17.1,30,16,15,14,1,19,39,48.7,20,15,4,11,17,47,37,1
Milan Corryn,BEL,"MF,FW",Almere City,24.0,1999.0,1.8,4,3,3,0,1,4,5,80.0,1,4,2,2,3,7,3,0
George Cox,ENG,"DF,MF",Volendam,25.0,1998.0,21.3,44,29,30,9,5,29,65,44.6,36,27,12,15,36,80,66,1
Vito van Crooij,NED,FW,Sparta R'dam,27.0,1996.0,2.9,3,1,3,0,0,3,4,75.0,1,3,1,2,2,5,5,0
Alessio da Cruz,CPV,"FW,MF",Fortuna Sittard,26.0,1997.0,4.5,3,3,2,1,0,0,1,0.0,1,2,0,2,1,4,1,0
Lennart-Marten Czyborra,GER,DF,Zwolle,24.0,1999.0,1.7,1,0,1,0,0,0,3,0.0,3,0,0,0,1,2,3,0
Tiago Dantas,POR,MF,AZ Alkmaar,22.0,2000.0,7.7,14,8,4,6,4,7,16,43.8,9,5,3,2,3,17,5,0
Brian De Keersmaecker,BEL,MF,Heracles Almelo,23.0,2000.0,32.8,83,57,56,21,6,42,92,45.7,50,69,26,43,48,131,64,1
Jeffrey De Lange,NED,GK,Go Ahead Eag,25.0,1998.0,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2
Mats Deijl,NED,DF,Go Ahead Eag,26.0,1997.0,30.9,54,40,21,27,6,31,56,55.4,25,25,7,18,18,72,105,0
Maxim Dekker,NED,DF,AZ Alkmaar,19.0,2004.0,0.9,4,2,2,2,0,4,4,100.0,0,0,0,0,3,7,4,0
Caner Demircioglu,NED,FW,Volendam,21.0,2002.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Thomas van den Belt,NED,MF,Feyenoord,22.0,2001.0,3.0,8,5,6,0,2,4,5,80.0,1,5,0,5,2,10,2,0
Branco van den Boomen,NED,MF,Ajax,28.0,1995.0,11.9,21,11,6,12,3,11,24,45.8,13,20,4,16,8,29,8,2
Damian van der Haar,NED,DF,Zwolle,19.0,2004.0,3.2,6,3,5,1,0,5,9,55.6,4,6,2,4,6,12,9,0
Mickey van der Hart,NED,GK,Heerenveen,29.0,1994.0,12.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0
Mike van der Hoorn,NED,DF,Utrecht,30.0,1992.0,18.5,27,18,18,9,0,18,29,62.1,11,16,5,11,14,41,70,0
Djevencio van der Kust,SUR,DF,Sparta R'dam,22.0,2001.0,27.8,57,36,36,17,4,23,58,39.7,35,46,18,28,35,92,85,2
Mark van der Maarel,NED,DF,Utrecht,33.0,1989.0,8.3,13,5,8,3,2,4,14,28.6,10,9,3,6,5,18,30,0
Silvester van der Water,NED,"FW,MF",Zwolle,26.0,1996.0,6.4,15,9,9,4,2,9,16,56.3,7,9,2,7,5,20,8,0
Anthony Descotte,BEL,FW,Utrecht,19.0,2003.0,2.3,3,3,0,1,2,1,4,25.0,3,4,0,4,1,4,1,0
Sergiño Dest,USA,DF,PSV Eindhoven,22.0,2000.0,23.5,33,21,18,14,1,18,29,62.1,11,23,3,20,11,44,28,1
Mitchell Dijks,NED,DF,Fortuna Sittard,30.0,1993.0,26.0,56,33,34,14,8,38,51,74.5,13,34,5,29,20,76,51,0
Javairô Dilrosun,NED,"FW,MF",Feyenoord,25.0,1998.0,3.5,7,5,3,2,2,4,6,66.7,2,3,1,2,4,11,0,0
Toni Domgjoni,KVX,MF,Vitesse,24.0,1998.0,7.5,15,8,4,7,4,6,14,42.9,8,9,3,6,8,23,15,0
Bas Dost,NED,FW,NEC Nijmegen,34.0,1989.0,5.1,2,0,1,0,1,0,2,0.0,2,0,0,0,1,3,7,0
Achraf Douiri,NED,"DF,FW",Volendam,23.0,1999.0,3.8,14,10,7,5,2,9,14,64.3,5,2,0,2,6,20,5,0
Anastasios Douvikas,GRE,FW,Utrecht,23.0,1999.0,2.0,1,1,0,1,0,1,4,25.0,3,1,0,1,0,1,0,0
Bram van Driel,NED,MF,Volendam,18.0,2005.0,2.6,8,7,4,3,1,5,9,55.6,4,3,1,2,3,11,6,0
Couhaib Driouech,MAR,"FW,MF",Excelsior,21.0,2002.0,21.3,36,26,23,12,1,16,54,29.6,38,33,4,29,15,51,27,0
Joel Drommel,NED,GK,PSV Eindhoven,26.0,1996.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ferdy Druijf,NED,"FW,MF",Zwolle,25.0,1998.0,10.5,4,3,1,0,3,3,8,37.5,5,6,3,3,0,4,11,0
Deroy Duarte,CPV,MF,Fortuna Sittard,24.0,1999.0,26.9,64,35,26,34,4,33,62,53.2,29,30,8,22,27,91,43,0
Lance Duijvestijn,NED,"MF,FW",Almere City,24.0,1999.0,5.0,5,3,2,1,2,3,16,18.8,13,5,1,4,3,8,2,0
Lance Duijvestijn,NED,"MF,FW",Excelsior,24.0,1999.0,12.2,20,14,10,9,1,9,18,50.0,9,16,3,13,10,30,10,0
Mike van Duinen,NED,"FW,MF",Excelsior,31.0,1991.0,1.0,2,0,0,1,1,2,4,50.0,2,2,0,2,1,3,0,0
Oliver Edvardsen,NOR,"FW,MF",Go Ahead Eag,24.0,1999.0,26.1,30,12,9,15,6,15,48,31.3,33,26,2,24,18,48,28,0
Victor Edvardsen,SWE,FW,Go Ahead Eag,27.0,1996.0,20.3,5,4,1,2,2,0,8,0.0,8,10,1,9,2,7,12,0
Espen van Ee,NED,"MF,FW",Heerenveen,20.0,2003.0,4.6,13,7,4,7,2,4,15,26.7,11,9,2,7,5,18,5,1
Mike Eerdhuijzen,NED,DF,Sparta R'dam,23.0,2000.0,14.7,17,10,6,9,2,10,15,66.7,5,30,24,6,22,39,82,1
Mats Egbring,NED,DF,Vitesse,16.0,2006.0,0.7,3,1,1,1,1,2,8,25.0,6,2,0,2,4,7,4,0
Carel Eiting,NED,MF,Twente,25.0,1998.0,8.8,21,9,7,11,3,11,22,50.0,11,5,1,4,8,29,20,0
Hamza el Dahri,NED,"MF,FW",Sparta R'dam,18.0,2005.0,0.4,2,2,1,1,0,2,3,66.7,1,1,0,1,0,2,0,0
Mario Engels,GER,"FW,MF",Heracles Almelo,29.0,1993.0,17.8,13,9,8,4,1,3,12,25.0,9,6,0,6,0,13,9,0
Marcelencio Esajas,NED,"MF,FW",Almere City,21.0,2002.0,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Luca Everink,NED,DF,Go Ahead Eag,22.0,2001.0,3.1,7,2,6,1,0,2,8,25.0,6,4,1,3,9,16,6,0
Kevin Felida,CUW,MF,RKC Waalwijk,23.0,1999.0,8.8,27,22,18,8,1,7,14,50.0,7,14,3,11,10,37,16,0
Arianit Ferati,KVX,"MF,DF",Fortuna Sittard,25.0,1997.0,8.2,18,9,6,8,4,8,24,33.3,16,7,0,7,8,26,10,0
Derensili Fernandes,NED,"FW,MF",Excelsior,22.0,2001.0,14.3,20,11,8,7,5,9,25,36.0,16,16,0,16,9,29,16,0
Rashaan Fernandes,NED,"FW,MF",Go Ahead Eag,24.0,1998.0,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Nick Fichtinger,NED,MF,Zwolle,19.0,2004.0,3.9,17,7,7,9,1,7,16,43.8,9,3,2,1,6,23,5,0
Ezechiel Fiemawhle,NED,"MF,FW",Volendam,18.0,2004.0,0.4,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0
Kian Fitz-Jim,NED,"MF,FW",Ajax,20.0,2003.0,0.5,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0
Kian Fitz-Jim,NED,MF,Excelsior,20.0,2003.0,4.4,12,9,2,7,3,3,13,23.1,10,3,0,3,5,17,6,0
Ryan Flamingo,NED,"MF,DF",Utrecht,20.0,2002.0,30.7,44,26,25,16,3,27,56,48.2,29,35,11,24,39,83,118,1
Josh Flint,ENG,DF,Volendam,22.0,2000.0,24.8,52,27,36,14,2,33,49,67.3,16,36,22,14,32,84,136,2
Sherel Floranus,CUW,DF,Almere City,24.0,1998.0,28.0,57,38,35,18,4,31,61,50.8,30,39,13,26,38,95,75,1
Fodé Fofana,NED,FW,Vitesse,20.0,2002.0,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sadik Fofana,TOG,DF,Fortuna Sittard,20.0,2003.0,7.0,24,13,17,7,0,9,22,40.9,13,10,6,4,4,28,17,1
Anthony Fontana,USA,"MF,FW",Zwolle,23.0,1999.0,0.5,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Carlos Forbs,POR,FW,Ajax,19.0,2004.0,9.2,19,12,8,7,4,10,19,52.6,9,14,1,13,2,21,7,0
Oscar Fraulo,DEN,MF,Utrecht,19.0,2003.0,23.3,40,27,10,24,6,13,36,36.1,23,20,8,12,17,57,35,1
Anton Gaaei,DEN,DF,Ajax,20.0,2002.0,12.9,24,13,12,8,4,10,18,55.6,8,13,4,9,20,44,24,1
Juriën Gaari,CUW,DF,RKC Waalwijk,29.0,1993.0,18.3,41,23,30,9,2,31,48,64.6,17,17,7,10,20,61,72,2
Anselmo García MacNulty,IRL,DF,Zwolle,20.0,2003.0,27.9,73,42,48,19,6,50,82,61.0,32,31,15,16,36,109,78,0
Stijn van Gassel,NED,GK,Excelsior,26.0,1996.0,34.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,14,4
Lutsharel Geertruida,NED,DF,Feyenoord,23.0,2000.0,33.8,49,31,29,15,5,23,34,67.6,11,18,4,14,31,80,49,2
Anwar El Ghazi,NED,FW,PSV Eindhoven,28.0,1995.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Teun Gijselhart,NED,MF,Zwolle,18.0,2005.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Santiago Giménez,MEX,FW,Feyenoord,22.0,2001.0,26.3,8,1,1,4,3,2,9,22.2,7,19,2,17,0,8,9,0
Marco van Ginkel,NED,"MF,FW",Vitesse,30.0,1992.0,21.8,13,8,5,3,5,4,11,36.4,7,15,5,10,4,17,39,0
Paul Gladon,NED,FW,Fortuna Sittard,31.0,1992.0,1.9,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,3,0
Mika Godts,BEL,"FW,MF",Ajax,18.0,2005.0,6.4,10,5,2,5,3,3,8,37.5,5,6,0,6,1,11,3,0
Wouter Goes,NED,DF,AZ Alkmaar,19.0,2004.0,12.6,17,12,12,4,1,11,17,64.7,6,17,14,3,12,29,46,0
Roberto González,ESP,"FW,MF",NEC Nijmegen,22.0,2001.0,15.4,25,14,14,8,3,9,29,31.0,20,15,1,14,4,29,11,0
Tristan Gooijer,NED,"DF,MF",Ajax,18.0,2004.0,6.3,28,17,12,9,7,20,24,83.3,4,5,0,5,4,32,14,1
Jay Gorter,NED,GK,Ajax,23.0,2000.0,7.4,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,4,1
Kenzo Goudmijn,NED,MF,AZ Alkmaar,21.0,2001.0,2.7,8,2,2,6,0,4,11,36.4,7,1,0,1,1,9,2,0
