Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Johan Bakayoko,BEL,FW,PSV Eindhoven,20.0,2003.0,27.7,12,96,32,33.3,3.47,1.16,0.13,0.38,18.7,0,0,0,8.7,8.7,0.09,3.3,3.3
Navajo Bakboord,NED,DF,Heracles Almelo,24.0,1999.0,18.7,0,6,1,16.7,0.32,0.05,0.0,0.0,17.9,0,0,0,0.7,0.7,0.11,-0.7,-0.7
Zakaria Bakkali,BEL,"MF,FW",RKC Waalwijk,27.0,1996.0,8.0,0,17,4,23.5,2.12,0.5,0.0,0.0,16.9,0,0,0,1.4,1.4,0.08,-1.4,-1.4
Nordin Bakker,NED,GK,Almere City,25.0,1997.0,28.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jesse Bal,NED,MF,Sparta R'dam,16.0,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Théo Barbet,FRA,DF,Almere City,22.0,2001.0,20.2,0,7,1,14.3,0.35,0.05,0.0,0.0,16.4,0,0,0,0.6,0.6,0.09,-0.6,-0.6
Vasilios Barkas,GRE,GK,Utrecht,29.0,1994.0,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Riechedly Bazoer,CUW,DF,AZ Alkmaar,26.0,1996.0,27.0,0,8,0,0.0,0.3,0.0,0.0,,24.0,2,0,0,0.3,0.3,0.03,-0.3,-0.3
Sven van Beek,NED,DF,Heerenveen,29.0,1994.0,29.1,1,15,5,33.3,0.52,0.17,0.07,0.2,14.5,0,0,0,1.1,1.1,0.07,-0.1,-0.1
Thomas Beelen,NED,DF,Feyenoord,22.0,2001.0,14.4,0,6,3,50.0,0.42,0.21,0.0,0.0,13.0,0,0,0,0.8,0.8,0.13,-0.8,-0.8
Kristijan Belic,SRB,MF,AZ Alkmaar,22.0,2001.0,10.2,0,15,2,13.3,1.47,0.2,0.0,0.0,18.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Mouhamed Belkheir,FRA,"FW,MF",Fortuna Sittard,24.0,1999.0,4.7,1,13,2,15.4,2.77,0.43,0.08,0.5,19.5,0,0,1,2.1,1.3,0.1,-1.1,-0.3
Armel Bella Kotchap,GER,DF,PSV Eindhoven,21.0,2001.0,1.8,0,1,0,0.0,0.56,0.0,0.0,,3.8,0,0,0,0.7,0.7,0.67,-0.7,-0.7
Mimeirhel Benita,NED,DF,Excelsior,19.0,2003.0,10.5,0,4,0,0.0,0.38,0.0,0.0,,23.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Walter Benítez,ARG,GK,PSV Eindhoven,30.0,1993.0,32.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mitchell van Bergen,NED,FW,Twente,23.0,1999.0,5.8,0,18,5,27.8,3.12,0.87,0.0,0.0,19.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2
Steven Berghuis,NED,"FW,MF",Ajax,31.0,1991.0,16.0,5,57,19,33.3,3.56,1.19,0.09,0.26,20.4,3,0,0,3.8,3.8,0.07,1.2,1.2
Steven Bergwijn,NED,"FW,MF",Ajax,25.0,1997.0,21.6,12,61,24,39.3,2.82,1.11,0.11,0.29,18.3,0,5,5,10.0,6.1,0.1,2.0,0.9
Gijs Besselink,NED,"FW,MF",Twente,19.0,2004.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Justin Bijlow,NED,GK,Feyenoord,25.0,1998.0,16.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Daan Bisschops,NED,FW,Fortuna Sittard,18.0,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Adrian Blake,ENG,"FW,MF",Utrecht,18.0,2005.0,0.3,1,2,1,50.0,6.0,3.0,0.5,1.0,11.7,0,0,0,0.5,0.5,0.26,0.5,0.5
Xander Blomme,BEL,MF,Go Ahead Eag,21.0,2002.0,7.9,0,4,0,0.0,0.51,0.0,0.0,,26.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Myron Boadu,NED,"FW,MF",Twente,22.0,2001.0,3.3,3,19,9,47.4,5.68,2.69,0.16,0.33,9.7,0,0,0,4.1,4.1,0.22,-1.1,-1.1
Paweł Bochniewicz,POL,DF,Heerenveen,27.0,1996.0,25.7,3,14,5,35.7,0.55,0.19,0.21,0.6,11.7,0,0,0,1.4,1.4,0.1,1.6,1.6
Ruben van Bommel,NED,FW,AZ Alkmaar,18.0,2004.0,17.2,6,33,13,39.4,1.92,0.76,0.18,0.46,17.9,1,0,0,3.7,3.7,0.11,2.3,2.3
Taylor Booth,USA,FW,Utrecht,22.0,2001.0,9.6,5,29,7,24.1,3.01,0.73,0.17,0.71,17.3,0,0,0,2.0,2.0,0.07,3.0,3.0
Zach Booth,USA,"MF,FW",Volendam,19.0,2004.0,17.3,2,31,14,45.2,1.79,0.81,0.06,0.14,16.6,0,0,0,3.8,3.8,0.12,-1.8,-1.8
Yvandro Borges Sanches,LUX,"FW,MF",NEC Nijmegen,19.0,2004.0,2.4,0,7,1,14.3,2.92,0.42,0.0,0.0,22.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
Olivier Boscagli,FRA,DF,PSV Eindhoven,25.0,1997.0,31.5,3,22,9,40.9,0.7,0.29,0.14,0.33,21.1,0,0,0,2.1,2.1,0.1,0.9,0.9
Othman Boussaid,BEL,FW,Utrecht,23.0,2000.0,21.9,4,42,11,26.2,1.91,0.5,0.1,0.36,20.7,0,0,0,3.0,3.0,0.07,1.0,1.0
Amine Boutrah,FRA,FW,Vitesse,22.0,2000.0,20.2,3,44,14,31.8,2.17,0.69,0.07,0.21,18.3,0,0,0,2.8,2.8,0.06,0.2,0.2
Can Bozdogan,GER,MF,Utrecht,22.0,2001.0,21.8,3,30,9,30.0,1.38,0.41,0.1,0.33,23.7,6,0,0,1.6,1.6,0.05,1.4,1.4
Jayden Braaf,NED,"FW,MF",Fortuna Sittard,20.0,2002.0,0.5,0,1,1,100.0,1.84,1.84,0.0,0.0,4.0,0,0,0,0.2,0.2,0.2,-0.2,-0.2
Mattijs Branderhorst,NED,GK,Utrecht,29.0,1993.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Oliver Braude,NOR,DF,Heerenveen,19.0,2004.0,23.5,0,8,0,0.0,0.34,0.0,0.0,,28.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Myron van Brederode,NED,FW,AZ Alkmaar,20.0,2003.0,14.6,2,18,10,55.6,1.24,0.69,0.11,0.2,18.4,0,0,0,1.7,1.7,0.09,0.3,0.3
Joshua Brenet,CUW,DF,Twente,29.0,1994.0,12.0,2,8,3,37.5,0.67,0.25,0.25,0.67,11.3,0,0,0,1.3,1.3,0.16,0.7,0.7
Jakob Breum,DEN,FW,Go Ahead Eag,19.0,2003.0,16.1,3,50,17,34.0,3.1,1.06,0.06,0.18,19.0,0,0,0,4.6,4.6,0.09,-1.6,-1.6
Brian Brobbey,NED,FW,Ajax,21.0,2002.0,26.7,18,84,40,47.6,3.14,1.5,0.21,0.45,10.8,0,0,1,19.8,19.0,0.23,-1.8,-1.0
Michael Brouwer,NED,GK,Heracles Almelo,30.0,1993.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luuk Brouwers,NED,MF,Heerenveen,25.0,1998.0,22.5,6,33,13,39.4,1.47,0.58,0.18,0.46,15.0,0,0,0,2.5,2.5,0.08,3.5,3.5
Damian van Bruggen,NED,DF,Almere City,27.0,1996.0,27.8,0,10,0,0.0,0.36,0.0,0.0,,13.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Jordy Bruijn,NED,MF,Heracles Almelo,27.0,1996.0,7.6,1,11,6,54.5,1.46,0.79,0.09,0.17,20.9,0,0,0,1.2,1.2,0.11,-0.2,-0.2
Jeffrey Bruma,NED,DF,RKC Waalwijk,31.0,1991.0,4.4,0,3,0,0.0,0.68,0.0,0.0,,17.5,1,0,0,0.2,0.2,0.07,-0.2,-0.2
Max Bruns,NED,DF,Twente,20.0,2002.0,6.3,0,5,0,0.0,0.8,0.0,0.0,,10.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Thomas Bruns,NED,"MF,FW",Heracles Almelo,31.0,1992.0,12.0,0,18,2,11.1,1.5,0.17,0.0,0.0,19.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0
Charles-Andréas Brym,CAN,"FW,MF",Sparta R'dam,24.0,1998.0,15.3,4,35,15,42.9,2.28,0.98,0.11,0.27,18.9,1,0,0,4.1,4.1,0.12,-0.1,-0.1
Thomas Buitink,NED,FW,Vitesse,23.0,2000.0,5.3,1,9,4,44.4,1.69,0.75,0.11,0.25,19.8,0,0,0,0.4,0.4,0.05,0.6,0.6
Stijn Bultman,NED,DF,Heracles Almelo,18.0,2005.0,12.4,0,2,0,0.0,0.16,0.0,0.0,,10.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Oskar Buur,DEN,DF,Volendam,25.0,1998.0,18.3,0,8,3,37.5,0.44,0.16,0.0,0.0,20.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Zico Buurmeester,NED,MF,Zwolle,21.0,2002.0,15.1,0,11,3,27.3,0.73,0.2,0.0,0.0,20.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Yoann Cathline,FRA,"DF,FW",Almere City,21.0,2002.0,19.1,4,35,16,45.7,1.83,0.84,0.11,0.25,18.8,0,0,0,2.8,2.8,0.08,1.2,1.2
