Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Denilho Cleonise,NED,"FW,MF",RKC Waalwijk,21.0,2001.0,20.0,492,464,28,5,2,2,86,3,19,12,1,0,347,0,23
Iñigo Córdoba,ESP,"FW,MF",Fortuna Sittard,26.0,1997.0,29.2,984,960,22,5,2,5,95,17,0,0,0,0,621,2,49
Enzo Cornelisse,NED,"DF,MF",Vitesse,20.0,2003.0,17.1,658,507,146,36,0,5,57,81,28,16,12,0,462,5,12
Milan Corryn,BEL,"MF,FW",Almere City,24.0,1999.0,1.8,59,53,6,1,0,0,4,0,2,0,2,0,37,0,2
George Cox,ENG,"DF,MF",Volendam,25.0,1998.0,21.3,989,828,155,12,2,9,67,134,9,9,0,0,697,6,24
Vito van Crooij,NED,FW,Sparta R'dam,27.0,1996.0,2.9,111,87,23,3,0,2,16,10,9,4,4,0,61,1,2
Alessio da Cruz,CPV,"FW,MF",Fortuna Sittard,26.0,1997.0,4.5,88,80,8,2,0,0,8,0,3,2,1,0,62,0,5
Lennart-Marten Czyborra,GER,DF,Zwolle,24.0,1999.0,1.7,85,73,12,2,0,0,8,10,0,0,0,0,56,0,3
Tiago Dantas,POR,MF,AZ Alkmaar,22.0,2000.0,7.7,540,526,12,6,0,1,7,4,1,0,0,0,472,2,7
Brian De Keersmaecker,BEL,MF,Heracles Almelo,23.0,2000.0,32.8,1329,1277,48,35,4,22,10,11,0,0,0,0,1116,4,20
Jeffrey De Lange,NED,GK,Go Ahead Eag,25.0,1998.0,34.0,1443,1120,314,91,0,4,0,0,0,0,0,0,957,9,1
Mats Deijl,NED,DF,Go Ahead Eag,26.0,1997.0,30.9,1362,1065,294,28,1,9,60,265,1,0,1,0,955,3,29
Maxim Dekker,NED,DF,AZ Alkmaar,19.0,2004.0,0.9,42,38,4,1,0,0,2,3,0,0,0,0,33,0,1
Caner Demircioglu,NED,FW,Volendam,21.0,2002.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Thomas van den Belt,NED,MF,Feyenoord,22.0,2001.0,3.0,122,118,3,0,0,1,3,2,0,0,0,0,89,1,5
Branco van den Boomen,NED,MF,Ajax,28.0,1995.0,11.9,945,858,83,32,1,17,84,3,48,23,22,0,745,4,21
Damian van der Haar,NED,DF,Zwolle,19.0,2004.0,3.2,151,131,20,2,0,3,2,18,0,0,0,0,112,0,3
Mickey van der Hart,NED,GK,Heerenveen,29.0,1994.0,12.0,427,319,106,20,0,0,0,0,0,0,0,0,297,2,0
Mike van der Hoorn,NED,DF,Utrecht,30.0,1992.0,18.5,1052,1000,52,49,0,15,1,0,0,0,0,0,832,0,4
Djevencio van der Kust,SUR,DF,Sparta R'dam,22.0,2001.0,27.8,1390,1122,267,30,1,5,71,236,1,0,0,0,1071,1,41
Mark van der Maarel,NED,DF,Utrecht,33.0,1989.0,8.3,414,352,62,10,0,2,7,52,0,0,0,0,334,0,6
Silvester van der Water,NED,"FW,MF",Zwolle,26.0,1996.0,6.4,151,143,7,1,1,3,19,2,4,3,0,0,100,1,4
Anthony Descotte,BEL,FW,Utrecht,19.0,2003.0,2.3,42,39,3,0,0,2,1,0,0,0,0,0,30,0,1
Sergiño Dest,USA,DF,PSV Eindhoven,22.0,2000.0,23.5,1397,1202,192,18,3,1,94,174,0,0,0,0,1193,3,28
Mitchell Dijks,NED,DF,Fortuna Sittard,30.0,1993.0,26.0,1091,832,255,22,0,2,48,233,0,0,0,0,793,4,27
Javairô Dilrosun,NED,"FW,MF",Feyenoord,25.0,1998.0,3.5,175,163,12,2,2,0,26,7,3,2,0,0,139,0,2
Toni Domgjoni,KVX,MF,Vitesse,24.0,1998.0,7.5,310,287,20,9,1,0,6,6,2,0,0,0,239,3,7
Bas Dost,NED,FW,NEC Nijmegen,34.0,1989.0,5.1,164,161,3,0,1,0,2,0,0,0,0,0,89,0,3
Achraf Douiri,NED,"DF,FW",Volendam,23.0,1999.0,3.8,139,113,25,3,0,0,21,17,5,4,1,0,90,1,5
Anastasios Douvikas,GRE,FW,Utrecht,23.0,1999.0,2.0,45,41,4,0,0,0,2,0,0,0,0,0,28,0,1
Bram van Driel,NED,MF,Volendam,18.0,2005.0,2.6,50,49,1,0,0,1,0,0,0,0,0,0,34,0,4
Couhaib Driouech,MAR,"FW,MF",Excelsior,21.0,2002.0,21.3,676,639,35,4,6,13,82,29,1,1,0,0,461,2,22
Joel Drommel,NED,GK,PSV Eindhoven,26.0,1996.0,1.0,36,29,7,0,0,0,0,0,0,0,0,0,34,0,0
Ferdy Druijf,NED,"FW,MF",Zwolle,25.0,1998.0,10.5,251,246,5,0,2,4,6,0,0,0,0,0,162,0,11
Deroy Duarte,CPV,MF,Fortuna Sittard,24.0,1999.0,26.9,889,868,21,14,1,7,2,5,0,0,0,0,734,0,9
Lance Duijvestijn,NED,"MF,FW",Almere City,24.0,1999.0,5.0,203,196,6,0,0,4,8,3,1,1,0,0,151,1,10
Lance Duijvestijn,NED,"MF,FW",Excelsior,24.0,1999.0,12.2,402,389,12,1,5,4,7,1,0,0,0,0,304,1,17
Mike van Duinen,NED,"FW,MF",Excelsior,31.0,1991.0,1.0,14,12,2,0,0,0,2,0,0,0,0,0,7,0,1
Oliver Edvardsen,NOR,"FW,MF",Go Ahead Eag,24.0,1999.0,26.1,710,659,47,9,2,2,68,14,21,12,4,0,492,4,39
Victor Edvardsen,SWE,FW,Go Ahead Eag,27.0,1996.0,20.3,399,365,33,1,2,2,22,15,0,0,0,0,250,1,30
Espen van Ee,NED,"MF,FW",Heerenveen,20.0,2003.0,4.6,184,173,11,1,0,0,5,3,1,1,0,0,156,0,3
Mike Eerdhuijzen,NED,DF,Sparta R'dam,23.0,2000.0,14.7,908,832,75,16,0,18,11,7,0,0,0,0,777,1,7
Mats Egbring,NED,DF,Vitesse,16.0,2006.0,0.7,38,29,9,0,0,0,1,9,0,0,0,0,25,0,1
Carel Eiting,NED,MF,Twente,25.0,1998.0,8.8,545,471,72,26,4,1,64,0,45,24,13,0,389,2,9
Hamza el Dahri,NED,"MF,FW",Sparta R'dam,18.0,2005.0,0.4,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
Mario Engels,GER,"FW,MF",Heracles Almelo,29.0,1993.0,17.8,330,240,89,11,0,4,64,12,40,9,13,1,231,1,15
Marcelencio Esajas,NED,"MF,FW",Almere City,21.0,2002.0,0.4,12,11,1,0,0,0,0,0,0,0,0,0,8,0,0
Luca Everink,NED,DF,Go Ahead Eag,22.0,2001.0,3.1,127,100,27,3,0,0,3,24,0,0,0,0,104,0,2
Kevin Felida,CUW,MF,RKC Waalwijk,23.0,1999.0,8.8,295,288,7,3,2,2,3,0,0,0,0,0,238,0,6
Arianit Ferati,KVX,"MF,DF",Fortuna Sittard,25.0,1997.0,8.2,351,332,17,8,2,4,11,8,1,0,0,0,270,2,8
Derensili Fernandes,NED,"FW,MF",Excelsior,22.0,2001.0,14.3,444,426,17,3,1,4,38,8,6,5,0,0,335,1,10
Rashaan Fernandes,NED,"FW,MF",Go Ahead Eag,24.0,1998.0,0.4,25,22,3,0,0,0,5,2,1,1,0,0,16,0,0
Nick Fichtinger,NED,MF,Zwolle,19.0,2004.0,3.9,151,150,1,0,0,1,3,0,1,1,0,0,110,0,5
Ezechiel Fiemawhle,NED,"MF,FW",Volendam,18.0,2004.0,0.4,7,6,0,0,0,0,1,0,0,0,0,0,2,1,0
Kian Fitz-Jim,NED,"MF,FW",Ajax,20.0,2003.0,0.5,25,24,1,0,0,0,1,0,1,1,0,0,20,0,0
Kian Fitz-Jim,NED,MF,Excelsior,20.0,2003.0,4.4,176,168,7,3,0,0,2,0,3,0,1,0,149,1,4
Ryan Flamingo,NED,"MF,DF",Utrecht,20.0,2002.0,30.7,1587,1541,43,37,1,19,8,1,0,0,0,0,1242,3,20
Josh Flint,ENG,DF,Volendam,22.0,2000.0,24.8,1203,1073,125,13,0,3,11,102,0,0,0,0,929,5,8
Sherel Floranus,CUW,DF,Almere City,24.0,1998.0,28.0,1259,960,296,32,1,5,37,264,0,0,0,0,880,3,15
Fodé Fofana,NED,FW,Vitesse,20.0,2002.0,1.1,13,12,1,0,0,0,0,0,0,0,0,0,12,0,0
Sadik Fofana,TOG,DF,Fortuna Sittard,20.0,2003.0,7.0,260,236,24,6,0,5,1,18,0,0,0,0,182,0,8
Anthony Fontana,USA,"MF,FW",Zwolle,23.0,1999.0,0.5,16,16,0,0,0,0,1,0,0,0,0,0,10,0,2
Carlos Forbs,POR,FW,Ajax,19.0,2004.0,9.2,310,299,11,0,2,0,31,8,3,0,0,1,225,0,17
Oscar Fraulo,DEN,MF,Utrecht,19.0,2003.0,23.3,935,912,21,14,4,3,23,0,1,0,0,0,724,2,33
Anton Gaaei,DEN,DF,Ajax,20.0,2002.0,12.9,814,714,99,6,1,2,66,93,0,0,0,0,617,1,24
Juriën Gaari,CUW,DF,RKC Waalwijk,29.0,1993.0,18.3,903,813,88,28,0,8,18,56,0,0,0,0,716,2,17
Anselmo García MacNulty,IRL,DF,Zwolle,20.0,2003.0,27.9,1554,1323,225,23,1,6,74,200,0,0,0,0,1177,6,37
Stijn van Gassel,NED,GK,Excelsior,26.0,1996.0,34.0,1583,1225,352,86,0,3,0,0,0,0,0,0,935,6,0
Lutsharel Geertruida,NED,DF,Feyenoord,23.0,2000.0,33.8,2345,2114,229,34,3,2,24,195,0,0,0,0,2100,2,16
Anwar El Ghazi,NED,FW,PSV Eindhoven,28.0,1995.0,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Teun Gijselhart,NED,MF,Zwolle,18.0,2005.0,0.1,5,5,0,0,0,1,0,0,0,0,0,0,3,0,0
Santiago Giménez,MEX,FW,Feyenoord,22.0,2001.0,26.3,399,368,26,4,2,1,6,5,0,0,0,0,270,5,9
