Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Iñigo Córdoba,ESP,"FW,MF",Fortuna Sittard,26.0,1997.0,29.2,1422,41,309,542,600,138,1422,111,52,46.8,46,41.4,784,5495,2997,112,54,31,72,25,872,222
Enzo Cornelisse,NED,"DF,MF",Vitesse,20.0,2003.0,17.1,803,52,260,380,167,7,803,11,7,63.6,4,36.4,307,1158,556,7,9,0,12,2,364,32
Milan Corryn,BEL,"MF,FW",Almere City,24.0,1999.0,1.8,93,5,16,45,34,6,93,6,2,33.3,3,50.0,30,118,39,2,0,1,6,2,38,5
George Cox,ENG,"DF,MF",Volendam,25.0,1998.0,21.3,1216,88,399,579,245,11,1216,21,12,57.1,8,38.1,562,2976,1637,39,32,3,15,11,634,56
Vito van Crooij,NED,FW,Sparta R'dam,27.0,1996.0,2.9,134,4,29,49,60,8,134,1,0,0.0,1,100.0,67,373,199,7,5,4,2,0,79,13
Alessio da Cruz,CPV,"FW,MF",Fortuna Sittard,26.0,1997.0,4.5,128,1,13,58,61,11,128,10,3,30.0,4,40.0,63,466,190,8,4,4,12,5,84,26
Lennart-Marten Czyborra,GER,DF,Zwolle,24.0,1999.0,1.7,95,4,21,44,30,4,95,0,0,,0,,50,296,162,5,3,2,2,0,51,11
Tiago Dantas,POR,MF,AZ Alkmaar,22.0,2000.0,7.7,587,23,126,346,119,11,587,1,0,0.0,1,100.0,352,1725,801,13,15,1,5,3,449,14
Brian De Keersmaecker,BEL,MF,Heracles Almelo,23.0,2000.0,32.8,1727,133,552,991,211,23,1727,42,21,50.0,19,45.2,889,5347,2365,33,19,5,25,23,965,38
Jeffrey De Lange,NED,GK,Go Ahead Eag,25.0,1998.0,34.0,1509,1293,1497,13,1,1,1509,1,1,100.0,0,0.0,864,4156,2497,0,0,0,0,0,794,1
Mats Deijl,NED,DF,Go Ahead Eag,26.0,1997.0,30.9,1653,119,564,677,418,36,1652,24,7,29.2,15,62.5,630,2322,1026,15,22,2,18,7,818,85
Maxim Dekker,NED,DF,AZ Alkmaar,19.0,2004.0,0.9,53,10,28,19,7,2,53,0,0,,0,,17,80,46,1,0,0,1,0,22,1
Caner Demircioglu,NED,FW,Volendam,21.0,2002.0,0.1,2,0,0,2,0,0,2,0,0,,0,,1,7,0,0,0,0,0,2,3,0
Thomas van den Belt,NED,MF,Feyenoord,22.0,2001.0,3.0,159,1,26,67,66,14,159,0,0,,0,,89,425,251,6,5,2,4,6,110,21
Branco van den Boomen,NED,MF,Ajax,28.0,1995.0,11.9,1052,30,184,607,266,10,1052,12,5,41.7,7,58.3,650,3347,1553,29,20,3,10,4,767,24
Damian van der Haar,NED,DF,Zwolle,19.0,2004.0,3.2,188,14,91,79,18,1,188,1,1,100.0,0,0.0,75,312,117,1,1,1,5,1,100,3
Mickey van der Hart,NED,GK,Heerenveen,29.0,1994.0,12.0,452,426,451,1,0,0,452,0,0,,0,,267,1116,550,0,0,0,0,0,238,0
Mike van der Hoorn,NED,DF,Utrecht,30.0,1992.0,18.5,1221,142,560,617,49,31,1221,7,2,28.6,3,42.9,671,3338,1842,8,2,1,8,0,738,4
Djevencio van der Kust,SUR,DF,Sparta R'dam,22.0,2001.0,27.8,1755,124,618,690,471,45,1755,40,18,45.0,21,52.5,866,5717,2677,57,41,7,55,18,919,113
Mark van der Maarel,NED,DF,Utrecht,33.0,1989.0,8.3,488,50,185,254,50,8,488,1,1,100.0,0,0.0,222,1003,556,4,2,0,2,2,280,2
Silvester van der Water,NED,"FW,MF",Zwolle,26.0,1996.0,6.4,241,11,50,88,108,22,241,14,4,28.6,7,50.0,140,936,402,15,5,4,15,11,148,50
Anthony Descotte,BEL,FW,Utrecht,19.0,2003.0,2.3,71,1,5,33,34,8,71,5,1,20.0,3,60.0,42,216,78,4,4,2,7,7,50,19
Sergiño Dest,USA,DF,PSV Eindhoven,22.0,2000.0,23.5,1651,56,421,646,601,70,1651,111,64,57.7,35,31.5,970,6866,3901,124,74,30,46,28,1110,169
Mitchell Dijks,NED,DF,Fortuna Sittard,30.0,1993.0,26.0,1366,72,513,589,283,21,1366,52,14,26.9,33,63.5,574,3675,2039,49,32,8,17,13,647,46
Javairô Dilrosun,NED,"FW,MF",Feyenoord,25.0,1998.0,3.5,220,2,16,84,120,10,220,15,3,20.0,6,40.0,153,1143,622,23,14,5,7,1,163,43
Toni Domgjoni,KVX,MF,Vitesse,24.0,1998.0,7.5,394,30,103,202,94,11,394,10,7,70.0,3,30.0,196,730,328,6,5,1,15,3,232,13
Bas Dost,NED,FW,NEC Nijmegen,34.0,1989.0,5.1,194,7,12,109,74,21,193,2,2,100.0,0,0.0,54,175,69,0,2,0,3,0,164,26
Achraf Douiri,NED,"DF,FW",Volendam,23.0,1999.0,3.8,202,14,54,80,70,14,202,15,6,40.0,9,60.0,104,899,506,19,14,7,13,4,100,27
Anastasios Douvikas,GRE,FW,Utrecht,23.0,1999.0,2.0,69,0,1,41,27,7,69,4,2,50.0,1,25.0,41,245,97,6,1,3,10,2,55,13
Bram van Driel,NED,MF,Volendam,18.0,2005.0,2.6,85,10,26,39,21,3,85,1,1,100.0,0,0.0,30,224,77,0,0,0,3,2,36,4
Couhaib Driouech,MAR,"FW,MF",Excelsior,21.0,2002.0,21.3,995,24,195,405,431,69,995,106,60,56.6,42,39.6,626,6029,3380,123,66,42,61,29,628,147
Joel Drommel,NED,GK,PSV Eindhoven,26.0,1996.0,1.0,40,30,38,2,0,0,40,0,0,,0,,23,91,35,0,0,0,0,0,20,0
Ferdy Druijf,NED,"FW,MF",Zwolle,25.0,1998.0,10.5,354,16,28,168,158,43,352,13,9,69.2,4,30.8,198,670,212,4,5,4,29,11,278,57
Deroy Duarte,CPV,MF,Fortuna Sittard,24.0,1999.0,26.9,1157,63,319,690,158,9,1157,19,10,52.6,6,31.6,507,2176,984,15,12,0,16,14,577,30
Lance Duijvestijn,NED,"MF,FW",Almere City,24.0,1999.0,5.0,266,6,28,116,126,18,266,14,4,28.6,10,71.4,162,856,401,8,6,2,19,4,187,38
Lance Duijvestijn,NED,"MF,FW",Excelsior,24.0,1999.0,12.2,526,13,64,268,204,27,526,21,8,38.1,12,57.1,319,1432,606,16,16,4,18,6,368,73
Mike van Duinen,NED,"FW,MF",Excelsior,31.0,1991.0,1.0,30,1,5,11,16,3,30,4,1,25.0,3,75.0,13,85,50,2,1,0,4,1,16,3
Oliver Edvardsen,NOR,"FW,MF",Go Ahead Eag,24.0,1999.0,26.1,1065,36,156,412,513,113,1065,81,31,38.3,42,51.9,578,3376,1579,57,32,22,67,42,678,167
Victor Edvardsen,SWE,FW,Go Ahead Eag,27.0,1996.0,20.3,555,13,51,196,311,94,552,25,9,36.0,14,56.0,264,1235,573,28,8,17,28,17,376,106
Espen van Ee,NED,"MF,FW",Heerenveen,20.0,2003.0,4.6,243,8,42,129,76,12,243,6,3,50.0,2,33.3,124,600,279,5,2,1,11,4,156,20
Mike Eerdhuijzen,NED,DF,Sparta R'dam,23.0,2000.0,14.7,1086,200,544,499,50,19,1086,5,4,80.0,1,20.0,578,2854,1750,15,7,1,6,3,686,6
Mats Egbring,NED,DF,Vitesse,16.0,2006.0,0.7,53,4,14,26,13,0,53,2,1,50.0,0,0.0,22,107,38,1,0,0,0,1,19,2
Carel Eiting,NED,MF,Twente,25.0,1998.0,8.8,643,24,113,316,217,17,643,12,5,41.7,6,50.0,275,1162,546,15,7,4,10,4,382,28
Hamza el Dahri,NED,"MF,FW",Sparta R'dam,18.0,2005.0,0.4,22,0,3,12,7,1,22,1,0,0.0,1,100.0,9,40,15,0,0,0,1,1,11,1
Mario Engels,GER,"FW,MF",Heracles Almelo,29.0,1993.0,17.8,500,9,61,176,270,58,500,52,18,34.6,28,53.8,270,1708,698,25,22,12,46,24,293,95
Marcelencio Esajas,NED,"MF,FW",Almere City,21.0,2002.0,0.4,14,1,4,7,3,0,14,0,0,,0,,9,61,39,1,0,0,1,0,9,1
Luca Everink,NED,DF,Go Ahead Eag,22.0,2001.0,3.1,162,13,61,65,37,2,162,8,3,37.5,3,37.5,65,321,121,3,3,0,2,3,78,9
Kevin Felida,CUW,MF,RKC Waalwijk,23.0,1999.0,8.8,392,23,145,202,51,0,392,6,4,66.7,2,33.3,163,807,342,6,7,0,7,9,184,10
Arianit Ferati,KVX,"MF,DF",Fortuna Sittard,25.0,1997.0,8.2,447,17,99,234,122,15,447,18,9,50.0,7,38.9,227,1113,512,8,8,0,12,9,244,29
Derensili Fernandes,NED,"FW,MF",Excelsior,22.0,2001.0,14.3,641,15,95,242,317,50,641,55,24,43.6,26,47.3,388,2582,1328,44,25,22,43,29,432,107
Rashaan Fernandes,NED,"FW,MF",Go Ahead Eag,24.0,1998.0,0.4,29,0,3,5,21,3,29,2,1,50.0,1,50.0,20,199,161,4,4,1,1,1,25,4
Nick Fichtinger,NED,MF,Zwolle,19.0,2004.0,3.9,196,12,69,107,22,0,196,0,0,,0,,84,396,205,3,4,1,6,1,89,2
Ezechiel Fiemawhle,NED,"MF,FW",Volendam,18.0,2004.0,0.4,12,0,4,3,5,1,12,0,0,,0,,5,19,9,0,0,0,3,0,5,2
Kian Fitz-Jim,NED,"MF,FW",Ajax,20.0,2003.0,0.5,29,0,4,11,14,6,29,1,0,0.0,1,100.0,14,66,31,0,1,0,0,0,20,7
Kian Fitz-Jim,NED,MF,Excelsior,20.0,2003.0,4.4,232,8,47,117,70,8,232,9,6,66.7,3,33.3,130,744,344,11,2,5,11,5,144,11
Ryan Flamingo,NED,"MF,DF",Utrecht,20.0,2002.0,30.7,1981,175,706,1065,223,42,1981,26,14,53.8,9,34.6,995,5117,2900,23,18,0,35,22,1158,28
Josh Flint,ENG,DF,Volendam,22.0,2000.0,24.8,1538,213,723,644,179,33,1538,18,10,55.6,6,33.3,755,3520,1972,18,14,2,19,0,867,18
Sherel Floranus,CUW,DF,Almere City,24.0,1998.0,28.0,1548,113,569,673,321,10,1548,24,12,50.0,12,50.0,523,2449,979,19,10,0,23,17,576,52
Fodé Fofana,NED,FW,Vitesse,20.0,2002.0,1.1,27,0,4,14,9,4,27,2,1,50.0,1,50.0,22,126,68,2,0,1,4,2,21,4
Sadik Fofana,TOG,DF,Fortuna Sittard,20.0,2003.0,7.0,335,35,167,159,12,3,335,11,6,54.5,3,27.3,162,1003,558,6,3,0,5,3,159,1
