Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Oskar Buur,DEN,DF,Volendam,25.0,1998.0,18.3,35,1.91,27,3,2,2,1,0,2,0.11,2,0,0,0,0,0
Zico Buurmeester,NED,MF,Zwolle,21.0,2002.0,15.1,32,2.11,26,5,0,0,1,0,6,0.4,5,0,0,0,1,0
Yoann Cathline,FRA,"DF,FW",Almere City,21.0,2002.0,19.1,50,2.62,30,3,9,4,2,2,5,0.26,4,0,0,1,0,0
Sava Cestic,SRB,DF,Heracles Almelo,22.0,2001.0,2.3,1,0.43,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Tjaronn Chery,SUR,"MF,FW",NEC Nijmegen,35.0,1988.0,11.5,65,5.64,34,15,5,6,3,2,9,0.78,6,1,0,1,0,1
Jasper Cillessen,NED,GK,NEC Nijmegen,34.0,1989.0,29.3,5,0.17,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jordy Clasie,NED,MF,AZ Alkmaar,32.0,1991.0,27.4,70,2.55,64,1,1,1,2,1,11,0.4,11,0,0,0,0,0
Pelle Clement,NED,"MF,FW",Sparta R'dam,27.0,1996.0,21.1,64,3.03,42,17,0,3,1,1,11,0.52,7,2,0,1,1,0
Denilho Cleonise,NED,"FW,MF",RKC Waalwijk,21.0,2001.0,20.0,64,3.2,34,5,12,8,5,0,8,0.4,3,1,2,1,1,0
Iñigo Córdoba,ESP,"FW,MF",Fortuna Sittard,26.0,1997.0,29.2,97,3.32,68,2,7,10,6,4,11,0.38,8,0,2,1,0,0
Enzo Cornelisse,NED,"DF,MF",Vitesse,20.0,2003.0,17.1,27,1.58,16,11,0,0,0,0,0,0.0,0,0,0,0,0,0
Milan Corryn,BEL,"MF,FW",Almere City,24.0,1999.0,1.8,4,2.25,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
George Cox,ENG,"DF,MF",Volendam,25.0,1998.0,21.3,33,1.55,24,6,0,1,2,0,2,0.09,1,1,0,0,0,0
Vito van Crooij,NED,FW,Sparta R'dam,27.0,1996.0,2.9,10,3.44,8,2,0,0,0,0,1,0.34,1,0,0,0,0,0
Alessio da Cruz,CPV,"FW,MF",Fortuna Sittard,26.0,1997.0,4.5,10,2.24,8,1,0,1,0,0,1,0.22,1,0,0,0,0,0
Lennart-Marten Czyborra,GER,DF,Zwolle,24.0,1999.0,1.7,3,1.75,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Tiago Dantas,POR,MF,AZ Alkmaar,22.0,2000.0,7.7,19,2.47,14,0,0,5,0,0,4,0.52,1,0,0,3,0,0
Brian De Keersmaecker,BEL,MF,Heracles Almelo,23.0,2000.0,32.8,48,1.46,37,1,3,1,2,4,4,0.12,4,0,0,0,0,0
Jeffrey De Lange,NED,GK,Go Ahead Eag,25.0,1998.0,34.0,6,0.18,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mats Deijl,NED,DF,Go Ahead Eag,26.0,1997.0,30.9,57,1.85,42,9,0,2,3,1,9,0.29,6,1,0,1,1,0
