Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Brenden Aaronson,USA,"MF,FW",Union Berlin,22,2000,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8
Paxten Aaronson,USA,MF,Eint Frankfurt,19,2003,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0
Junior Adamu,AUT,"FW,MF",Freiburg,22,2001,1.2,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5
Sargis Adamyan,ARM,"FW,MF",Köln,30,1993,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5
Karim Adeyemi,GER,"FW,MF",Dortmund,21,2002,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8
Felix Agu,NGA,"DF,MF",Werder Bremen,23,1999,17.9,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5
Ludovic Ajorque,FRA,FW,Mainz 05,29,1994,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2
Kevin Akpoguma,NGA,DF,Hoffenheim,28,1995,12.2,7,0,0,15,14,0,4,18,18,0,1,0,60,25,21,54.3
Faride Alidou,GER,"FW,MF",Köln,22,2001,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1
Skelly Alvero,FRA,MF,Werder Bremen,21,2002,1.4,1,0,0,2,3,0,0,1,4,0,0,0,9,6,1,85.7
Nadiem Amiri,GER,MF,Mainz 05,26,1996,14.6,5,0,0,11,32,1,126,14,14,0,0,0,93,10,5,66.7
Nadiem Amiri,GER,MF,Leverkusen,26,1996,1.0,0,0,0,1,3,0,1,0,2,0,0,0,8,0,0,
Kofi Amoako,GER,MF,Wolfsburg,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,18.8,4,0,0,23,14,0,14,20,18,0,0,0,122,20,22,47.6
Waldemar Anton,GER,DF,Stuttgart,27,1996,32.1,7,0,0,25,26,0,14,40,25,1,1,1,203,79,42,65.3
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,29,1994,13.5,5,0,0,13,17,18,55,2,12,0,0,0,53,11,22,33.3
Asaf Arania,ISR,MF,Darmstadt 98,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maximilian Arnold,GER,MF,Wolfsburg,29,1994,27.8,9,0,0,37,46,0,110,24,31,0,0,0,174,14,30,31.8
Arthur,BRA,DF,Leverkusen,20,2003,2.0,0,0,0,2,0,0,7,0,3,0,0,0,10,2,3,40.0
Takuma Asano,JPN,"FW,MF",Bochum,28,1994,22.1,2,0,0,15,22,23,37,4,6,0,0,0,74,15,52,22.4
Jonathan Asp Jensen,DEN,FW,Bayern Munich,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Noah Atubolu,GER,GK,Freiburg,21,2002,34.0,0,0,0,0,3,0,0,0,0,0,0,0,62,7,0,100.0
Matthias Bader,GER,"DF,MF",Darmstadt 98,26,1997,20.0,1,0,0,17,41,1,32,25,25,0,0,0,121,11,17,39.3
Ridle Baku,GER,"DF,MF",Wolfsburg,25,1998,22.4,4,0,0,24,35,3,54,21,20,0,0,0,124,21,27,43.8
Samuel Bamba,GER,FW,Dortmund,19,2004,0.5,0,0,0,1,1,0,4,0,1,0,0,0,1,0,0,
Aymen Barkok,MAR,"MF,FW",Mainz 05,25,1998,3.6,2,0,0,15,3,0,13,2,5,0,0,0,18,11,14,44.0
Leandro Barreiro Martins,LUX,MF,Mainz 05,23,2000,29.0,8,0,0,58,52,3,5,36,40,0,0,0,144,39,63,38.2
Daniel Batz,GER,GK,Mainz 05,32,1991,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0
Maximilian Bauer,GER,DF,Augsburg,23,2000,9.0,3,0,0,13,11,0,1,11,12,0,0,0,27,17,17,50.0
Elias Baum,GER,"DF,MF",Eint Frankfurt,17,2005,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Oliver Baumann,GER,GK,Hoffenheim,33,1990,34.0,1,0,0,1,6,0,0,0,1,0,1,0,102,4,1,80.0
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,23,1999,12.9,3,0,0,27,27,1,8,5,13,1,0,0,40,20,29,40.8
Ihlas Bebou,TOG,"FW,DF",Hoffenheim,29,1994,18.2,3,0,0,24,21,7,35,14,12,1,0,0,60,32,45,41.6
Adrian Beck,GER,"MF,FW",Heidenheim,26,1997,10.8,1,0,0,14,10,2,6,4,13,0,0,0,76,18,26,40.9
