Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Marco van Ginkel,NED,MF,Vitesse,29,1992,11.9,2,0,0,13,11,0,8,2,6,0,0,0,36,19,20,48.7
Marco van Ginkel,NED,DF,PSV Eindhoven,29,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Paul Gladon,NED,"FW,MF",Fortuna Sittard,30,1992,15.4,1,0,0,28,25,6,6,0,4,1,0,0,32,113,85,57.1
Mika Godts,BEL,FW,Ajax,17,2005,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Wouter Goes,NED,DF,AZ Alkmaar,18,2004,7.3,1,0,0,6,3,1,0,7,4,0,0,0,37,9,14,39.1
Kenzo Goudmijn,NED,MF,Excelsior,20,2001,31.2,2,0,0,19,47,1,38,15,36,0,0,0,171,13,27,32.5
Florian Grillitsch,AUT,"MF,DF",Ajax,26,1995,4.7,2,0,0,4,7,0,2,12,7,0,0,0,42,7,6,53.8
Metehan Güçlü,TUR,FW,Emmen,23,1999,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Rodrigo Guth,BRA,DF,Fortuna Sittard,21,2000,33.4,3,0,0,31,6,1,5,41,30,0,1,0,180,62,49,55.9
Erick Gutiérrez,MEX,MF,PSV Eindhoven,27,1995,16.2,4,0,0,26,14,1,4,25,29,0,0,0,124,35,32,52.2
Jonathan de Guzmán,NED,MF,Sparta R'dam,34,1987,15.5,4,0,0,26,12,0,10,16,11,0,1,0,108,21,18,53.8
Tomáš Hájek,CZE,"DF,FW",Vitesse,30,1991,1.9,1,0,0,2,2,0,0,4,3,0,0,0,13,3,2,60.0
Rami Al Hajj,SWE,"MF,FW",Heerenveen,20,2001,7.6,0,0,0,4,10,0,12,9,13,0,0,0,35,2,3,40.0
Tibor Halilović,CRO,MF,Heerenveen,27,1995,7.6,1,1,0,8,4,0,5,8,8,0,0,0,35,6,4,60.0
Dávid Hancko,SVK,DF,Feyenoord,24,1997,30.5,2,0,0,12,19,2,23,31,43,0,0,0,231,37,24,60.7
Jeff Hardeveld,NED,DF,Emmen,27,1995,3.9,0,0,0,4,1,0,18,12,13,0,0,0,23,3,4,42.9
Quilindschy Hartman,NED,DF,Feyenoord,20,2001,18.5,5,0,0,20,2,0,46,28,20,0,0,0,105,40,20,66.7
Jorrel Hato,NED,DF,Ajax,16,2006,6.8,1,0,0,3,1,0,3,6,7,0,0,0,51,9,14,39.1
Pantelis Hatzidiakos,GRE,DF,AZ Alkmaar,25,1997,30.9,5,0,0,21,17,0,18,28,28,0,1,0,198,45,41,52.3
Thom Haye,IDN,MF,Heerenveen,27,1995,30.2,7,0,0,28,20,2,189,45,54,0,0,0,279,38,21,64.4
Thorgan Hazard,BEL,"FW,MF",PSV Eindhoven,29,1993,2.7,1,0,0,3,1,0,7,0,4,0,0,0,18,2,5,28.6
