Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Benjamin André,FRA,MF,Lille,31,1990,32.4,70,2.16,62,0,0,3,3,2,6,0.19,5,0,0,0,1,0
Komnen Andrić,SRB,FW,Clermont Foot,27,1995,16.1,32,1.99,26,0,2,2,2,0,4,0.25,2,0,0,2,0,0
Houssem Aouar,ALG,MF,Lyon,24,1998,5.8,15,2.57,9,0,3,3,0,0,2,0.34,2,0,0,0,0,0
Adil Aouchiche,FRA,MF,Lorient,20,2002,2.8,5,1.8,3,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Dennis Appiah,FRA,"DF,MF",Nantes,30,1992,8.8,11,1.25,8,1,2,0,0,0,1,0.11,1,0,0,0,0,0
Stredair Appuah,FRA,"DF,MF",Nantes,18,2004,0.7,6,8.18,5,0,1,0,0,0,1,1.36,1,0,0,0,0,0
Taïryk Arconte,FRA,FW,Brest,18,2003,1.4,3,2.11,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Mohamed El Arouch,FRA,MF,Lyon,18,2004,0.0,1,90.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lorenz Assignon,TOG,DF,Rennes,22,2000,2.9,4,1.37,3,1,0,0,0,0,1,0.34,1,0,0,0,0,0
Youcef Atal,ALG,"DF,MF",Nice,26,1996,8.7,31,3.58,22,0,4,2,2,1,2,0.23,1,0,1,0,0,0
Valentin Atangana Edoa,FRA,MF,Reims,16,2005,1.9,5,2.6,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Mathias Autret,FRA,"MF,FW",Auxerre,31,1991,14.3,54,3.77,35,12,3,3,0,1,7,0.49,3,2,0,2,0,0
Cédric Avinel,GLP,DF,Ajaccio,35,1986,19.9,3,0.15,1,1,0,1,0,0,1,0.05,0,0,0,1,0,0
Loïc Bade,FRA,DF,Rennes,22,2000,1.0,1,1.0,0,0,0,1,0,0,1,1.0,0,0,0,1,0,0
Benoît Badiashile,FRA,DF,Monaco,21,2001,9.3,4,0.43,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Eric Bailly,CIV,DF,Marseille,28,1994,6.0,2,0.33,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dénys Bain,FRA,DF,Auxerre,29,1993,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Brandon Baiye,BEL,MF,Clermont Foot,21,2000,0.6,2,3.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Cédric Bakambu,COD,MF,Marseille,31,1991,0.7,2,3.05,2,0,0,0,0,0,1,1.53,1,0,0,0,0,0
Thierno Balde,FRA,"DF,MF",Troyes,20,2002,23.9,45,1.88,35,2,3,1,4,0,4,0.17,2,0,1,0,1,0
Carlos Baleba,CMR,MF,Lille,18,2004,5.3,11,2.07,7,0,1,1,2,0,2,0.38,0,0,0,0,2,0
Leonardo Balerdi,ARG,DF,Marseille,23,1999,29.3,13,0.44,9,0,1,3,0,0,2,0.07,1,0,0,1,0,0
Folarin Balogun,USA,FW,Reims,21,2001,33.3,80,2.4,50,1,11,11,6,1,10,0.3,4,0,2,2,2,0
Abdoulaye Bamba,CIV,DF,Angers,32,1990,15.2,8,0.53,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Jonathan Bamba,CIV,FW,Lille,26,1996,30.9,106,3.43,89,2,5,8,2,0,14,0.45,11,0,0,3,0,0
Bradley Barcola,FRA,"FW,MF",Lyon,19,2002,16.0,39,2.44,32,0,4,2,0,1,10,0.63,10,0,0,0,0,0
Melvin Bard,FRA,DF,Nice,21,2000,27.3,30,1.1,27,2,1,0,0,0,0,0.0,0,0,0,0,0,0
Ross Barkley,ENG,"MF,FW",Nice,28,1993,10.7,51,4.92,30,13,6,2,0,0,5,0.48,2,1,2,0,0,0
Mickaël Barreto,FRA,MF,Ajaccio,31,1991,14.7,30,2.04,22,7,0,0,0,1,1,0.07,1,0,0,0,0,0
Cyrille Bayala,BFA,MF,Ajaccio,26,1996,22.3,43,1.93,29,1,4,1,4,4,2,0.09,1,0,0,0,0,1
Yanis Begraoui,MAR,"FW,MF",Toulouse,21,2001,0.7,2,2.77,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alexis Beka Beka,FRA,"MF,DF",Nice,21,2001,6.1,9,1.49,5,1,0,0,3,0,0,0.0,0,0,0,0,0,0
Jérémie Bela,ANG,"DF,MF",Clermont Foot,29,1993,8.3,10,1.21,7,0,1,1,1,0,3,0.36,1,0,1,0,1,0
Reda Belahyane,MAR,MF,Nice,18,2004,2.0,2,0.99,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Youcef Belaïli,ALG,"MF,FW",Ajaccio,30,1992,12.8,47,3.68,24,9,4,4,6,0,10,0.78,5,0,2,1,2,0
