Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
74,Emirhan Demircan,tr TUR,"FW,MF",Utrecht,20-337,2005,1.1,32,32,0,0,0,0,1,0,0,0,0,0,27,0,0,Matches
75,Thomas van den Belt,nl NED,MF,Twente,24-188,2001,11.7,549,523,24,2,0,1,7,14,1,0,0,0,442,2,10,Matches
76,Joël van den Berg,nl NED,MF,PSV Eindhoven,18-315,2007,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
77,Damian van der Haar,nl NED,DF,Zwolle,21-341,2004,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
78,Mike van der Hoorn,nl NED,DF,Utrecht,33-069,1992,10.9,671,643,27,17,1,8,1,2,0,0,0,0,562,1,7,Matches
79,Djevencio van der Kust,sr SUR,DF,Heracles Almelo,24-237,2001,6.2,202,170,32,1,0,0,11,30,1,0,0,0,150,0,5,Matches
80,David van der Werff,nl NED,"FW,MF",Groningen,21-114,2004,8.9,291,256,35,5,1,0,33,8,22,16,0,0,211,0,11,Matches
81,Anthony Descotte,be BEL,"FW,MF",Volendam,22-142,2003,3.5,81,79,2,0,1,0,2,1,0,0,0,0,56,0,6,Matches
82,Sergiño Dest,us USA,DF,PSV Eindhoven,25-050,2000,15.5,990,859,131,17,3,2,35,114,0,0,0,0,863,0,18,Matches
83,Gaoussou Diarra,ml MLI,"FW,MF",Feyenoord,23-032,2002,1.8,56,54,1,0,0,0,2,1,0,0,0,0,38,1,1,Matches
84,Matisse Didden,be BEL,DF,Utrecht,24-076,2001,7.6,435,422,10,6,0,3,0,1,0,0,0,0,362,3,5,Matches
85,Elijah Dijkstra,nl NED,DF,AZ Alkmaar,19-140,2006,3.2,171,146,25,1,1,0,4,24,0,0,0,0,138,0,4,Matches
86,Julius Dirksen,nl NED,"DF,MF",Go Ahead Eag,22-324,2003,0.6,19,19,0,0,0,0,0,0,0,0,0,0,17,0,1,Matches
