Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Isaac Olaofe,ENG,FW,Charlton Ath,26-032,1999.0,6.6,18,2.71,10,0,2,3,3,0,6,0.9,4,0,1,1,0,0
Ryan One,SCO,"MF,FW",Sheffield Utd,19-180,2006.0,1.5,4,2.71,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Bright Osayi-Samuel,NGA,DF,Birmingham City,27-357,1997.0,8.7,10,1.15,8,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Milutin Osmajić,MNE,FW,Preston,26-151,1999.0,8.6,11,1.28,7,0,1,0,3,0,3,0.35,1,0,1,0,1,0
Gabriel Otegbayo,,DF,Sheffield Weds,,,5.4,1,0.19,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nicholas Oyekunle,ENG,DF,Southampton,18-348,2007.0,0.1,1,18.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
David Ozoh,ENG,MF,Derby County,20-206,2005.0,8.3,8,0.97,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0
Marlon Pack,ENG,MF,Portsmouth,34-273,1991.0,9.4,25,2.65,19,5,0,1,0,0,0,0.0,0,0,0,0,0,0
Louis Page,ENG,MF,Leicester City,17-060,2008.0,1.6,3,1.91,3,0,0,0,0,0,1,0.64,1,0,0,0,0,0
Alex Palmer,ENG,GK,Ipswich Town,29-135,1996.0,9.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kasey Palmer,JAM,"MF,FW",Hull City,29-044,1996.0,2.4,8,3.27,6,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Liam Palmer,SCO,DF,Sheffield Weds,34-095,1991.0,17.7,23,1.23,19,1,0,1,0,2,3,0.16,2,0,0,0,0,1
Ivor Pandur,CRO,GK,Hull City,25-273,2000.0,22.0,5,0.23,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Aynsley Pears,ENG,GK,Blackburn,27-244,1998.0,8.0,2,0.22,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Ben Pearson,ENG,MF,Stoke City,30-353,1995.0,9.0,7,0.78,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sydie Peck,ENG,MF,Sheffield Utd,21-101,2004.0,18.7,44,2.35,26,6,5,6,0,1,3,0.16,1,1,0,0,0,1
Leo Pecover,,"MF,FW",Bristol City,,,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ricardo Pereira,POR,DF,Leicester City,32-078,1993.0,11.9,34,2.86,30,2,0,1,0,1,4,0.34,4,0,0,0,0,0
Jérémy Pétris,FRA,"DF,MF",Watford,27-329,1998.0,4.5,17,3.73,10,0,3,0,4,0,0,0.0,0,0,0,0,0,0
Ashley Phillips,WAL,DF,Stoke City,20-150,2005.0,14.2,11,0.77,11,0,0,0,0,0,1,0.07,1,0,0,0,0,0
Matt Phillips,SCO,"DF,MF",Oxford United,34-285,1991.0,1.9,8,4.21,5,0,1,1,1,0,1,0.53,0,0,0,1,0,0
Nathaniel Phillips,ENG,DF,West Brom,28-277,1997.0,20.5,18,0.88,14,0,0,4,0,0,0,0.0,0,0,0,0,0,0
Jaden Philogene Bidace,ENG,FW,Ipswich Town,23-318,2002.0,15.0,55,3.67,32,6,3,4,9,1,7,0.47,4,1,0,0,2,0
Harry Pickering,ENG,DF,Blackburn,26-359,1998.0,1.7,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kwame Poku,GHA,"FW,MF",QPR,24-134,2001.0,1.3,6,4.74,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Matthew Pollock,ENG,DF,Watford,24-086,2001.0,16.5,14,0.85,11,0,0,2,1,0,3,0.18,2,0,0,1,0,0
Regan Poole,WAL,DF,Portsmouth,27-188,1998.0,19.0,10,0.53,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Brad Potts,ENG,DF,Preston,31-173,1994.0,0.1,2,16.36,1,0,0,1,0,0,1,8.18,0,0,0,1,0,0
George Pratt,ENG,DF,Blackburn,22-097,2003.0,5.5,2,0.33,1,0,0,1,0,0,1,0.17,0,0,0,1,0,0
Nik Prelec,SVN,"FW,MF",Oxford United,24-196,2001.0,10.1,21,2.07,14,0,3,0,3,1,4,0.39,2,0,0,0,2,0
Isaac Price,NIR,"MF,FW",West Brom,22-088,2003.0,19.4,70,3.61,52,2,2,10,3,1,3,0.15,3,0,0,0,0,0
Cameron Pring,ENG,DF,Bristol City,27-335,1998.0,2.9,5,1.74,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Przemysław Płacheta,POL,"MF,FW",Oxford United,27-275,1998.0,7.8,23,2.96,19,0,2,2,0,0,2,0.26,1,0,0,1,0,0
Joshua Quarshie,GER,DF,Southampton,21-150,2004.0,9.0,9,1.0,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Aaron Ramsey,ENG,MF,Leicester City,22-336,2003.0,2.8,7,2.54,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kayne Ramsey,ENG,DF,Charlton Ath,25-074,2000.0,17.6,18,1.03,15,2,0,0,1,0,0,0.0,0,0,0,0,0,0
Adam Randell,ENG,MF,Bristol City,25-083,2000.0,21.0,58,2.76,45,2,1,3,5,2,3,0.14,3,0,0,0,0,0
Joe Rankin-Costello,ENG,"MF,DF",Charlton Ath,26-150,1999.0,1.5,1,0.67,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oliver Rathbone,ENG,MF,Wrexham,29-074,1996.0,0.2,2,11.25,2,0,0,0,0,0,1,5.63,1,0,0,0,0,0
Nathan Redmond,ENG,DF,Sheffield Weds,31-292,1994.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yuri Ribeiro,POR,DF,Blackburn,28-333,1997.0,8.6,15,1.56,11,3,0,0,1,0,1,0.1,1,0,0,0,0,0
Jaïro Riedewald,NED,MF,Sheffield Utd,29-105,1996.0,7.4,6,0.81,6,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Tomas Rigo,SVK,MF,Stoke City,23-173,2002.0,7.8,17,2.18,13,1,0,0,1,2,0,0.0,0,0,0,0,0,0
