Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Max O'Leary,IRL,GK,Bristol City,29-074,1996.0,1.0,19,29,65.5,781,682,2,4,50.0,3,3,100.0,14,22,63.6,0,0.0,0.0,0.0,0,2,0,0,0
Dara O'Shea,IRL,DF,Ipswich Town,26-294,1999.0,22.0,1231,1471,83.7,25725,10500,332,370,89.7,739,810,91.2,150,257,58.4,1,0.9,0.9,0.1,8,97,4,0,71
Odeluga Offiah,ENG,"DF,FW",Preston,23-058,2002.0,12.6,308,386,79.8,4230,1349,197,211,93.4,97,132,73.5,6,22,27.3,0,0.2,0.3,-0.2,4,17,4,2,22
Chiedozie Ogbene,IRL,"DF,FW",Sheffield Utd,28-236,1997.0,8.2,195,277,70.4,2850,720,112,136,82.4,69,91,75.8,11,26,42.3,1,1.4,1.2,-0.4,14,19,15,7,17
Chiedozie Ogbene,IRL,"MF,FW",Ipswich Town,28-236,1997.0,1.0,19,23,82.6,238,20,11,13,84.6,6,7,85.7,0,1,0.0,0,0.1,0.1,-0.1,1,0,0,0,0
Connor Ogilvie,ENG,DF,Portsmouth,29-312,1996.0,11.6,339,510,66.5,6138,2212,151,177,85.3,149,212,70.3,35,90,38.9,0,0.1,0.3,-0.1,4,31,8,3,56
Yuki Ohashi,JPN,FW,Blackburn,29-149,1996.0,18.0,226,358,63.1,3260,739,133,184,72.3,74,117,63.2,10,15,66.7,1,0.9,0.7,0.1,10,21,11,1,43
Caleb Okoli,ITA,DF,Leicester City,24-163,2001.0,8.9,441,540,81.7,7551,3279,186,204,91.2,219,249,88.0,28,68,41.2,0,0.3,0.5,-0.3,4,33,1,0,36
Arthur Okonkwo,ENG,GK,Wrexham,24-105,2001.0,18.0,303,507,59.8,10432,8856,61,61,100.0,101,102,99.0,137,338,40.5,0,0.0,0.0,0.0,0,12,0,0,0
Isaac Olaofe,ENG,FW,Charlton Ath,26-032,1999.0,6.6,54,83,65.1,812,189,27,47,57.4,19,21,90.5,4,5,80.0,1,1.0,0.2,0.0,8,3,4,1,7
Ryan One,SCO,"MF,FW",Sheffield Utd,19-180,2006.0,1.5,27,41,65.9,482,84,14,21,66.7,10,10,100.0,3,4,75.0,0,0.6,0.3,-0.6,4,1,2,2,0
Bright Osayi-Samuel,NGA,DF,Birmingham City,27-357,1997.0,8.7,295,374,78.9,4555,1173,153,171,89.5,128,158,81.0,9,25,36.0,0,0.2,0.3,-0.2,3,15,4,2,17
Milutin Osmajić,MNE,FW,Preston,26-151,1999.0,8.6,62,89,69.7,866,95,35,46,76.1,25,31,80.6,1,5,20.0,0,0.3,0.3,-0.3,2,1,3,0,6
Gabriel Otegbayo,,DF,Sheffield Weds,,,5.4,151,182,83.0,2911,922,49,57,86.0,82,93,88.2,18,26,69.2,0,0.0,0.0,0.0,1,3,0,0,4
Nicholas Oyekunle,ENG,DF,Southampton,18-348,2007.0,0.1,1,1,100.0,22,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
David Ozoh,ENG,MF,Derby County,20-206,2005.0,8.3,243,275,88.4,4159,763,99,110,90.0,119,126,94.4,20,23,87.0,0,0.1,0.3,-0.1,2,28,4,0,19
Marlon Pack,ENG,MF,Portsmouth,34-273,1991.0,9.4,503,635,79.2,10133,3798,183,205,89.3,242,283,85.5,71,131,54.2,0,1.4,1.1,-1.4,15,48,7,4,50
Louis Page,ENG,MF,Leicester City,17-060,2008.0,1.6,36,45,80.0,520,97,22,25,88.0,12,16,75.0,2,4,50.0,1,0.1,0.1,0.9,1,1,1,0,7
Alex Palmer,ENG,GK,Ipswich Town,29-135,1996.0,9.3,269,321,83.8,6206,3867,77,78,98.7,140,142,98.6,50,98,51.0,0,0.0,0.0,0.0,0,3,0,0,1
Kasey Palmer,JAM,"MF,FW",Hull City,29-044,1996.0,2.4,77,111,69.4,1292,368,34,43,79.1,38,50,76.0,3,11,27.3,0,0.1,0.1,-0.1,2,13,5,0,13
Liam Palmer,SCO,DF,Sheffield Weds,34-095,1991.0,17.7,540,738,73.2,9479,3374,231,256,90.2,263,330,79.7,38,112,33.9,1,0.4,0.7,0.6,8,35,14,6,60
Ivor Pandur,CRO,GK,Hull City,25-273,2000.0,22.0,563,912,61.7,17597,13249,94,94,100.0,262,267,98.1,207,547,37.8,0,0.0,0.1,0.0,1,25,1,0,0
Aynsley Pears,ENG,GK,Blackburn,27-244,1998.0,8.0,170,302,56.3,5156,3815,29,29,100.0,81,82,98.8,60,191,31.4,0,0.0,0.0,0.0,0,3,0,0,0
Ben Pearson,ENG,MF,Stoke City,30-353,1995.0,9.0,315,367,85.8,6055,1326,114,124,91.9,167,183,91.3,33,49,67.3,0,0.0,0.1,0.0,1,27,1,0,35
Sydie Peck,ENG,MF,Sheffield Utd,21-101,2004.0,18.7,746,976,76.4,13133,3961,337,380,88.7,324,399,81.2,69,151,45.7,1,1.2,2.0,-0.2,14,100,11,0,114
Leo Pecover,,"MF,FW",Bristol City,,,0.4,2,4,50.0,12,6,2,4,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ricardo Pereira,POR,DF,Leicester City,32-078,1993.0,11.9,666,812,82.0,9589,3595,395,435,90.8,238,296,80.4,19,41,46.3,1,1.1,1.2,-0.1,15,42,3,0,54
Jérémy Pétris,FRA,"DF,MF",Watford,27-329,1998.0,4.5,114,162,70.4,1979,653,51,60,85.0,46,67,68.7,12,20,60.0,0,0.5,0.4,-0.5,7,6,6,2,13
Ashley Phillips,WAL,DF,Stoke City,20-150,2005.0,14.2,606,708,85.6,12673,3705,115,133,86.5,433,465,93.1,56,97,57.7,1,0.5,0.5,0.5,3,18,0,0,33
Matt Phillips,SCO,"DF,MF",Oxford United,34-285,1991.0,1.9,30,45,66.7,462,135,16,21,76.2,9,12,75.0,3,6,50.0,0,0.2,0.1,-0.2,3,3,2,0,5
Nathaniel Phillips,ENG,DF,West Brom,28-277,1997.0,20.5,1047,1242,84.3,21472,7907,288,325,88.6,607,652,93.1,144,236,61.0,0,0.5,0.9,-0.5,4,40,1,0,39
Jaden Philogene Bidace,ENG,FW,Ipswich Town,23-318,2002.0,15.0,338,456,74.1,5730,1479,169,200,84.5,129,157,82.2,34,70,48.6,2,1.7,1.9,0.3,22,20,18,4,51
Harry Pickering,ENG,DF,Blackburn,26-359,1998.0,1.7,48,73,65.8,811,452,28,34,82.4,15,23,65.2,5,14,35.7,0,0.0,0.0,0.0,0,2,0,0,2
Kwame Poku,GHA,"FW,MF",QPR,24-134,2001.0,1.3,25,41,61.0,390,154,13,14,92.9,11,22,50.0,1,2,50.0,0,0.2,0.2,-0.2,3,2,2,0,7
Matthew Pollock,ENG,DF,Watford,24-086,2001.0,16.5,826,973,84.9,16290,6174,283,307,92.2,448,489,91.6,88,156,56.4,1,0.1,0.5,0.9,1,51,0,0,48
Regan Poole,WAL,DF,Portsmouth,27-188,1998.0,19.0,680,839,81.0,13416,4046,212,239,88.7,388,439,88.4,76,138,55.1,0,0.4,0.2,-0.4,5,39,1,1,43
Brad Potts,ENG,DF,Preston,31-173,1994.0,0.1,3,7,42.9,25,13,3,4,75.0,0,1,0.0,0,1,0.0,1,0.3,0.0,0.7,2,0,1,0,1
George Pratt,ENG,DF,Blackburn,22-097,2003.0,5.5,180,278,64.7,3479,1476,67,82,81.7,88,115,76.5,22,64,34.4,1,0.6,0.1,0.4,1,14,1,0,10
Nik Prelec,SVN,"FW,MF",Oxford United,24-196,2001.0,10.1,122,189,64.6,1781,328,69,96,71.9,42,61,68.9,5,8,62.5,1,0.7,0.7,0.3,9,6,4,0,14
Isaac Price,NIR,"MF,FW",West Brom,22-088,2003.0,19.4,445,590,75.4,7338,1635,235,282,83.3,156,185,84.3,41,77,53.2,2,3.3,1.8,-1.3,33,38,11,6,50
Cameron Pring,ENG,DF,Bristol City,27-335,1998.0,2.9,80,120,66.7,1417,457,36,45,80.0,39,48,81.3,5,22,22.7,0,0.1,0.1,-0.1,2,6,2,0,8
Przemysław Płacheta,POL,"MF,FW",Oxford United,27-275,1998.0,7.8,162,238,68.1,2367,544,101,136,74.3,46,64,71.9,10,19,52.6,1,1.3,1.6,-0.3,8,12,6,4,10
Joshua Quarshie,GER,DF,Southampton,21-150,2004.0,9.0,561,666,84.2,9917,3197,223,232,96.1,301,349,86.2,33,75,44.0,0,0.2,0.1,-0.2,3,40,1,0,42
Aaron Ramsey,ENG,MF,Leicester City,22-336,2003.0,2.8,66,81,81.5,970,309,34,37,91.9,23,31,74.2,5,6,83.3,0,0.1,0.1,-0.1,3,11,0,0,15
Kayne Ramsey,ENG,DF,Charlton Ath,25-074,2000.0,17.6,460,657,70.0,8725,3372,199,225,88.4,193,262,73.7,62,154,40.3,0,0.4,0.6,-0.4,4,52,4,2,56
Adam Randell,ENG,MF,Bristol City,25-083,2000.0,21.0,698,885,78.9,11483,3797,351,401,87.5,278,338,82.2,49,99,49.5,1,0.8,1.0,0.2,16,112,16,2,123
Joe Rankin-Costello,ENG,"MF,DF",Charlton Ath,26-150,1999.0,1.5,25,42,59.5,421,118,15,16,93.8,6,15,40.0,3,7,42.9,0,0.0,0.0,0.0,0,6,0,0,5
Oliver Rathbone,ENG,MF,Wrexham,29-074,1996.0,0.2,10,14,71.4,146,21,7,9,77.8,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,2
Nathan Redmond,ENG,DF,Sheffield Weds,31-292,1994.0,0.1,8,11,72.7,108,14,5,6,83.3,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Yuri Ribeiro,POR,DF,Blackburn,28-333,1997.0,8.6,334,465,71.8,4864,1973,193,220,87.7,107,154,69.5,20,56,35.7,0,0.4,0.7,-0.4,9,13,7,2,25
Jaïro Riedewald,NED,MF,Sheffield Utd,29-105,1996.0,7.4,221,266,83.1,3488,1320,114,132,86.4,90,104,86.5,11,17,64.7,0,0.0,0.2,0.0,0,23,2,0,31
Tomas Rigo,SVK,MF,Stoke City,23-173,2002.0,7.8,245,312,78.5,4287,1001,119,138,86.2,98,110,89.1,25,50,50.0,0,0.4,0.5,-0.4,8,33,1,0,34
Emil Riis Jakobsen,DEN,FW,Bristol City,27-182,1998.0,16.8,211,330,63.9,3150,594,127,183,69.4,70,89,78.7,10,25,40.0,1,2.4,1.5,-1.4,19,15,9,2,25
Haydon Roberts,ENG,DF,Bristol City,23-227,2002.0,4.1,134,174,77.0,2207,843,64,74,86.5,60,71,84.5,7,23,30.4,0,0.5,0.4,-0.5,6,11,3,2,11
Patrick Roberts,ENG,FW,Birmingham City,28-321,1997.0,12.2,368,475,77.5,5545,1508,215,251,85.7,124,148,83.8,23,47,48.9,2,3.5,3.8,-1.5,29,18,28,6,49
Jack Robinson,ENG,DF,Sheffield Utd,32-113,1993.0,2.4,109,131,83.2,2459,895,24,26,92.3,63,68,92.6,21,36,58.3,0,0.3,0.3,-0.3,2,8,0,0,7
Jack Robinson,ENG,DF,Birmingham City,32-113,1993.0,4.9,274,321,85.4,5577,1936,88,93,94.6,149,162,92.0,35,61,57.4,0,0.0,0.1,0.0,0,22,2,0,21
Jay Robinson,ENG,"MF,FW",Southampton,18-283,2007.0,8.0,111,166,66.9,1704,452,60,86,69.8,39,51,76.5,7,13,53.8,1,0.4,0.6,0.6,8,9,11,2,21
Mads Roerslev,DEN,"DF,MF",Southampton,26-182,1999.0,5.2,202,284,71.1,3243,1012,106,119,89.1,81,108,75.0,12,35,34.3,0,0.3,0.3,-0.3,3,15,4,1,20
Ole Romeny,IDN,MF,Oxford United,25-186,2000.0,2.2,42,59,71.2,636,93,24,33,72.7,16,18,88.9,2,4,50.0,0,0.0,0.0,0.0,0,1,1,0,4
Oriol Romeu,ESP,MF,Southampton,34-090,1991.0,0.4,14,19,73.7,207,40,7,10,70.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0.0,1,0,1,0,3
