Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
227,Joan Gonzàlez,es ESP,MF,Lecce,20,2002,35,26,2197,24.4,1,3,4,1,0,0,8,0,1.5,1.5,1.3,2.8,18,71,67,0.04,0.12,0.16,0.04,0.16,0.06,0.05,0.11,0.06,0.11,Matches
228,Nicolás González,ar ARG,"FW,MF",Fiorentina,24,1998,24,13,1354,15.0,6,1,7,4,2,2,3,0,6.7,5.4,1.3,6.7,37,70,112,0.40,0.07,0.47,0.27,0.33,0.45,0.09,0.53,0.36,0.45,Matches
229,Robin Gosens,de GER,DF,Inter,28,1994,32,11,1184,13.2,3,0,3,3,0,0,2,0,3.0,3.0,2.4,5.3,29,41,102,0.23,0.00,0.23,0.23,0.23,0.23,0.18,0.41,0.23,0.41,Matches
230,Alberto Grassi,it ITA,MF,Empoli,27,1995,25,14,1194,13.3,0,0,0,0,0,0,3,0,0.6,0.6,0.4,0.9,5,50,10,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
231,Andrew Gravillon,gp GLP,DF,Torino,24,1998,7,4,312,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
232,Axel Guessand,fr FRA,DF,Udinese,17,2004,1,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
233,Koray Günter,de GER,DF,Hellas Verona,27,1994,13,11,1003,11.1,1,0,1,1,0,0,3,0,0.9,0.9,0.9,1.9,7,36,3,0.09,0.00,0.09,0.09,0.09,0.08,0.08,0.17,0.08,0.17,Matches
234,Koray Günter,de GER,DF,Sampdoria,27,1994,10,8,776,8.6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,4,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
235,Emmanuel Gyasi,gh GHA,"FW,DF",Spezia,28,1994,35,35,2810,31.2,2,0,2,2,0,0,10,0,4.0,4.0,1.9,5.9,35,52,154,0.06,0.00,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,Matches
236,Norbert Gyömbér,sk SVK,DF,Salernitana,30,1992,27,23,1740,19.3,0,1,1,0,0,0,5,0,0.7,0.7,0.6,1.4,5,45,2,0.00,0.05,0.05,0.00,0.05,0.04,0.03,0.07,0.04,0.07,Matches
