Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Bartosz Bereszyński,POL,DF,Sampdoria,30,1992,13.3,1,0,0,13,10,0,31,21,18,0,0,0,68,18,11,62.1
Bartosz Bereszyński,POL,DF,Napoli,30,1992,1.8,1,0,0,2,2,0,0,3,2,0,0,0,14,2,1,66.7
Marco Bertini,ITA,MF,Lazio,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beto,GNB,FW,Udinese,24,1998,23.7,2,0,0,36,26,9,9,6,9,0,0,0,31,70,64,52.2
Matteo Bianchetti,ITA,DF,Cremonese,29,1993,23.7,5,0,0,18,10,0,3,20,19,0,1,0,137,63,40,61.2
Alessandro Bianco,ITA,MF,Fiorentina,19,2002,1.7,1,0,0,7,4,0,1,0,2,0,0,0,8,2,2,50.0
Jaka Bijol,SVN,DF,Udinese,23,1999,30.3,10,0,0,29,7,0,1,29,23,0,1,0,144,87,47,64.9
Cristiano Biraghi,ITA,DF,Fiorentina,29,1992,28.3,1,0,0,29,38,1,300,14,38,0,0,1,137,19,25,43.2
Samuele Birindelli,ITA,DF,Monza,23,1999,15.6,8,0,0,15,14,2,70,16,19,0,0,0,69,6,9,40.0
Kristijan Bistrović,CRO,MF,Lecce,24,1998,5.1,0,0,0,2,4,1,21,0,1,0,0,0,15,2,5,28.6
Alexis Blin,FRA,MF,Lecce,25,1996,26.4,8,0,0,47,31,1,28,34,39,1,0,0,133,55,69,44.4
Jeremie Boga,CIV,"MF,FW",Atalanta,25,1997,8.7,0,0,0,4,17,1,55,1,5,0,0,0,34,5,4,55.6
Emil Bohinen,NOR,MF,Salernitana,23,1999,9.2,0,0,0,15,13,1,3,17,13,0,1,0,78,12,15,44.4
Giacomo Bonaventura,ITA,MF,Fiorentina,32,1989,21.2,4,1,0,24,40,2,48,16,23,1,0,0,140,14,22,38.9
Federico Bonazzoli,ITA,"FW,MF",Salernitana,25,1997,12.4,1,0,0,18,32,7,4,3,3,0,0,0,37,6,15,28.6
