Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Federico Dimarco,ITA,"DF,FW",Inter,26,1997,24.2,96,4.0,57,26,2,9,2,0,14,0.58,10,2,0,2,0,0
Berat Djimsiti,ALB,DF,Atalanta,31,1993,29.3,30,1.02,23,0,0,7,0,0,7,0.24,5,0,0,2,0,0
Dodô,BRA,DF,Fiorentina,25,1998,34.6,75,2.17,56,2,4,3,8,2,11,0.32,7,0,2,0,2,0
Benjamín Domínguez,ARG,FW,Bologna,20,2003,14.2,41,2.88,30,0,5,1,4,1,7,0.49,6,0,1,0,0,0
Patrick Dorgu,DEN,"DF,FW",Lecce,19,2004,20.4,58,2.84,38,2,4,4,9,1,7,0.34,5,0,0,1,1,0
Alberto Dossena,ITA,DF,Como,25,1998,20.3,11,0.54,9,0,1,1,0,0,2,0.1,1,0,0,1,0,0
Issa Doumbia,ITA,MF,Venezia,20,2003,10.4,17,1.63,14,0,1,1,0,1,2,0.19,2,0,0,0,0,0
Anastasios Douvikas,GRE,FW,Como,24,1999,6.4,19,2.95,15,0,2,1,1,0,1,0.16,1,0,0,0,0,0
Artem Dovbyk,UKR,FW,Roma,27,1997,26.9,52,1.94,43,0,4,4,1,0,6,0.22,3,0,2,1,0,0
Ondrej Duda,SVK,MF,Hellas Verona,29,1994,26.6,73,2.74,45,18,2,3,4,1,7,0.26,5,2,0,0,0,0
Denzel Dumfries,NED,"DF,FW",Inter,28,1996,21.7,55,2.53,38,6,3,3,4,1,4,0.18,2,0,0,1,1,0
Alfred Duncan,GHA,MF,Venezia,31,1993,10.6,32,3.01,25,4,1,2,0,0,2,0.19,1,0,0,1,0,0
Paulo Dybala,ARG,"FW,MF",Roma,30,1993,15.7,84,5.34,47,19,1,6,11,0,8,0.51,5,1,0,0,2,0
Enzo Ebosse,CMR,DF,Udinese,25,1999,1.0,3,3.0,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Tyronne Ebuehi,NGA,"DF,MF",Empoli,28,1995,0.8,1,1.23,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Éderson,BRA,MF,Atalanta,25,1999,32.0,98,3.06,78,2,6,6,2,4,10,0.31,9,0,0,1,0,0
Kingsley Ehizibue,NED,DF,Udinese,29,1995,27.8,51,1.84,39,4,1,3,3,1,2,0.07,1,0,0,1,0,0
Jeff Ekhator,ITA,"FW,MF",Genoa,17,2006,8.5,21,2.46,15,0,0,2,4,0,2,0.23,1,0,0,1,0,0
Jurgen Ekkelenkamp,NED,MF,Udinese,24,2000,21.0,38,1.81,29,2,2,3,1,1,6,0.29,4,0,1,1,0,0
Emmanuel Ekong,SWE,"MF,FW",Empoli,22,2002,2.1,6,2.9,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0
Caleb Ekuban,GHA,FW,Genoa,30,1994,6.2,14,2.27,11,0,0,2,1,0,3,0.49,3,0,0,0,0,0
Mikael Ellertsson,ISL,"DF,MF",Venezia,22,2002,27.4,46,1.68,32,1,4,3,5,1,5,0.18,4,0,0,0,1,0
Elif Elmas,MKD,"FW,MF",Torino,24,1999,11.3,29,2.56,19,0,4,4,2,0,3,0.26,1,0,1,1,0,0
Emerson,BRA,DF,Milan,25,1999,15.3,33,2.16,29,0,0,2,2,0,1,0.07,1,0,0,0,0,0
Yannik Engelhardt,GER,"MF,DF",Como,23,2001,12.9,24,1.86,20,1,1,0,1,1,2,0.15,2,0,0,0,0,0
Martin Erlic,CRO,DF,Bologna,26,1998,3.7,4,1.08,2,0,0,1,1,0,1,0.27,0,0,0,0,1,0
Sebastiano Esposito,ITA,"FW,MF",Empoli,22,2002,25.9,79,3.05,52,4,6,9,7,1,6,0.23,0,0,2,3,1,0
