Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Bryan Cristante,ITA,MF,Roma,29,1995,22.7,1497,57,261,981,263,41,1497,14,6,42.9,6,42.9,833,4194,2060,25,30,2,23,13,1057,41
Domen Črnigoj,SVN,MF,Venezia,28,1995,1.5,76,3,13,40,23,3,76,1,0,0.0,1,100.0,36,199,116,4,2,0,7,1,47,6
Juan Cuadrado,COL,"DF,MF",Atalanta,36,1988,9.2,722,15,117,277,332,40,722,40,17,42.5,12,30.0,462,2411,1511,41,43,15,14,10,509,90
Patrick Cutrone,ITA,FW,Como,26,1998,22.7,692,5,28,281,388,119,691,24,9,37.5,12,50.0,445,2251,1067,53,16,26,62,26,508,155
Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,28,2,8,11,9,1,28,0,0,,0,,11,46,33,1,1,1,0,0,15,0
Danilo D'Ambrosio,ITA,DF,Monza,35,1988,12.2,776,126,400,296,84,19,776,7,2,28.6,5,71.4,443,1697,803,10,6,1,15,1,476,16
Lucas Da Cunha,FRA,MF,Como,23,2001,29.0,1929,54,377,1031,528,40,1929,30,12,40.0,17,56.7,1200,6198,3078,63,52,13,20,16,1382,85
Samuel Dahl,SWE,"DF,MF",Roma,24,2000,0.5,37,0,3,16,18,0,37,1,0,0.0,1,100.0,21,117,35,1,2,0,1,0,25,4
Thijs Dallinga,NED,FW,Bologna,23,2000,12.8,439,15,28,199,214,65,439,11,2,18.2,9,81.8,243,1033,213,9,6,8,42,22,343,84
Maat Daniel Caprini,ITA,FW,Fiorentina,18,2006,0.1,13,0,1,6,6,0,13,2,0,0.0,1,50.0,5,35,6,0,0,0,3,1,6,3
Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,11.2,538,36,211,278,56,10,538,7,4,57.1,3,42.9,285,1302,671,8,4,0,7,4,306,8
Danilo,BRA,DF,Juventus,33,1991,6.5,625,43,209,350,70,4,625,0,0,,0,,381,2018,1136,16,9,2,4,2,476,7
Matteo Darmian,ITA,DF,Inter,34,1989,19.8,1144,53,361,501,286,33,1144,9,4,44.4,4,44.4,593,1976,864,14,11,9,15,6,787,102
Juan David Cabal,COL,DF,Juventus,23,2001,5.1,401,13,135,220,52,3,401,7,4,57.1,0,0.0,242,1342,774,14,11,0,6,4,285,19
Keinan Davis,ENG,FW,Udinese,26,1998,11.8,404,5,19,195,194,67,404,35,17,48.6,18,51.4,231,1575,605,26,12,16,33,25,325,77
Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,29,1995,20.5,982,93,398,528,59,10,982,4,2,50.0,1,25.0,457,2250,1229,10,7,0,7,3,547,3
Charles De Ketelaere,BEL,"MF,FW",Atalanta,23,2001,23.0,1238,10,75,530,657,135,1238,95,43,45.3,45,47.4,832,5658,3023,108,75,41,52,50,1008,211
Mattia De Sciglio,ITA,DF,Empoli,31,1992,8.5,394,35,165,187,44,9,394,4,1,25.0,2,50.0,161,719,257,4,3,0,5,4,191,7
Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,11.8,657,31,198,318,142,11,657,5,1,20.0,4,80.0,313,1164,444,4,7,0,7,2,380,30
Koni De Winter,BEL,DF,Genoa,22,2002,23.7,1551,161,801,659,105,34,1551,17,6,35.3,11,64.7,807,4302,1986,10,6,0,17,8,938,10
Alessandro Deiola,ITA,MF,Cagliari,28,1995,15.9,686,49,189,352,152,20,686,4,3,75.0,1,25.0,332,1201,553,11,4,1,15,11,398,36
Enrico Del Prato,ITA,DF,Parma,24,1999,32.7,1830,228,826,785,225,32,1830,4,2,50.0,1,25.0,1006,3835,1880,8,10,3,12,3,1078,31
