Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Sofyan Amrabat,MAR,MF,Fiorentina,27,1996,2.0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14
Angeliño,ESP,DF,Roma,27,1997,35.3,1544,1969,78.4,28294,9958,647,729,88.8,715,868,82.4,162,312,51.9,1,3.7,4.0,-2.7,50,135,58,22,172
Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,4,4,100.0,82,12,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Faustino Anjorin,ENG,MF,Empoli,22,2001,12.4,355,441,80.5,6247,2157,161,188,85.6,158,176,89.8,28,54,51.9,3,1.7,1.1,1.3,17,44,13,1,55
Marko Arnautović,AUT,FW,Inter,35,1989,6.1,113,158,71.5,1462,257,72,89,80.9,33,45,73.3,2,4,50.0,2,1.2,0.9,0.8,7,6,8,0,16
Kristjan Asllani,ALB,MF,Inter,22,2002,11.0,868,973,89.2,16269,4554,338,352,96.0,412,441,93.4,106,156,67.9,2,1.9,1.9,0.1,15,74,18,8,55
Arthur Atta,FRA,"MF,FW",Udinese,21,2003,13.9,509,633,80.4,7890,1920,271,313,86.6,184,208,88.5,30,54,55.6,1,1.4,1.4,-0.4,18,42,8,2,57
Emil Audero,IDN,GK,Como,27,1997,8.0,209,253,82.6,4830,3117,51,51,100.0,118,120,98.3,40,82,48.8,0,0.0,0.0,0.0,0,1,0,0,0
Tommaso Augello,ITA,DF,Cagliari,29,1994,30.1,1179,1640,71.9,20383,8524,573,650,88.2,490,650,75.4,108,254,42.5,7,4.6,4.8,2.4,39,79,38,26,118
Carlos Augusto,BRA,DF,Inter,25,1999,18.8,1083,1227,88.3,17582,4524,548,590,92.9,457,496,92.1,62,97,63.9,2,1.6,1.5,0.4,9,61,12,3,80
Yann Aurel Bisseck,GER,DF,Inter,23,2000,18.3,1179,1284,91.8,19786,5328,485,509,95.3,622,659,94.4,48,71,67.6,2,0.9,1.2,1.1,7,77,7,1,93
Paulo Azzi,BRA,DF,Cagliari,30,1994,4.7,126,180,70.0,2228,889,58,74,78.4,53,69,76.8,12,29,41.4,0,0.9,0.7,-0.9,5,7,6,4,13
Oussama El Azzouzi,MAR,MF,Bologna,23,2001,0.2,17,18,94.4,304,98,6,6,100.0,10,10,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,4
Jacopo Bacci,ITA,MF,Empoli,19,2005,0.3,6,11,54.5,113,46,4,4,100.0,1,3,33.3,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
Milan Badelj,CRO,MF,Genoa,35,1989,16.4,681,836,81.5,11772,3955,305,355,85.9,299,331,90.3,60,112,53.6,0,1.1,0.9,-1.1,12,73,10,0,83
Mitchel Bakker,NED,MF,Atalanta,24,2000,0.2,7,9,77.8,109,22,2,3,66.7,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,9.2,305,363,84.0,3953,740,195,214,91.1,95,113,84.1,3,8,37.5,1,1.0,0.8,0.0,10,22,6,0,23
Keita Baldé,SEN,FW,Monza,29,1995,7.1,199,223,89.2,2878,575,104,111,93.7,78,87,89.7,8,11,72.7,0,0.2,0.4,-0.2,4,19,8,3,35
Botond Balogh,HUN,DF,Parma,22,2002,22.8,861,964,89.3,16914,4970,226,247,91.5,549,581,94.5,76,107,71.0,1,0.1,0.3,0.9,2,24,0,0,37
Mario Balotelli,ITA,"FW,MF",Genoa,33,1990,0.7,4,15,26.7,102,18,1,5,20.0,2,5,40.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,1
Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,6.8,125,162,77.2,1873,408,76,85,89.4,39,53,73.6,7,17,41.2,1,1.1,0.8,-0.1,11,3,8,6,7
