Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Jean-Paul Boëtius,SUR,MF,Hertha BSC,28,1994,11.7,0,5,3,60.0,0.43,0.26,0.0,0.0,20.6,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Yvandro Borges Sanches,LUX,"FW,MF",Gladbach,18,2004,0.3,0,1,0,0.0,3.21,0.0,0.0,,34.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Sebastiaan Bornauw,BEL,DF,Wolfsburg,23,1999,21.4,1,4,3,75.0,0.19,0.14,0.25,0.33,11.3,0,0,0,0.4,0.4,0.1,0.6,0.6
Rafael Borré,COL,"MF,FW",Eint Frankfurt,26,1995,12.0,2,24,7,29.2,2.0,0.58,0.04,0.14,13.1,0,1,1,4.1,3.3,0.14,-2.1,-2.3
Julian Brandt,GER,"MF,FW",Dortmund,26,1996,26.6,9,42,26,61.9,1.58,0.98,0.21,0.35,18.0,1,0,0,5.2,5.2,0.12,3.8,3.8
Fabian Bredlow,GER,GK,Stuttgart,27,1995,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Josip Brekalo,CRO,"MF,FW",Wolfsburg,24,1998,3.0,0,2,1,50.0,0.66,0.33,0.0,0.0,20.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
John Brooks,USA,DF,Hoffenheim,29,1993,15.0,0,7,0,0.0,0.47,0.0,0.0,,11.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Moritz Broschinski,GER,"FW,MF",Bochum,21,2000,2.4,2,5,4,80.0,2.11,1.69,0.4,0.5,12.2,0,0,0,1.3,1.3,0.26,0.7,0.7
Cédric Brunner,SUI,DF,Schalke 04,28,1994,25.7,0,10,0,0.0,0.39,0.0,0.0,,24.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Jacob Bruun Larsen,DEN,FW,Hoffenheim,23,1998,3.6,1,7,2,28.6,1.92,0.55,0.14,0.5,14.9,0,0,0,1.3,1.3,0.19,-0.3,-0.3
Lee Buchanan,ENG,"DF,FW",Werder Bremen,21,2001,5.2,1,5,1,20.0,0.95,0.19,0.2,1.0,22.1,0,0,0,0.3,0.3,0.06,0.7,0.7
Marius Bülter,GER,"FW,MF",Schalke 04,29,1993,28.9,11,64,23,35.9,2.22,0.8,0.11,0.3,18.4,1,4,4,9.0,6.1,0.1,2.0,0.9
Delano Burgzorg,SUR,"FW,MF",Mainz 05,23,1998,2.7,0,4,2,50.0,1.48,0.74,0.0,0.0,25.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Jonathan Burkardt,GER,"MF,FW",Mainz 05,22,2000,5.9,1,20,6,30.0,3.38,1.01,0.05,0.17,12.6,0,0,1,3.0,2.2,0.11,-2.0,-1.2
Oliver Burke,SCO,"FW,MF",Werder Bremen,25,1997,3.0,2,8,5,62.5,2.69,1.68,0.25,0.4,14.0,0,0,0,1.0,1.0,0.13,1.0,1.0
Aurélio Buta,POR,DF,Eint Frankfurt,25,1997,14.6,3,9,4,44.4,0.61,0.27,0.33,0.75,16.7,0,0,0,0.6,0.6,0.07,2.4,2.4
Anthony Caci,FRA,DF,Mainz 05,25,1997,22.6,2,10,4,40.0,0.44,0.18,0.2,0.5,16.1,0,0,0,0.6,0.6,0.06,1.4,1.4
Kerim Calhanoglu,GER,DF,Schalke 04,19,2002,0.7,0,1,0,0.0,1.43,0.0,0.0,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0
Daniel Caligiuri,ITA,"DF,MF",Augsburg,34,1988,3.2,1,6,2,33.3,1.86,0.62,0.17,0.5,19.8,0,0,0,0.4,0.4,0.07,0.6,0.6
Emre Can,GER,MF,Dortmund,28,1994,21.1,2,15,2,13.3,0.71,0.09,0.07,0.5,22.3,0,1,1,1.6,0.8,0.06,0.4,0.2
João Cancelo,POR,"DF,FW",Bayern Munich,28,1994,11.2,1,12,4,33.3,1.07,0.36,0.08,0.25,18.5,0,0,0,0.7,0.7,0.06,0.3,0.3
Irvin Cardona,MLT,"MF,FW",Augsburg,24,1997,3.5,1,9,4,44.4,2.55,1.13,0.11,0.25,13.9,0,0,0,1.9,1.9,0.21,-0.9,-0.9
Koen Casteels,BEL,GK,Wolfsburg,30,1992,34.0,0,1,0,0.0,0.03,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Julian Chabot,GER,DF,Köln,24,1998,20.0,0,14,3,21.4,0.7,0.15,0.0,0.0,9.1,0,0,0,1.6,1.6,0.11,-1.6,-1.6
Timothy Chandler,USA,DF,Eint Frankfurt,32,1990,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabio Chiarodia,ITA,DF,Werder Bremen,17,2005,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Oliver Christensen,DEN,GK,Hertha BSC,23,1999,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Darko Churlinov,MKD,FW,Stuttgart,22,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tolga Ciğerci,TUR,MF,Hertha BSC,30,1992,7.5,0,9,3,33.3,1.21,0.4,0.0,0.0,29.4,1,0,0,0.2,0.2,0.02,-0.2,-0.2
David Čolina,CRO,"DF,FW",Augsburg,22,2000,1.8,1,1,1,100.0,0.54,0.54,1.0,1.0,8.4,0,0,0,0.4,0.4,0.44,0.6,0.6
Kingsley Coman,FRA,"FW,MF",Bayern Munich,26,1996,15.7,8,49,17,34.7,3.13,1.09,0.16,0.47,18.6,0,0,0,4.6,4.6,0.09,3.4,3.4
Danny da Costa,GER,DF,Mainz 05,29,1993,13.7,0,7,1,14.3,0.51,0.07,0.0,0.0,14.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Soumaïla Coulibaly,FRA,DF,Dortmund,18,2003,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tanguy Coulibaly,FRA,"FW,DF",Stuttgart,21,2001,3.6,4,11,6,54.5,3.04,1.66,0.27,0.5,19.4,0,1,1,2.3,1.5,0.14,1.7,1.5
Nicolas Cozza,FRA,DF,Wolfsburg,23,1999,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Moanes Dabbur,ISR,FW,Hoffenheim,30,1992,10.4,6,22,14,63.6,2.12,1.35,0.27,0.43,15.0,0,0,0,3.5,3.5,0.16,2.5,2.5
Finn Dahmen,GER,GK,Mainz 05,24,1998,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mahmoud Dahoud,GER,MF,Dortmund,26,1996,3.7,0,6,1,16.7,1.6,0.27,0.0,0.0,26.2,1,0,0,0.4,0.4,0.07,-0.4,-0.4
Muhammed Damar,GER,MF,Hoffenheim,18,2004,1.8,0,1,0,0.0,0.57,0.0,0.0,,10.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Márton Dárdai,HUN,"DF,MF",Hertha BSC,20,2002,10.5,1,2,1,50.0,0.19,0.1,0.5,1.0,22.2,0,0,0,0.1,0.1,0.04,0.9,0.9
Vladimír Darida,CZE,MF,Hertha BSC,31,1990,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alphonso Davies,CAN,DF,Bayern Munich,21,2000,22.7,1,19,8,42.1,0.84,0.35,0.05,0.13,18.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7
Thomas Delaney,DEN,MF,Hoffenheim,30,1991,3.3,0,1,0,0.0,0.3,0.0,0.0,,20.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Kerem Demirbay,GER,MF,Leverkusen,29,1993,17.2,4,31,6,19.4,1.81,0.35,0.13,0.67,24.3,8,0,0,2.2,2.2,0.07,1.8,1.8
Ermedin Demirović,BIH,"FW,MF",Augsburg,24,1998,26.3,8,63,23,36.5,2.4,0.87,0.11,0.3,15.2,0,1,1,7.5,6.8,0.11,0.5,0.2
Sepp van den Berg,NED,DF,Schalke 04,20,2001,7.7,1,5,1,20.0,0.65,0.13,0.2,1.0,13.0,0,0,0,0.6,0.6,0.12,0.4,0.4
Moussa Diaby,FRA,"FW,MF",Leverkusen,23,1999,30.0,9,79,34,43.0,2.63,1.13,0.11,0.26,17.8,0,0,1,11.0,10.3,0.13,-2.0,-1.3
Abdou Diallo,SEN,"DF,MF",RB Leipzig,26,1996,5.3,1,4,1,25.0,0.75,0.19,0.25,1.0,8.0,0,0,0,0.4,0.4,0.1,0.6,0.6
Justin Diehl,GER,"MF,FW",Köln,17,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Florian Dietz,GER,FW,Köln,23,1998,4.4,1,17,6,35.3,3.87,1.37,0.06,0.17,11.9,0,0,0,2.5,2.5,0.15,-1.5,-1.5
Junior Dina Ebimbe,FRA,"DF,MF",Eint Frankfurt,21,2000,11.8,3,26,10,38.5,2.2,0.85,0.12,0.3,14.6,0,0,0,3.7,3.7,0.14,-0.7,-0.7
Eren Dinkçi,GER,"FW,MF",Werder Bremen,20,2001,2.6,0,6,0,0.0,2.34,0.0,0.0,,15.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Ritsu Doan,JPN,"MF,FW",Freiburg,24,1998,26.9,5,57,27,47.4,2.12,1.0,0.09,0.19,17.3,0,0,0,7.0,7.0,0.12,-2.0,-2.0
Danilho Doekhi,NED,DF,Union Berlin,24,1998,24.6,5,17,9,52.9,0.69,0.37,0.29,0.56,11.6,0,0,0,1.9,1.9,0.11,3.1,3.1
Kasper Dolberg,DEN,"FW,MF",Hoffenheim,24,1997,4.5,1,7,3,42.9,1.57,0.67,0.14,0.33,16.7,0,0,0,0.5,0.5,0.07,0.5,0.5
Niklas Dorsch,GER,MF,Augsburg,24,1998,5.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dion Drena Beljo,CRO,FW,Augsburg,20,2002,12.5,3,13,5,38.5,1.04,0.4,0.23,0.6,15.2,0,0,0,1.6,1.6,0.12,1.4,1.4
Dominick Drexler,GER,"MF,FW",Schalke 04,32,1990,15.2,4,16,6,37.5,1.05,0.4,0.25,0.67,14.6,0,0,0,2.4,2.4,0.15,1.6,1.6
Marvin Ducksch,GER,FW,Werder Bremen,28,1994,31.7,12,94,43,45.7,2.97,1.36,0.13,0.28,19.1,14,0,1,11.3,10.5,0.11,0.7,1.5
Ondrej Duda,SVK,MF,Köln,27,1994,7.7,0,12,3,25.0,1.57,0.39,0.0,0.0,18.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Julien Duranville,BEL,MF,Dortmund,16,2006,0.3,0,1,0,0.0,3.1,0.0,0.0,,25.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Maximilian Eggestein,GER,MF,Freiburg,25,1996,27.2,1,16,4,25.0,0.59,0.15,0.06,0.25,21.6,0,0,0,0.9,0.9,0.06,0.1,0.1
Lilian Egloff,GER,"MF,FW",Stuttgart,19,2002,2.7,0,8,0,0.0,2.99,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Kingsley Ehizibue,NED,DF,Köln,27,1995,0.7,0,1,1,100.0,1.48,1.48,0.0,0.0,35.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Julian Eitschberger,GER,FW,Hertha BSC,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Chidera Ejuke,NGA,"FW,MF",Hertha BSC,24,1998,9.9,0,24,5,20.8,2.43,0.51,0.0,0.0,21.1,0,0,0,1.5,1.5,0.06,-1.5,-1.5
Nico Elvedi,SUI,DF,Gladbach,25,1996,31.4,3,18,9,50.0,0.57,0.29,0.17,0.33,10.5,0,0,0,2.6,2.6,0.14,0.4,0.4
Wataru Endo,JPN,MF,Stuttgart,29,1993,32.5,5,45,15,33.3,1.39,0.46,0.11,0.33,16.7,0,0,0,3.8,3.8,0.09,1.2,1.2
Arne Engels,BEL,MF,Augsburg,18,2003,16.0,0,17,2,11.8,1.06,0.12,0.0,0.0,26.8,2,0,0,0.6,0.6,0.03,-0.6,-0.6
Tjark Ernst,GER,GK,Hertha BSC,19,2003,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kimberly Ezekwem,GER,DF,Freiburg,21,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ralf Fährmann,GER,GK,Schalke 04,33,1988,11.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ohis Felix Uduokhai,GER,DF,Augsburg,24,1997,16.1,0,4,1,25.0,0.25,0.06,0.0,0.0,9.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Edimilson Fernandes,SUI,DF,Mainz 05,26,1996,27.1,0,15,3,20.0,0.55,0.11,0.0,0.0,25.0,4,0,0,0.7,0.7,0.04,-0.7,-0.7
Kilian Fischer,GER,"DF,FW",Wolfsburg,21,2000,5.6,0,3,1,33.3,0.54,0.18,0.0,0.0,19.8,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Mark Flekken,NED,GK,Freiburg,29,1993,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Florian Flick,GER,MF,Schalke 04,22,2000,5.7,0,2,1,50.0,0.35,0.18,0.0,0.0,24.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Emil Forsberg,SWE,"MF,FW",RB Leipzig,30,1991,16.5,6,21,9,42.9,1.28,0.55,0.19,0.44,18.1,1,2,2,4.9,3.3,0.16,1.1,0.7
Philipp Förster,GER,MF,Bochum,27,1995,14.5,3,17,6,35.3,1.17,0.41,0.18,0.5,20.2,2,0,0,1.4,1.4,0.08,1.6,1.6
Timothy Fosu-Mensah,NED,DF,Leverkusen,24,1998,2.1,0,3,2,66.7,1.41,0.94,0.0,0.0,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Raphael Framberger,GER,"DF,FW",Augsburg,26,1995,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bartol Franjić,CRO,MF,Wolfsburg,22,2000,2.5,0,2,2,100.0,0.79,0.79,0.0,0.0,11.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Oscar Fraulo,DEN,"FW,MF",Gladbach,18,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Michael Frey,SUI,FW,Schalke 04,28,1994,9.6,0,27,9,33.3,2.8,0.93,0.0,0.0,15.8,0,0,0,1.7,1.7,0.06,-1.7,-1.7
Marco Friedl,AUT,DF,Werder Bremen,24,1998,28.8,0,6,1,16.7,0.21,0.03,0.0,0.0,20.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Marvin Friedrich,GER,DF,Gladbach,26,1995,13.9,1,9,4,44.4,0.65,0.29,0.11,0.25,12.9,0,0,0,0.9,0.9,0.09,0.1,0.1
Jeremie Frimpong,NED,"DF,MF",Leverkusen,21,2000,30.1,8,38,19,50.0,1.26,0.63,0.21,0.42,11.9,0,0,0,7.6,7.6,0.2,0.4,0.4
Chris Führich,GER,"FW,MF",Stuttgart,24,1998,20.9,5,43,13,30.2,2.05,0.62,0.09,0.31,18.5,0,1,1,3.6,2.9,0.07,1.4,1.1
Angelo Fulgini,FRA,MF,Mainz 05,25,1996,5.8,0,8,4,50.0,1.37,0.69,0.0,0.0,18.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Niclas Füllkrug,GER,FW,Werder Bremen,29,1993,27.5,16,74,32,43.2,2.69,1.16,0.15,0.34,16.0,0,5,5,12.8,8.6,0.12,3.2,2.4
Cristian Gamboa,CRC,DF,Bochum,32,1989,16.4,0,8,1,12.5,0.49,0.06,0.0,0.0,29.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Silvère Ganvoula M'Boussy,CGO,"FW,MF",Bochum,26,1996,2.7,0,9,3,33.3,3.28,1.09,0.0,0.0,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Dario Gebuhr,GER,DF,Eint Frankfurt,19,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dennis Geiger,GER,MF,Hoffenheim,24,1998,21.7,1,5,3,60.0,0.23,0.14,0.2,0.33,24.7,0,0,0,0.2,0.2,0.03,0.8,0.8
Yannick Gerhardt,GER,MF,Wolfsburg,28,1994,20.7,6,27,13,48.1,1.3,0.63,0.22,0.46,12.0,0,0,0,5.7,5.7,0.21,0.3,0.3
Niko Gießelmann,GER,DF,Union Berlin,30,1991,14.5,0,20,3,15.0,1.38,0.21,0.0,0.0,20.2,2,0,0,1.1,1.1,0.06,-1.1,-1.1
Rafał Gikiewicz,POL,GK,Augsburg,34,1987,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matthias Ginter,GER,DF,Freiburg,28,1994,34.0,4,21,11,52.4,0.62,0.32,0.19,0.36,11.1,0,0,0,1.9,1.9,0.09,2.1,2.1
Jamie Gittens,ENG,"FW,MF",Dortmund,17,2004,5.9,3,24,11,45.8,4.05,1.86,0.13,0.27,17.6,0,0,0,2.4,2.4,0.1,0.6,0.6
Serge Gnabry,GER,"FW,MF",Bayern Munich,27,1995,21.6,14,81,40,49.4,3.76,1.85,0.16,0.33,15.5,1,1,1,11.2,10.4,0.13,2.8,2.6
