Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
546,Victor Pálsson,is ISL,DF,Plymouth Argyle,33,1991,19.3,0,4,0,0.0,0.21,0.00,0.00,,10.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
547,Ivor Pandur,hr CRO,GK,Hull City,24,2000,44.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
548,Samuel Parker,wls WAL,"FW,DF",Swansea City,18,2006,1.0,0,2,0,0.0,2.09,0.00,0.00,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
549,Callum Paterson,sct SCO,"FW,MF",Sheffield Weds,29,1994,13.2,6,26,8,30.8,1.97,0.61,0.23,0.75,11.4,0,0,0,4.4,4.4,0.18,+1.6,+1.6,Matches
550,Jamie Paterson,eng ENG,"FW,MF",Coventry City,32,1991,0.9,1,2,1,50.0,2.28,1.14,0.50,1.00,12.0,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
551,Anthony Patterson,eng ENG,GK,Sunderland,24,2000,42.0,0,1,1,100.0,0.02,0.02,0.00,0.00,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
552,Aynsley Pears,eng ENG,GK,Blackburn,26,1998,40.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
553,Ben Pearson,eng ENG,MF,Stoke City,29,1995,6.3,0,1,0,0.0,0.16,0.00,0.00,,25.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
554,Myles Peart-Harris,eng ENG,"FW,MF",Swansea City,21,2002,18.5,3,24,8,33.3,1.30,0.43,0.13,0.38,13.2,0,0,0,3.0,3.0,0.13,0.0,0.0,Matches
555,Sydie Peck,eng ENG,MF,Sheffield Utd,19,2004,32.5,0,39,11,28.2,1.20,0.34,0.00,0.00,18.7,0,0,0,2.1,2.1,0.05,-2.1,-2.1,Matches
556,João Pedro,it ITA,FW,Hull City,32,1992,23.8,6,35,13,37.1,1.47,0.55,0.17,0.46,13.6,0,0,0,5.0,5.0,0.14,+1.0,+1.0,Matches
557,Ashley Phillips,wls WAL,DF,Stoke City,19,2005,34.2,0,12,5,41.7,0.35,0.15,0.00,0.00,9.3,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
558,Joshua Phillips,eng ENG,DF,Luton Town,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
559,Matt Phillips,sct SCO,"MF,FW",Oxford United,33,1991,10.6,0,7,2,28.6,0.66,0.19,0.00,0.00,14.1,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches
560,Nathaniel Phillips,eng ENG,DF,Derby County,27,1997,24.8,1,25,3,12.0,1.01,0.12,0.04,0.33,11.2,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
561,Harry Pickering,eng ENG,DF,Blackburn,25,1998,11.5,0,3,1,33.3,0.26,0.09,0.00,0.00,8.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
562,Erik Pieters,nl NED,DF,Derby County,35,1988,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
563,Joël Piroe,nl NED,FW,Leeds United,24,1999,34.2,19,101,39,38.6,2.95,1.14,0.18,0.46,14.8,2,1,1,16.9,16.1,0.16,+2.1,+1.9,Matches
564,Julio Pleguezuelo,es ESP,DF,Plymouth Argyle,27,1997,21.8,1,4,1,25.0,0.18,0.05,0.25,1.00,8.3,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
565,Matthew Pollock,eng ENG,DF,Watford,22,2001,42.4,2,27,8,29.6,0.64,0.19,0.07,0.25,11.0,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches
566,Regan Poole,wls WAL,DF,Portsmouth,26,1998,23.8,1,5,3,60.0,0.21,0.13,0.20,0.33,7.5,0,0,0,1.0,1.0,0.21,0.0,0.0,Matches
567,Ryan Porteous,sct SCO,DF,Preston,25,1999,9.1,1,8,2,25.0,0.87,0.22,0.13,0.50,8.9,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
568,Ryan Porteous,sct SCO,DF,Watford,25,1999,18.5,2,9,2,22.2,0.49,0.11,0.22,1.00,9.4,0,0,0,1.5,1.5,0.16,+0.5,+0.5,Matches
569,Brad Potts,eng ENG,"DF,MF",Preston,30,1994,22.8,4,29,10,34.5,1.27,0.44,0.14,0.40,15.2,0,0,0,3.1,3.1,0.11,+0.9,+0.9,Matches
570,Freddie Potts,eng ENG,MF,Portsmouth,20,2003,34.0,1,21,4,19.0,0.62,0.12,0.05,0.25,17.7,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
