Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Charlie Crew,WAL,MF,Leeds United,18.0,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ante Crnac,CRO,FW,Norwich City,20.0,2003.0,27.7,2,0,0,32,12,9,9,6,31,0,0,1,75,30,37,44.8
Matt Crooks,ENG,"MF,FW",Hull City,30.0,1994.0,8.8,4,1,1,25,4,5,1,5,10,0,0,0,30,17,24,41.5
Josh Cullen,IRL,MF,Burnley,28.0,1996.0,42.2,11,0,0,57,76,0,38,34,34,2,0,0,234,51,56,47.7
Liam Cullen,WAL,"MF,FW",Swansea City,25.0,1999.0,33.3,8,0,0,41,28,4,15,8,19,0,0,0,88,51,104,32.9
Jamie Cumming,ENG,GK,Oxford United,24.0,1999.0,45.0,1,0,0,1,7,0,0,0,0,0,0,0,24,8,2,80.0
Luke Cundle,ENG,"MF,FW",Millwall,22.0,2002.0,10.9,2,0,0,29,12,1,3,8,8,0,0,0,45,9,21,30.0
Jesper Daland,NOR,DF,Cardiff City,24.0,2000.0,15.9,2,0,0,12,3,2,4,9,6,0,0,0,28,46,32,59.0
Owen Dale,ENG,"MF,FW",Oxford United,25.0,1998.0,3.9,0,0,0,8,4,1,7,4,5,0,0,0,17,2,9,18.2
Harry Darling,ENG,DF,Swansea City,24.0,1999.0,37.1,4,1,0,19,55,8,2,25,14,0,0,0,152,97,52,65.1
Karl Darlow,WAL,GK,Leeds United,33.0,1990.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,4,5,0,100.0
Jay Dasilva,WAL,DF,Coventry City,26.0,1998.0,20.1,2,1,0,21,5,1,49,23,36,0,0,0,91,15,19,44.1
Adam Davies,WAL,GK,Sheffield Utd,32.0,1992.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Isaak Davies,WAL,"FW,MF",Cardiff City,22.0,2001.0,3.2,1,0,0,4,5,1,10,1,6,0,0,0,11,2,15,11.8
Tom Davies,ENG,MF,Sheffield Utd,26.0,1998.0,7.5,4,0,0,9,17,0,5,8,15,1,0,0,27,6,13,31.6
James Debayo,ENG,DF,Leeds United,19.0,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hannes Delcroix,HAI,DF,Swansea City,25.0,1999.0,9.9,2,0,0,12,4,0,1,14,20,0,0,0,36,25,24,51.0
Tom Dele-Bashiru,NGA,MF,Watford,24.0,1999.0,22.9,0,0,0,19,41,0,3,19,17,0,0,0,100,12,16,42.9
Karamoko Dembélé,ENG,"FW,MF",QPR,21.0,2003.0,13.2,2,0,0,11,37,4,57,6,9,0,0,0,48,8,14,36.4
Siriki Dembélé,CIV,"FW,MF",Oxford United,27.0,1996.0,15.2,2,0,0,18,45,4,37,9,17,0,0,0,79,8,20,28.6
Rav van den Berg,NED,DF,Middlesbrough,20.0,2004.0,23.6,4,1,1,15,8,1,1,26,14,0,0,0,87,77,34,69.4
Emmanuel Dennis,NGA,"FW,MF",Blackburn,26.0,1997.0,1.8,3,1,1,6,6,0,2,1,1,0,0,0,8,5,2,71.4
Terry Devlin,NIR,"DF,MF",Portsmouth,20.0,2003.0,17.4,2,0,0,18,25,1,20,38,23,0,0,0,91,62,37,62.6
Ousmane Diakité,MLI,"MF,DF",West Brom,24.0,2000.0,9.6,1,0,0,10,17,0,0,16,14,0,0,0,47,24,21,53.3
Grady Diangana,COD,"FW,MF",West Brom,26.0,1998.0,16.6,1,0,0,22,37,3,13,9,25,0,0,0,56,16,44,26.7
Robert Dickie,ENG,DF,Bristol City,28.0,1996.0,34.7,5,1,0,15,33,0,0,35,25,0,0,0,139,170,72,70.2
Seny Dieng,SEN,GK,Middlesbrough,29.0,1994.0,17.0,0,0,0,0,2,0,0,0,0,0,0,1,34,3,0,100.0
Anfernee Dijksteel,SUR,DF,Middlesbrough,27.0,1996.0,28.1,5,0,0,23,46,0,20,27,41,0,0,1,111,26,34,43.3
Daryl Dike,USA,"FW,MF",West Brom,24.0,2000.0,2.5,1,0,0,8,7,1,0,0,1,0,0,0,5,18,7,72.0
Jaden Dixon,ENG,"FW,DF",Stoke City,17.0,2007.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0
Elijah Dixon-Bonner,ENG,"MF,FW",QPR,23.0,2001.0,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Lewis Dobbin,ENG,FW,Norwich City,21.0,2003.0,7.1,1,0,0,7,10,2,9,0,4,0,0,0,25,7,5,58.3
Lewis Dobbin,ENG,"FW,MF",West Brom,21.0,2003.0,3.8,0,0,0,2,7,1,4,2,3,0,0,0,20,2,9,18.2
Tyrhys Dolan,ENG,"FW,MF",Blackburn,22.0,2001.0,35.3,12,0,0,40,54,19,66,28,40,1,0,0,189,14,34,29.2
Alfie Doughty,ENG,"DF,MF",Luton Town,24.0,1999.0,22.6,5,0,0,34,7,4,275,29,38,0,0,0,134,20,18,52.6
Mamadou Doumbia,MLI,FW,Watford,18.0,2006.0,10.8,2,0,0,25,13,9,2,3,7,2,0,0,15,23,45,33.8
Oliver Dovin,SWE,GK,Coventry City,22.0,2002.0,27.4,1,0,0,0,3,0,0,0,0,0,0,0,44,5,0,100.0
Callum Doyle,ENG,DF,Norwich City,20.0,2003.0,38.2,11,0,0,33,13,0,49,56,33,0,1,0,155,63,50,55.8
Andre Dozzell,ENG,MF,Portsmouth,25.0,1999.0,31.3,11,0,0,45,18,2,49,25,32,0,0,0,101,31,36,46.3
Cody Drameh,ENG,DF,Hull City,22.0,2001.0,18.3,2,0,0,16,23,2,27,19,49,0,0,0,95,25,26,49.0
Shane Duffy,IRL,DF,Norwich City,32.0,1992.0,44.9,4,0,0,27,16,7,4,32,21,0,1,0,129,151,57,72.6
Jimmy Dunne,IRL,DF,QPR,26.0,1997.0,45.0,9,0,0,48,31,7,40,46,70,0,0,1,154,210,117,64.2
Leonard Duru,ENG,DF,Blackburn,19.0,2005.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Pierre Dwomoh,BEL,MF,Watford,20.0,2004.0,5.9,1,0,0,4,6,0,1,16,4,0,0,0,32,6,7,46.2
Lyndon Dykes,SCO,FW,QPR,28.0,1995.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7
George Earthy,ENG,"MF,FW",Bristol City,19.0,2004.0,16.2,3,0,0,17,9,1,24,13,10,0,0,0,51,3,24,11.1
Malcolm Ebiowei,ENG,MF,Oxford United,20.0,2003.0,0.8,1,0,0,2,1,1,3,1,2,0,0,0,3,0,2,0.0
Festy Ebosele,IRL,"DF,MF",Watford,21.0,2002.0,8.4,7,0,0,14,17,2,18,2,19,0,0,0,41,12,16,42.9
Josh Eccles,ENG,MF,Coventry City,24.0,2000.0,26.0,6,0,0,36,33,1,40,23,29,0,0,0,139,26,18,59.1
George Edmundson,ENG,DF,Middlesbrough,26.0,1997.0,23.2,9,0,0,19,14,2,0,22,18,1,0,0,97,35,26,57.4
Joe Edwards,ENG,DF,Plymouth Argyle,33.0,1990.0,12.6,4,1,0,21,18,0,4,17,26,0,1,0,59,17,16,51.5
