Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Daniel Bandeira,POR,MF,Hellas Verona,23,2000,14,3,446,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,9,34,8,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06
Mattia Bani,ITA,DF,Genoa,29,1993,27,27,2306,25.6,2,0,2,2,0,0,9,0,1.2,1.2,0.1,1.3,5,37,4,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05
Antonín Barák,CZE,"MF,FW",Fiorentina,28,1994,21,8,808,9.0,2,3,5,2,0,0,2,0,1.5,1.5,2.2,3.8,17,33,64,0.22,0.33,0.56,0.22,0.56,0.17,0.25,0.42,0.17,0.42
Nicolò Barella,ITA,MF,Inter,26,1997,37,34,2846,31.6,2,3,5,2,0,0,7,0,5.1,5.1,3.4,8.5,68,278,144,0.06,0.09,0.16,0.06,0.16,0.16,0.11,0.27,0.16,0.27
Enzo Barrenechea,ARG,MF,Frosinone,22,2001,36,32,2811,31.2,0,1,1,0,0,0,10,0,0.6,0.6,1.7,2.3,10,155,24,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.07,0.02,0.07
Davide Bartesaghi,ITA,"DF,MF",Milan,17,2005,6,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Baschirotto,ITA,DF,Lecce,26,1996,37,37,3294,36.6,0,1,1,0,0,0,3,1,1.7,1.5,0.7,2.1,28,96,3,0.0,0.03,0.03,0.0,0.03,0.05,0.02,0.07,0.04,0.06
Toma Bašić,CRO,MF,Salernitana,26,1996,15,14,1162,12.9,0,0,0,0,0,0,5,0,0.6,0.6,0.5,1.1,11,53,16,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09
Alessandro Bastoni,ITA,DF,Inter,24,1999,28,28,2268,25.2,1,3,4,1,0,0,5,0,1.2,1.2,3.4,4.6,63,142,77,0.04,0.12,0.16,0.04,0.16,0.05,0.13,0.18,0.05,0.18
Simone Bastoni,ITA,"MF,DF",Empoli,26,1996,16,9,745,8.3,1,0,1,1,0,0,3,0,0.4,0.4,0.5,0.9,12,31,26,0.12,0.0,0.12,0.12,0.12,0.05,0.06,0.11,0.05,0.11
Reda Belahyane,MAR,MF,Hellas Verona,19,2004,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Raoul Bellanova,ITA,DF,Torino,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,2.0,2.0,5.0,7.1,141,98,202,0.03,0.21,0.24,0.03,0.24,0.06,0.15,0.21,0.06,0.21
Andrea Belotti,ITA,FW,Fiorentina,29,1993,15,11,949,10.5,3,0,3,3,0,0,0,0,3.7,3.7,0.7,4.4,10,15,60,0.28,0.0,0.28,0.28,0.28,0.35,0.07,0.41,0.35,0.41
Andrea Belotti,ITA,FW,Roma,29,1993,14,6,679,7.5,3,2,5,3,0,0,1,0,2.4,2.4,1.2,3.6,15,8,49,0.4,0.27,0.66,0.4,0.66,0.32,0.16,0.48,0.32,0.48
Lucas Beltrán,ARG,"FW,MF",Fiorentina,22,2001,32,21,1692,18.8,6,2,8,5,1,1,6,0,3.8,3.0,1.5,4.5,12,49,113,0.32,0.11,0.43,0.27,0.37,0.2,0.08,0.28,0.16,0.24
Ismaël Bennacer,ALG,MF,Milan,25,1997,20,13,1151,12.8,2,2,4,1,1,1,2,0,1.7,0.9,2.5,3.3,24,68,33,0.16,0.16,0.31,0.08,0.23,0.13,0.19,0.32,0.07,0.26
Domenico Berardi,ITA,FW,Sassuolo,28,1994,17,17,1431,15.9,9,3,12,4,5,5,6,0,6.5,2.6,3.0,5.6,38,83,123,0.57,0.19,0.75,0.25,0.44,0.41,0.19,0.6,0.16,0.35
Bartosz Bereszyński,POL,DF,Empoli,31,1992,24,22,1762,19.6,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,15,69,18,0.0,0.05,0.05,0.0,0.05,0.0,0.02,0.02,0.0,0.02
Etrit Berisha,ALB,GK,Empoli,34,1989,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medon Berisha,ALB,"FW,MF",Lecce,19,2003,6,2,205,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,7,3,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18
