Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Dwight McNeil,ENG,"MF,FW",Everton,24.0,1999.0,15.2,461,619,74.5,8501,2790,215,246,87.4,165,200,82.5,70,136,51.5,6,5.2,4.3,0.8,37,40,36,10,69
Scott McTominay,SCO,MF,Manchester Utd,27.0,1996.0,0.2,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1
Ben Mee,ENG,DF,Brentford,34.0,1989.0,2.0,93,120,77.5,1751,688,34,38,89.5,51,60,85.0,8,20,40.0,0,0.0,0.0,0.0,0,10,0,0,11
Jayden Meghoma,ENG,DF,Brentford,18.0,2006.0,0.1,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Mikel Merino,ESP,"MF,FW",Arsenal,28.0,1996.0,17.6,451,577,78.2,6182,1776,285,328,86.9,128,165,77.6,17,31,54.8,2,2.0,1.2,0.0,17,40,24,4,69
Shumaira Mheuka,ENG,MF,Chelsea,16.0,2007.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Nikola Milenković,SRB,DF,Nott'ham Forest,26.0,1997.0,37.0,850,1033,82.3,17093,6325,258,293,88.1,475,538,88.3,103,167,61.7,2,1.1,0.5,0.9,9,53,2,0,51
Lewis Miley,ENG,MF,Newcastle Utd,18.0,2006.0,3.5,168,191,88.0,2439,402,94,105,89.5,59,61,96.7,7,10,70.0,0,0.0,0.3,0.0,1,11,4,0,17
James Milner,ENG,MF,Brighton,38.0,1986.0,1.9,55,74,74.3,899,347,26,28,92.9,23,30,76.7,4,11,36.4,0,0.2,0.2,-0.2,4,3,1,1,10
Tyrone Mings,ENG,DF,Aston Villa,31.0,1993.0,12.4,596,676,88.2,10642,3364,234,256,91.4,323,342,94.4,34,64,53.1,0,0.2,0.2,-0.2,3,48,5,0,40
Yankuba Minteh,GAM,"FW,MF",Brighton,20.0,2004.0,20.4,348,557,62.5,5531,1843,200,257,77.8,107,172,62.2,31,67,46.3,4,5.0,5.0,-1.0,29,14,36,9,48
Tyrick Mitchell,ENG,DF,Crystal Palace,24.0,1999.0,34.4,976,1355,72.0,15688,5986,509,600,84.8,383,512,74.8,61,147,41.5,5,6.4,3.7,-1.4,41,51,33,16,70
Kaoru Mitoma,JPN,"FW,MF",Brighton,27.0,1997.0,28.9,749,988,75.8,9777,2226,505,579,87.2,189,265,71.3,23,52,44.2,4,4.6,4.0,-0.6,37,36,36,8,89
Jakub Moder,POL,MF,Brighton,25.0,1999.0,0.1,18,22,81.8,254,82,10,14,71.4,8,8,100.0,0,0,,0,0.2,0.5,-0.2,3,0,1,1,4
Jeremy Monga,ENG,"FW,MF",Leicester City,15.0,2009.0,1.2,18,29,62.1,215,53,13,15,86.7,5,6,83.3,0,3,0.0,0,0.0,0.0,0.0,1,2,1,0,3
Mikey Moore,ENG,FW,Tottenham,16.0,2007.0,4.1,67,96,69.8,853,226,42,45,93.3,18,30,60.0,2,7,28.6,1,0.3,0.6,0.7,3,2,5,1,9
Morato,BRA,DF,Nott'ham Forest,23.0,2001.0,10.1,238,309,77.0,3987,1931,107,123,87.0,108,129,83.7,15,35,42.9,0,0.0,0.0,0.0,0,19,0,0,19
Álex Moreno,ESP,"DF,MF",Nott'ham Forest,31.0,1993.0,10.6,308,428,72.0,4574,1911,184,210,87.6,95,148,64.2,14,40,35.0,1,1.3,1.1,-0.3,8,25,9,2,34
Sam Morsy,EGY,MF,Ipswich Town,32.0,1991.0,30.6,1249,1445,86.4,20142,5579,637,686,92.9,502,546,91.9,79,139,56.8,1,1.2,1.5,-0.2,24,149,17,4,120
Yerson Mosquera,COL,DF,Wolves,23.0,2001.0,4.9,205,240,85.4,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,0,0.1,0.0,-0.1,2,16,1,1,7
Mason Mount,ENG,MF,Manchester Utd,25.0,1999.0,6.9,207,253,81.8,3015,709,120,138,87.0,58,71,81.7,13,18,72.2,0,0.6,0.6,-0.6,8,19,8,2,33
Divin Mubama,ENG,FW,Manchester City,19.0,2004.0,0.3,2,3,66.7,44,18,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Mykhailo Mudryk,UKR,FW,Chelsea,23.0,2001.0,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5
Marshall Munetsi,ZIM,"MF,FW",Wolves,28.0,1996.0,12.0,152,212,71.7,1898,390,95,122,77.9,43,57,75.4,3,6,50.0,1,1.8,1.1,-0.8,9,7,3,2,10
Rodrigo Muniz,BRA,FW,Fulham,23.0,2001.0,10.7,92,142,64.8,1540,528,46,68,67.6,31,45,68.9,11,13,84.6,1,0.7,0.2,0.3,7,13,3,0,27
Daniel Muñoz,COL,DF,Crystal Palace,28.0,1996.0,35.9,1129,1492,75.7,17091,5219,645,753,85.7,414,538,77.0,48,108,44.4,5,5.5,3.6,-0.5,46,59,35,15,97
Arijanet Muric,KVX,GK,Ipswich Town,25.0,1998.0,18.0,454,633,71.7,11705,8247,122,122,100.0,215,221,97.3,115,283,40.6,0,0.0,0.0,0.0,0,14,0,0,1
Murillo,BRA,DF,Nott'ham Forest,22.0,2002.0,35.4,1138,1450,78.5,22680,10645,420,466,90.1,535,609,87.8,161,327,49.2,0,1.2,1.1,-1.2,13,139,13,1,115
Jacob Murphy,ENG,FW,Newcastle Utd,29.0,1995.0,26.2,688,1004,68.5,10412,3438,411,484,84.9,218,320,68.1,43,109,39.4,12,8.9,6.2,3.1,42,58,41,15,83
Vitaliy Mykolenko,UKR,DF,Everton,25.0,1999.0,34.2,986,1322,74.6,16470,6579,510,571,89.3,369,500,73.8,87,193,45.1,2,2.6,2.2,-0.6,24,102,40,24,110
Iliman Ndiaye,SEN,FW,Everton,24.0,2000.0,27.0,602,736,81.8,9038,1875,349,402,86.8,200,230,87.0,38,55,69.1,0,1.9,1.4,-1.9,18,42,14,5,59
Wilfred Ndidi,NGA,MF,Leicester City,27.0,1996.0,25.8,839,1045,80.3,12034,3031,463,530,87.4,282,343,82.2,39,73,53.4,5,1.9,1.5,3.1,17,68,11,3,70
Kosta Nedeljković,SRB,DF,Aston Villa,18.0,2005.0,1.4,47,53,88.7,853,185,22,23,95.7,21,25,84.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,0,6
Reiss Nelson,ENG,FW,Arsenal,24.0,1999.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Reiss Nelson,ENG,FW,Fulham,24.0,1999.0,5.4,232,268,86.6,3429,761,136,147,92.5,77,91,84.6,12,19,63.2,1,1.0,1.0,0.0,13,7,15,3,35
Neto,BRA,GK,Bournemouth,35.0,1989.0,2.0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,0,0.0,0.0,0.0,0,2,0,0,0
Pedro Neto,POR,FW,Chelsea,24.0,2000.0,25.2,702,895,78.4,11347,2418,347,373,93.0,267,326,81.9,60,127,47.2,6,6.7,4.8,-0.7,46,30,37,23,60
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,25.0,1999.0,11.5,179,241,74.3,2722,563,95,120,79.2,60,75,80.0,14,20,70.0,1,1.7,0.9,-0.7,13,11,5,0,19
Christopher Nkunku,FRA,FW,Chelsea,26.0,1997.0,10.2,299,334,89.5,3928,760,185,202,91.6,95,103,92.2,6,6,100.0,2,2.1,1.0,-0.1,14,26,7,0,25
Gustavo Nunes,BRA,"FW,MF",Brentford,18.0,2005.0,0.1,1,1,100.0,15,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Matheus Nunes,POR,"DF,MF",Manchester City,25.0,1998.0,18.6,1065,1234,86.3,16409,2994,598,651,91.9,398,458,86.9,53,81,65.4,6,4.4,3.3,1.6,23,53,26,7,79
Darwin Núñez,URU,FW,Liverpool,25.0,1999.0,12.6,163,230,70.9,2390,587,89,111,80.2,48,65,73.8,13,20,65.0,2,1.3,0.5,0.7,11,9,3,1,27
Ethan Nwaneri,ENG,"FW,MF",Arsenal,17.0,2007.0,9.9,342,425,80.5,4906,1216,216,234,92.3,93,121,76.9,19,37,51.4,2,1.2,1.8,0.8,16,17,16,6,33
Christian Nørgaard,DEN,MF,Brentford,30.0,1994.0,31.3,1164,1427,81.6,19339,6409,584,668,87.4,483,568,85.0,79,133,59.4,4,1.3,1.4,2.7,18,137,27,4,154
Jake O'Brien,IRL,DF,Everton,23.0,2001.0,17.5,577,725,79.6,10580,3946,245,274,89.4,260,317,82.0,63,98,64.3,0,0.6,0.3,-0.6,6,41,8,5,50
Matt O'Riley,DEN,MF,Brighton,23.0,2000.0,10.4,316,413,76.5,5018,1362,161,182,88.5,108,133,81.2,30,63,47.6,2,2.4,2.0,-0.4,21,30,8,1,38
Dara O'Shea,IRL,DF,Ipswich Town,25.0,1999.0,34.7,1234,1579,78.2,24503,10549,395,453,87.2,694,811,85.6,133,270,49.3,2,0.5,0.7,1.5,3,89,4,1,80
Chidozie Obi-Martin,DEN,FW,Manchester Utd,16.0,2007.0,1.8,20,24,83.3,259,49,10,11,90.9,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
Wilson Odobert,FRA,"FW,MF",Tottenham,19.0,2004.0,9.4,212,274,77.4,2878,567,139,150,92.7,54,73,74.0,8,12,66.7,0,1.0,0.8,-1.0,6,11,12,3,27
Chiedozie Ogbene,IRL,FW,Ipswich Town,27.0,1997.0,2.6,32,43,74.4,415,27,20,24,83.3,8,10,80.0,1,1,100.0,0,0.1,0.0,-0.1,2,0,0,0,0
