Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Odsonne Édouard,FRA,FW,Leicester City,26.0,1998.0,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
Samuel Edozie,ENG,"DF,FW",Southampton,21.0,2003.0,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
Ronnie Edwards,ENG,DF,Southampton,21.0,2003.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,22.0,2002.0,27.8,827,697,126,31,3,0,185,6,86,43,39,0,540,4,24
Harvey Elliott,ENG,MF,Liverpool,21.0,2003.0,4.1,292,267,22,2,1,3,12,8,6,3,1,0,240,3,4
Yunus Emre Konak,TUR,"FW,MF",Brentford,18.0,2006.0,0.5,36,35,1,0,0,0,0,1,0,0,0,0,26,0,1
Julio Enciso,PAR,"MF,FW",Ipswich Town,20.0,2004.0,9.7,248,210,37,8,4,0,21,2,13,11,1,0,171,1,11
Julio Enciso,PAR,"MF,FW",Brighton,20.0,2004.0,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5
Wataru Endo,JPN,"MF,DF",Liverpool,31.0,1993.0,3.0,194,188,6,2,0,0,1,4,0,0,0,0,182,0,2
Christian Eriksen,DEN,MF,Manchester Utd,32.0,1992.0,11.8,749,645,102,31,8,8,85,5,62,24,20,5,590,2,6
Romain Esse,ENG,MF,Crystal Palace,19.0,2005.0,1.5,42,42,0,0,1,0,0,0,0,0,0,0,32,0,1
Pervis Estupiñán,ECU,DF,Brighton,26.0,1998.0,26.7,1610,1370,237,20,0,5,119,180,37,23,9,3,1338,3,28
Evanilson,BRA,FW,Bournemouth,24.0,1999.0,25.8,342,337,4,1,4,4,0,0,0,0,0,0,244,1,11
Jake Evans,ENG,FW,Leicester City,15.0,2008.0,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Jonny Evans,NIR,DF,Manchester Utd,36.0,1988.0,3.5,217,197,20,5,0,0,0,3,0,0,0,0,192,0,1
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26.0,1998.0,28.8,1047,849,180,70,11,6,112,3,62,39,10,0,777,18,17
Łukasz Fabiański,POL,GK,West Ham,39.0,1985.0,12.9,495,351,143,43,0,0,0,0,0,0,0,0,332,1,0
Wout Faes,BEL,DF,Leicester City,26.0,1998.0,31.3,1564,1507,54,27,2,7,5,6,0,0,0,0,1376,3,7
Abdul Fatawu Issahaku,GHA,FW,Leicester City,20.0,2004.0,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18
João Félix,POR,"FW,MF",Chelsea,24.0,1999.0,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
Evan Ferguson,IRL,FW,West Ham,19.0,2004.0,1.7,37,35,1,0,1,1,0,0,0,0,0,0,28,1,0
Evan Ferguson,IRL,FW,Brighton,19.0,2004.0,2.7,58,52,5,0,0,0,0,0,0,0,0,0,43,1,1
Bruno Fernandes,POR,MF,Manchester Utd,29.0,1994.0,33.5,2242,1988,237,98,31,22,186,19,91,44,22,5,1707,17,55
Mateus Fernandes,POR,MF,Southampton,20.0,2004.0,32.3,1361,1184,175,61,9,10,113,10,54,39,14,0,1087,2,36
Enzo Fernández,ARG,MF,Chelsea,23.0,2001.0,32.7,1900,1757,134,53,14,26,109,4,74,44,12,1,1518,9,46
Mark Flekken,NED,GK,Brentford,31.0,1993.0,36.4,1717,1367,343,131,0,5,0,0,0,0,0,0,1254,7,0
Phil Foden,ENG,"MF,FW",Manchester City,24.0,2000.0,19.7,941,854,83,21,7,2,80,5,46,30,8,1,791,4,26
Wesley Fofana,FRA,DF,Chelsea,23.0,2000.0,13.0,803,758,44,23,0,0,1,20,0,0,0,0,724,1,4
Carlos Forbs,POR,"MF,FW",Wolves,20.0,2004.0,2.7,91,89,2,0,0,0,9,2,0,0,0,0,60,0,9
Fraser Forster,ENG,GK,Tottenham,36.0,1988.0,7.0,198,125,72,16,0,1,0,0,0,0,0,0,168,1,0
Matheus França,BRA,"MF,FW",Crystal Palace,20.0,2004.0,0.6,17,14,1,0,0,0,1,0,0,0,0,0,10,2,1
Ryan Fraser,SCO,"FW,DF",Southampton,30.0,1994.0,3.4,103,97,5,0,0,0,12,3,2,2,0,0,77,1,2
Tyler Fredricson,ENG,DF,Manchester Utd,19.0,2005.0,1.8,122,119,3,3,0,0,0,0,0,0,0,0,110,0,2
Niclas Füllkrug,GER,FW,West Ham,31.0,1993.0,8.8,198,190,7,0,0,2,1,0,0,0,0,0,133,1,7
Cody Gakpo,NED,FW,Liverpool,25.0,1999.0,21.5,634,616,16,4,3,4,74,11,1,0,0,0,480,2,10
Idrissa Gana Gueye,SEN,MF,Everton,34.0,1989.0,34.0,1422,1388,27,7,2,7,7,7,0,0,0,0,1230,7,22
