Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Bradley Dack,ENG,"MF,FW",Blackburn,28.0,1993.0,13.5,10,4,3,5,2,4,13,30.8,9,16,1,15,3,13,17,1
Leon Dajaku,GER,"FW,MF",Sunderland,21.0,2001.0,2.2,3,0,3,0,0,0,1,0.0,1,3,0,3,0,3,1,0
Ameen Al-Dakhil,BEL,DF,Burnley,20.0,2002.0,7.5,8,3,6,2,0,5,13,38.5,8,2,1,1,11,19,30,0
Vontae Daley Campbell,ENG,DF,Cardiff City,21.0,2001.0,0.7,1,1,0,1,0,0,0,,0,1,0,1,0,1,4,0
Scott Dann,ENG,DF,Reading,35.0,1987.0,7.3,6,3,5,1,0,3,9,33.3,6,8,7,1,5,11,32,0
Tendayi Darikwa,ZIM,DF,Wigan Athletic,30.0,1991.0,30.8,61,36,36,18,7,32,63,50.8,31,35,12,23,36,97,50,1
Harry Darling,ENG,DF,Swansea City,22.0,1999.0,25.5,17,11,9,7,1,8,21,38.1,13,27,20,7,10,27,75,2
Karl Darlow,WAL,GK,Hull City,31.0,1990.0,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2
Jay Dasilva,WAL,DF,Bristol City,24.0,1998.0,29.0,42,28,26,12,4,22,39,56.4,17,18,5,13,22,64,34,0
Adam Davies,WAL,GK,Sheffield Utd,30.0,1992.0,6.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Isaak Davies,WAL,"FW,MF",Cardiff City,20.0,2001.0,3.1,4,3,0,2,2,0,0,,0,5,0,5,2,6,0,0
Keinan Davis,ENG,FW,Watford,24.0,1998.0,26.6,18,15,3,11,4,7,16,43.8,9,16,6,10,3,21,21,0
Harlee Dean,ENG,DF,Birmingham City,31.0,1991.0,13.5,10,8,9,1,0,6,9,66.7,3,12,9,3,19,29,70,0
Troy Deeney,ENG,FW,Birmingham City,34.0,1988.0,23.2,29,21,9,13,7,10,23,43.5,13,11,4,7,5,34,16,0
Liam Delap,ENG,FW,Stoke City,19.0,2003.0,14.0,4,4,1,2,1,2,6,33.3,4,7,2,5,1,5,10,0
Liam Delap,ENG,FW,Preston,19.0,2003.0,6.9,3,2,1,1,1,0,6,0.0,6,2,0,2,1,4,2,0
Tom Dele-Bashiru,NGA,MF,Watford,22.0,1999.0,3.9,3,2,0,2,1,0,3,0.0,3,4,0,4,3,6,2,0
Emmanuel Dennis,NGA,"MF,FW",Watford,24.0,1997.0,1.9,3,2,0,3,0,1,2,50.0,1,1,1,0,1,4,2,0
Halil Dervişoğlu,TUR,"MF,FW",Burnley,22.0,1999.0,0.8,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,1,0
Bambo Diaby,SEN,DF,Preston,24.0,1997.0,10.6,9,4,6,1,2,7,13,53.8,6,12,4,8,25,34,43,2
Amad Diallo,CIV,"FW,MF",Sunderland,20.0,2002.0,28.7,31,16,10,16,5,10,24,41.7,14,22,2,20,28,59,11,1
Jack Diamond,ENG,MF,Sunderland,22.0,2000.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Grady Diangana,COD,FW,West Brom,24.0,1998.0,21.5,41,23,17,17,7,23,40,57.5,17,48,2,46,10,51,17,0
Brahima Diarra,MLI,"MF,FW",Huddersfield,19.0,2003.0,9.0,17,8,4,6,7,10,19,52.6,9,13,1,12,5,22,5,0
Robert Dickie,ENG,DF,QPR,26.0,1996.0,33.7,54,34,38,15,1,25,34,73.5,9,36,26,10,68,122,135,2
Seny Dieng,SEN,GK,QPR,27.0,1994.0,46.0,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,26,4
Anfernee Dijksteel,SUR,DF,Middlesbrough,25.0,1996.0,10.4,22,14,11,11,0,5,9,55.6,4,12,3,9,8,30,25,0
Daryl Dike,USA,FW,West Brom,22.0,2000.0,13.4,5,2,3,1,1,1,5,20.0,4,9,1,8,1,6,15,0
Elijah Dixon-Bonner,ENG,MF,QPR,21.0,2001.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Greg Docherty,SCO,"MF,FW",Hull City,25.0,1996.0,21.7,44,30,19,18,7,20,46,43.5,26,34,10,24,16,60,25,0
Tyrhys Dolan,ENG,"FW,MF",Blackburn,20.0,2001.0,21.9,44,26,23,17,4,18,41,43.9,23,16,0,16,8,52,16,0
Kenneth Dougall,AUS,MF,Blackpool,29.0,1993.0,28.6,75,43,41,32,2,27,59,45.8,32,31,9,22,25,100,46,1
Alfie Doughty,ENG,"DF,FW",Luton Town,22.0,1999.0,24.1,55,31,34,17,4,25,47,53.2,22,41,4,37,20,75,37,0
Kieran Dowell,ENG,"MF,FW",Norwich City,24.0,1997.0,12.3,17,8,4,12,1,9,31,29.0,22,18,1,17,8,25,2,1
Callum Doyle,ENG,DF,Coventry City,18.0,2003.0,37.8,71,43,46,22,3,42,73,57.5,31,51,23,28,51,122,126,0
Tommy Doyle,ENG,MF,Sheffield Utd,20.0,2001.0,20.6,31,20,16,11,4,14,35,40.0,21,27,2,25,17,48,33,0
Andre Dozzell,ENG,"MF,FW",QPR,23.0,1999.0,20.4,35,25,13,16,6,14,39,35.9,25,13,2,11,20,55,23,0
Cody Drameh,ENG,DF,Luton Town,20.0,2001.0,14.4,50,32,17,24,9,24,49,49.0,25,29,3,26,17,67,39,0
Aaron Drewe,ENG,"DF,FW",QPR,21.0,2001.0,5.1,8,4,6,2,0,5,10,50.0,5,12,5,7,8,16,17,0
Jimmy Dunne,IRL,DF,QPR,24.0,1997.0,37.6,41,26,25,14,2,17,28,60.7,11,35,25,10,48,89,179,1
Lyndon Dykes,SCO,FW,QPR,26.0,1995.0,32.8,22,15,4,10,8,8,21,38.1,13,38,7,31,6,28,50,0
Tom Eaves,ENG,FW,Rotherham Utd,30.0,1992.0,6.4,10,9,6,3,1,3,9,33.3,6,3,1,2,3,13,2,1
