Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Max Power,ENG,MF,Wigan Athletic,29.0,1993.0,45,45,4026,44.7,1,3,4,0,1,1,8,0,1.9,1.1,6.8,7.9,74,294,90,0.02,0.07,0.09,0.0,0.07,0.04,0.15,0.19,0.02,0.18
Cameron Pring,ENG,DF,Bristol City,24.0,1998.0,32,29,2673,29.7,1,6,7,1,0,0,7,0,1.6,1.6,4.3,5.9,61,109,55,0.03,0.2,0.24,0.03,0.24,0.05,0.15,0.2,0.05,0.2
Alex Pritchard,ENG,"MF,FW",Sunderland,29.0,1993.0,40,28,2431,27.0,4,6,10,4,0,0,4,0,4.7,4.7,5.8,10.4,56,112,126,0.15,0.22,0.37,0.15,0.37,0.17,0.21,0.39,0.17,0.39
Teemu Pukki,FIN,FW,Norwich City,32.0,1990.0,41,33,2932,32.6,10,7,17,10,0,1,2,0,12.4,11.6,5.6,17.1,66,32,229,0.31,0.21,0.52,0.31,0.52,0.38,0.17,0.55,0.36,0.53
Przemysław Płacheta,POL,"DF,FW",Birmingham City,24.0,1998.0,5,5,439,4.9,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.7,21,13,21,0.21,0.0,0.21,0.21,0.21,0.09,0.05,0.14,0.09,0.14
Domingos Quina,POR,MF,Rotherham Utd,22.0,1999.0,8,3,324,3.6,0,0,0,0,0,0,2,1,0.2,0.2,0.4,0.6,5,14,16,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.05,0.16
Baba Rahman,GHA,"DF,FW",Reading,28.0,1994.0,18,13,1211,13.5,0,0,0,0,0,0,5,0,0.4,0.4,0.2,0.6,24,28,38,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04
Joe Ralls,ENG,MF,Cardiff City,28.0,1993.0,41,30,2497,27.7,1,2,3,1,0,1,7,0,2.8,2.0,3.2,5.2,24,148,58,0.04,0.07,0.11,0.04,0.11,0.1,0.11,0.22,0.07,0.19
Aaron Ramsey,ENG,"MF,FW",Norwich City,19.0,2003.0,18,13,1033,11.5,3,3,6,3,0,0,0,0,3.2,3.2,2.5,5.6,23,44,87,0.26,0.26,0.52,0.26,0.52,0.28,0.22,0.49,0.28,0.49
Aaron Ramsey,ENG,"FW,MF",Middlesbrough,19.0,2003.0,11,8,669,7.4,5,1,6,5,0,0,1,0,2.9,2.9,1.2,4.0,26,50,38,0.67,0.13,0.81,0.67,0.81,0.39,0.15,0.54,0.39,0.54
