Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
214,Kion Etete,eng ENG,FW,Cardiff City,21,2001,12.1,13,6,3,8,2,4,10,40.0,6,19,0,19,10,23,19,0,Matches
215,Neil Etheridge,ph PHI,GK,Birmingham City,33,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
216,Ched Evans,wls WAL,"FW,MF",Preston,34,1988,8.3,2,2,0,0,2,2,10,20.0,8,4,1,3,4,6,2,0,Matches
217,Corry Evans,nir NIR,MF,Sunderland,33,1990,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
218,George Evans,eng ENG,MF,Millwall,28,1994,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
219,Lee Evans,wls WAL,MF,Ipswich Town,29,1994,0.7,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,5,0,Matches
220,Milan van Ewijk,nl NED,DF,Coventry City,22,2000,34.4,89,64,48,31,10,37,61,60.7,24,39,7,32,51,140,68,1,Matches
221,Wout Faes,be BEL,DF,Leicester City,25,1998,42.5,58,36,31,24,3,29,42,69.0,13,56,35,21,59,117,133,2,Matches
222,Akin Famewo,eng ENG,DF,Sheffield Weds,24,1998,29.2,60,41,29,23,8,35,53,66.0,18,43,16,27,41,101,80,0,Matches
223,Christian Fassnacht,ch SUI,"FW,MF",Norwich City,29,1993,20.2,49,32,25,21,3,23,55,41.8,32,31,2,29,23,72,27,0,Matches
224,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,19,2004,31.3,61,42,33,16,12,27,51,52.9,24,40,7,33,20,81,39,0,Matches
225,Tom Fellows,eng ENG,"FW,MF",West Brom,20,2003,16.6,13,6,5,3,5,5,14,35.7,9,11,1,10,5,18,9,0,Matches
226,Shane Ferguson,nir NIR,"DF,FW",Rotherham Utd,32,1991,2.0,8,6,2,4,2,7,8,87.5,1,5,1,4,3,11,7,0,Matches
227,Sam Field,eng ENG,MF,QPR,25,1998,38.5,72,47,23,40,9,41,66,62.1,25,62,18,44,63,135,94,0,Matches
228,Sonny Finch,eng ENG,FW,Middlesbrough,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
229,Junior Firpo,do DOM,DF,Leeds United,26,1996,19.8,59,41,25,23,11,41,58,70.7,17,25,5,20,25,84,40,0,Matches
