Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Joe Walsh,ENG,GK,QPR,21.0,2002.0,1.0,51,45,51,0,0,0,51,0,0,,0,,33,126,38,0,0,0,0,0,29,0
Liam Walsh,ENG,"MF,FW",Swansea City,25.0,1997.0,6.3,434,6,43,212,181,18,434,10,2,20.0,8,80.0,226,930,430,11,17,2,21,9,304,50
Christian Walton,ENG,GK,Ipswich Town,27.0,1995.0,0.0,2,1,2,0,0,0,2,0,0,,0,,2,11,3,0,0,0,0,0,1,0
Danny Ward,ENG,FW,Huddersfield,31.0,1991.0,12.7,260,10,21,127,117,49,260,12,7,58.3,5,41.7,144,523,164,5,4,2,32,8,192,40
James Ward-Prowse,ENG,MF,Southampton,28.0,1994.0,1.0,123,3,10,58,55,6,123,1,1,100.0,0,0.0,50,347,145,3,2,0,0,0,101,9
Jaden Warner,ENG,DF,Norwich City,20.0,2002.0,1.7,120,12,69,46,6,0,120,3,2,66.7,1,33.3,81,418,204,1,0,0,1,0,86,0
Lewis Warrington,ENG,MF,Plymouth Argyle,20.0,2002.0,0.6,38,3,15,20,3,0,38,1,0,0.0,1,100.0,22,71,12,0,0,0,1,0,27,0
Duncan Watmore,ENG,"MF,FW",Millwall,29.0,1994.0,18.8,629,9,52,280,306,85,629,53,20,37.7,30,56.6,399,2855,1226,50,44,23,61,38,430,116
Tom Watson,ENG,FW,Sunderland,17.0,2006.0,0.0,6,0,1,2,3,0,6,0,0,,0,,2,31,17,2,0,0,0,0,3,1
Andreas Weimann,AUT,"FW,MF",West Brom,31.0,1991.0,4.6,122,8,14,58,52,18,122,7,3,42.9,4,57.1,66,316,144,3,3,2,8,3,87,12
Andreas Weimann,AUT,"FW,MF",Bristol City,31.0,1991.0,9.1,262,9,44,125,97,22,262,6,2,33.3,4,66.7,135,733,305,11,9,5,15,5,166,40
Finley Welch,ENG,FW,Norwich City,18.0,2004.0,0.0,1,0,0,1,0,0,1,0,0,,0,,1,2,0,0,0,0,0,1,2,0
Nahki Wells,BER,FW,Bristol City,33.0,1990.0,16.9,508,7,32,214,268,70,506,39,17,43.6,21,53.8,264,1472,527,24,7,13,40,13,330,96
Adam Wharton,ENG,MF,Blackburn,19.0,2004.0,21.7,1481,50,379,708,403,15,1481,33,17,51.5,8,24.2,837,3345,1752,22,24,4,29,24,1057,44
Scott Wharton,ENG,DF,Blackburn,25.0,1997.0,23.1,1666,233,913,720,45,24,1666,10,9,90.0,1,10.0,906,4529,2987,14,7,0,11,6,1040,3
Jack Whatmough,ENG,"DF,MF",Preston,26.0,1996.0,14.0,645,88,325,286,36,17,645,4,1,25.0,2,50.0,266,1083,558,5,2,0,5,1,320,4
Ben Whiteman,ENG,MF,Preston,27.0,1996.0,25.9,1475,70,315,907,261,16,1475,6,2,33.3,4,66.7,708,2727,1049,11,8,6,16,5,875,16
Morgan Whittaker,ENG,"FW,MF",Plymouth Argyle,22.0,2001.0,44.1,1905,33,217,815,905,140,1905,175,57,32.6,98,56.0,1192,8451,3936,142,65,78,119,76,1333,304
Ben Wiles,ENG,"FW,MF",Rotherham Utd,24.0,1999.0,2.0,46,3,11,14,21,4,46,8,3,37.5,4,50.0,20,73,18,1,1,0,5,3,22,5
Ben Wiles,ENG,MF,Huddersfield,24.0,1999.0,20.4,745,21,117,388,250,29,745,41,19,46.3,21,51.2,378,1775,782,26,18,3,44,14,426,68
Mallik Wilks,ENG,"FW,MF",Sheffield Weds,24.0,1998.0,3.1,128,2,12,55,65,12,128,13,7,53.8,6,46.2,81,483,244,12,7,5,22,10,91,28
Brandon Williams,ENG,DF,Ipswich Town,22.0,2000.0,8.9,631,31,254,283,100,6,631,20,9,45.0,8,40.0,328,1911,914,18,14,1,14,9,344,9
Joe Williams,ENG,MF,Bristol City,26.0,1996.0,28.4,1883,90,356,1128,417,17,1883,31,12,38.7,18,58.1,899,3577,1360,22,31,0,48,27,1150,44
