Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Damián Bobadilla,PAR,MF,São Paulo,23,2001,23.3,1045,1206,86.7,17959,4884,484,536,90.3,435,483,90.1,100,121,82.6,2,1.4,2.2,0.6,22,120,31,2,125
Yannick Bolasie,COD,"FW,MF",Cruzeiro,35,1989,2.0,28,59,47.5,440,142,14,26,53.8,11,21,52.4,1,3,33.3,1,0.3,0.0,0.7,1,2,0,0,4
Gabriel Bontempo,BRA,"MF,FW",Santos,20,2005,11.1,396,468,84.6,6207,1807,210,231,90.9,162,187,86.6,18,25,72.0,1,1.7,0.9,-0.7,13,36,7,1,58
Thiago Borbas,URU,"FW,MF",RB Bragantino,22,2002,6.4,92,135,68.1,1240,247,56,72,77.8,28,39,71.8,4,7,57.1,1,0.8,0.3,0.2,8,6,2,0,8
Daniel Borges,BRA,DF,Mirassol,31,1993,10.0,421,527,79.9,7073,2624,210,231,90.9,172,209,82.3,31,64,48.4,2,1.8,1.6,0.2,17,19,12,8,22
Marllon Borges,BRA,DF,Ceará,32,1992,23.1,643,746,86.2,13158,4983,187,201,93.0,362,393,92.1,88,133,66.2,0,0.0,0.1,0.0,2,27,1,0,36
Pedro Borges,BRA,MF,Fortaleza,27,1997,0.4,23,25,92.0,410,90,9,9,100.0,12,13,92.3,2,2,100.0,0,0.0,0.0,0.0,0,3,1,0,3
Pedro Borges,BRA,MF,Sport Recife,27,1997,5.6,232,265,87.5,3646,984,113,126,89.7,106,115,92.2,7,14,50.0,0,0.1,0.2,-0.1,3,24,4,0,25
Rafael Borré,COL,FW,Internacional,29,1995,20.1,287,379,75.7,3962,679,164,199,82.4,91,113,80.5,13,24,54.2,2,1.2,1.4,0.8,14,23,1,0,24
Lucas Braga,BRA,"FW,DF",Vitória,28,1996,10.8,235,294,79.9,3593,999,126,144,87.5,85,104,81.7,16,28,57.1,0,0.7,0.8,-0.7,5,19,5,0,29
Bilal Brahimi,ALG,FW,Santos,24,2000,0.2,9,13,69.2,162,69,3,3,100.0,5,7,71.4,1,3,33.3,0,0.0,0.0,0.0,1,1,0,0,3
Martin Braithwaite,DEN,FW,Grêmio,33,1991,16.2,201,265,75.8,3067,569,109,136,80.1,72,92,78.3,12,16,75.0,1,0.8,0.8,0.2,16,18,5,0,27
Gabriel Brazão,BRA,GK,Santos,24,2000,37.7,624,856,72.9,17472,12409,125,125,100.0,305,308,99.0,193,418,46.2,0,0.2,0.0,-0.2,1,7,0,0,0
Brenno,BRA,GK,Fortaleza,25,1999,15.0,207,343,60.3,7509,6662,32,32,100.0,63,64,98.4,111,245,45.3,0,0.1,0.0,-0.1,2,4,0,0,0
Breno,BRA,"FW,MF",Fortaleza,29,1996,25.3,594,766,77.5,9535,1756,311,350,88.9,215,265,81.1,51,94,54.3,3,3.1,3.0,-0.1,43,50,25,9,82
Breno,BRA,MF,Corinthians,19,2005,28.0,1121,1300,86.2,19007,4387,520,572,90.9,461,503,91.7,100,140,71.4,1,2.1,1.4,-1.1,28,135,12,3,135
Emanuel Brítez,ARG,DF,Fortaleza,32,1992,17.7,561,708,79.2,10272,4487,232,257,90.3,270,305,88.5,52,118,44.1,1,0.3,0.5,0.7,6,54,6,3,46
Bruninho,BRA,MF,Fortaleza,19,2005,0.8,24,30,80.0,360,60,16,17,94.1,6,8,75.0,1,3,33.3,0,0.1,0.0,-0.1,1,2,0,0,1
Fabrício Bruno,BRA,DF,Cruzeiro,28,1996,32.8,1335,1542,86.6,28507,12126,369,405,91.1,713,763,93.4,237,331,71.6,0,0.6,0.6,-0.6,5,123,7,1,124
Gustavo Caballero,PAR,"FW,DF",Santos,23,2001,3.7,53,85,62.4,829,184,31,39,79.5,11,23,47.8,6,9,66.7,1,0.7,0.6,0.3,1,4,5,3,4
Arthur Cabral,BRA,FW,Botafogo (RJ),26,1998,16.0,154,203,75.9,2228,467,88,105,83.8,53,69,76.8,7,13,53.8,2,1.0,0.5,1.0,17,10,8,0,25
Cacá,BRA,DF,Corinthians,25,1999,15.6,967,1022,94.6,19465,5571,237,249,95.2,612,628,97.5,108,129,83.7,0,0.2,0.4,-0.2,2,37,1,0,38
Raúl Cáceres,PAR,DF,Vitória,33,1991,18.7,506,717,70.6,8906,4093,240,277,86.6,197,268,73.5,55,122,45.1,2,1.7,1.0,0.3,15,46,14,9,47
Cadu,BRA,DF,Atlético Mineiro,20,2004,0.1,2,2,100.0,19,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Calebe,BRA,MF,Fortaleza,24,2000,2.5,67,84,79.8,931,280,40,47,85.1,20,27,74.1,4,6,66.7,0,0.4,0.3,-0.4,5,8,1,0,6
Jonathan Calleri,ARG,FW,São Paulo,31,1993,1.3,12,14,85.7,181,41,9,10,90.0,2,2,100.0,1,1,100.0,0,0.1,0.1,-0.1,1,1,1,0,2
João Camargo,BRA,FW,Flamengo,17,2007,0.2,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Camilo,BRA,"MF,DF",Grêmio,25,1999,8.2,212,267,79.4,3533,1145,103,118,87.3,88,109,80.7,15,27,55.6,0,0.1,0.1,-0.1,1,23,2,0,17
Camutanga,BRA,DF,Vitória,31,1993,13.8,320,373,85.8,6205,2260,106,113,93.8,180,193,93.3,31,59,52.5,0,0.0,0.1,0.0,0,13,2,0,17
Luan Cândido,BRA,DF,Sport Recife,23,2001,14.6,443,561,79.0,7373,2811,206,226,91.2,194,235,82.6,34,76,44.7,0,0.6,0.4,-0.6,10,38,5,3,45
Germán Cano,ARG,FW,Fluminense,36,1988,16.6,263,353,74.5,4060,688,155,193,80.3,74,92,80.4,24,38,63.2,0,0.7,0.8,-0.7,9,20,5,2,29
Agustín Canobbio,URU,"FW,MF",Fluminense,26,1998,23.4,605,783,77.3,8322,2066,375,428,87.6,169,213,79.3,26,59,44.1,2,3.5,2.5,-1.5,27,33,24,4,54
Aitor Cantalapiedra,ESP,"MF,FW",Vitória,28,1996,14.2,280,427,65.6,4802,1674,146,171,85.4,99,142,69.7,29,87,33.3,3,3.1,2.8,-0.1,28,24,16,6,40
Juninho Capixaba,BRA,DF,RB Bragantino,27,1997,21.9,1046,1311,79.8,19529,7928,420,486,86.4,485,570,85.1,124,192,64.6,1,4.4,4.5,-3.4,31,109,30,9,143
Johan Carbonero,COL,"FW,MF",Internacional,25,1999,16.2,368,467,78.8,5285,1463,227,272,83.5,110,132,83.3,18,33,54.5,2,3.7,2.5,-1.7,26,29,22,2,74
Felipe Cardoso,BRA,FW,Vitória,21,2003,0.9,14,19,73.7,245,130,7,8,87.5,6,8,75.0,1,1,100.0,0,0.1,0.1,-0.1,1,0,3,2,1
Edson Carioca,BRA,FW,Mirassol,27,1997,13.0,157,218,72.0,2089,650,91,119,76.5,50,69,72.5,6,9,66.7,2,1.8,2.1,0.2,18,12,13,4,31
Igor Cariús,BRA,DF,Sport Recife,31,1993,19.2,586,821,71.4,9530,4253,293,352,83.2,245,321,76.3,36,94,38.3,0,0.7,1.7,-0.7,10,39,17,7,68
Carlinhos,BRA,FW,Vitória,27,1997,1.8,26,36,72.2,341,104,15,19,78.9,8,11,72.7,0,0,,0,0.0,0.0,0.0,0,6,0,0,6
Antonio Carlos,BRA,DF,Sport Recife,31,1993,3.0,112,121,92.6,2317,830,22,23,95.7,77,80,96.3,10,11,90.9,0,0.0,0.0,0.0,0,3,0,0,4
Jean Carlos Vicente,BRA,"MF,FW",Juventude,32,1992,2.3,40,70,57.1,726,286,19,23,82.6,15,19,78.9,6,23,26.1,0,0.6,0.5,-0.6,5,8,0,0,6
Ruan Carneiro,BRA,GK,Juventude,34,1990,4.0,91,123,74.0,2573,1462,1,1,100.0,61,61,100.0,29,59,49.2,0,0.0,0.0,0.0,0,0,0,0,0
Jorge Carrascal,COL,"FW,MF",Flamengo,26,1998,9.1,303,390,77.7,4582,1381,178,202,88.1,87,106,82.1,27,52,51.9,5,1.8,2.0,3.2,19,31,19,5,42
André Carrillo,PER,MF,Corinthians,33,1991,14.2,841,942,89.3,15533,3843,326,346,94.2,397,437,90.8,99,120,82.5,0,1.4,2.0,-1.4,14,87,9,4,87
Gabriel Carvalho,BRA,FW,Internacional,17,2007,0.8,34,40,85.0,505,163,16,18,88.9,9,10,90.0,4,4,100.0,0,0.0,0.0,0.0,0,4,1,0,6
Cássio,BRA,GK,Cruzeiro,37,1987,34.3,556,746,74.5,15386,9902,90,90,100.0,270,274,98.5,192,376,51.1,0,0.0,0.0,0.0,1,10,0,0,0
Iury de Castilho,BRA,FW,Mirassol,29,1995,5.5,69,87,79.3,1034,256,38,41,92.7,21,27,77.8,5,7,71.4,0,0.2,0.2,-0.2,3,5,3,0,14
Caue,BRA,DF,RB Bragantino,18,2006,0.5,27,29,93.1,517,121,12,12,100.0,12,14,85.7,3,3,100.0,1,0.1,0.0,0.9,1,1,1,1,4
Murilo Cerqueira,BRA,DF,Palmeiras,27,1997,18.4,836,959,87.2,17406,6860,223,254,87.8,489,521,93.9,116,159,73.0,1,1.0,1.1,0.0,7,80,4,3,65
Julio Cesar,BRA,DF,Fluminense,18,2006,2.0,81,103,78.6,1145,420,49,52,94.2,27,37,73.0,2,5,40.0,1,0.2,0.1,0.8,4,3,2,2,3
Kayky Chagas,BRA,"FW,MF",Bahia,21,2003,9.9,300,372,80.6,4253,897,187,218,85.8,90,105,85.7,16,21,76.2,2,1.4,1.9,0.6,14,21,14,1,32
Gabriel Chapecó,BRA,GK,Grêmio,24,2000,6.0,110,159,69.2,3209,2284,22,22,100.0,48,48,100.0,39,88,44.3,0,0.0,0.0,0.0,1,1,0,0,0
Chico,BRA,"MF,FW",Mirassol,33,1991,3.9,109,143,76.2,1481,452,76,88,86.4,24,34,70.6,6,15,40.0,1,0.5,0.5,0.5,5,12,8,1,16
Chico,BRA,DF,Sport Recife,26,1998,11.8,461,559,82.5,8487,3140,181,200,90.5,238,273,87.2,38,70,54.3,0,0.2,0.2,-0.2,3,45,1,0,42
Christian,BRA,FW,Cruzeiro,24,2000,26.2,440,590,74.6,5958,1674,265,313,84.7,136,175,77.7,14,35,40.0,2,3.9,1.3,-1.9,20,32,12,1,62
