Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Deivid Washington,BRA,FW,Santos,19,2005,6.2,152,2,5,70,80,24,152,11,1,9.1,10,90.9,88,499,172,5,4,2,5,7,109,33
José Welison,BRA,MF,Fortaleza,29,1995,4.9,270,19,66,167,40,2,270,1,1,100.0,0,0.0,134,508,156,2,4,0,2,4,160,7
João Wellington,BRA,"FW,MF",Cruzeiro,21,2004,1.5,68,3,11,26,32,1,68,5,3,60.0,1,20.0,43,248,89,2,3,0,5,5,43,5
Wendell,BRA,MF,Vitória,19,2005,0.7,30,1,11,15,4,0,30,0,0,,0,,15,35,4,0,0,0,0,1,17,2
Wendell,BRA,DF,São Paulo,31,1993,9.3,571,34,166,268,147,17,571,14,6,42.9,7,50.0,276,1434,865,25,8,1,10,2,320,48
Wesley,BRA,"FW,MF",Internacional,25,1999,13.7,566,12,66,226,285,57,566,54,23,42.6,24,44.4,363,2368,1167,49,29,17,32,29,403,116
Wesley,BRA,DF,Flamengo,21,2003,10.9,784,15,130,333,327,24,784,30,15,50.0,11,36.7,477,2388,1205,35,19,11,25,13,544,124
Weverson,BRA,DF,Fortaleza,24,2000,2.4,129,5,37,51,42,6,129,2,1,50.0,1,50.0,68,282,132,2,3,1,5,2,77,12
Wéverton,BRA,GK,Palmeiras,37,1987,26.0,815,648,806,9,0,0,815,0,0,,0,,474,2637,1490,0,0,0,0,0,401,0
William,BRA,DF,Cruzeiro,29,1995,25.3,1721,99,511,628,598,34,1721,60,25,41.7,34,56.7,822,3872,1988,41,37,5,35,19,896,149
Willian,BRA,MF,Vitória,31,1993,15.7,617,45,168,370,84,22,617,3,2,66.7,1,33.3,262,1009,447,3,3,0,23,10,349,17
Willian,BRA,"MF,FW",Grêmio,36,1988,3.4,245,1,16,121,110,6,244,11,3,27.3,6,54.5,157,917,438,12,10,3,6,6,197,26
Estêvão Willian,BRA,"MF,FW",Palmeiras,17,2007,9.2,431,0,42,146,257,39,431,66,21,31.8,39,59.1,264,2403,1211,48,34,25,29,17,288,93
Mateus Xavier,BRA,"FW,MF",Santos,17,2007,0.4,14,0,1,7,7,1,14,2,1,50.0,1,50.0,9,67,26,1,0,0,3,1,9,4
Samuel Xavier,BRA,DF,Fluminense,34,1990,26.5,1823,73,504,875,458,25,1823,18,8,44.4,9,50.0,991,4548,2449,55,38,5,13,13,1198,86
Yago,BRA,MF,Mirassol,29,1995,7.0,400,5,84,223,101,12,400,8,1,12.5,3,37.5,239,1264,597,9,14,2,12,7,290,22
Yago,BRA,MF,Internacional,17,2007,0.8,47,2,6,23,18,1,47,1,1,100.0,0,0.0,21,115,20,1,1,0,0,5,30,6
Young,BRA,GK,São Paulo,22,2002,3.0,74,66,72,1,1,1,74,1,1,100.0,0,0.0,40,126,48,0,0,0,1,0,23,0
Vinícius Zanocelo,BRA,MF,Ceará,24,2001,12.1,674,34,145,418,121,9,674,14,8,57.1,4,28.6,375,1844,907,8,15,1,9,6,431,11
Lukas Zuccarello,BRA,FW,Vasco da Gama,18,2006,0.3,13,0,4,5,4,2,13,0,0,,0,,6,35,13,0,0,0,1,1,8,5
