Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Julio Cesar,BRA,DF,Fluminense,18,2006,2.0,3,2,2,1,0,2,2,100.0,0,0,0,0,4,7,5,0
Kayky Chagas,BRA,"FW,MF",Bahia,21,2003,9.9,22,9,11,8,3,6,17,35.3,11,12,1,11,5,27,5,0
Gabriel Chapecó,BRA,GK,Grêmio,24,2000,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0
Chico,BRA,"MF,FW",Mirassol,33,1991,3.9,12,8,1,8,3,5,14,35.7,9,4,0,4,5,17,2,1
Chico,BRA,DF,Sport Recife,26,1998,11.8,19,11,12,7,0,14,20,70.0,6,13,10,3,12,31,93,2
Christian,BRA,FW,Cruzeiro,24,2000,26.2,36,18,10,20,6,19,33,57.6,14,29,3,26,20,56,25,0
Cipriano,BRA,DF,Juventude,22,2002,2.1,2,1,1,1,0,1,3,33.3,2,3,1,2,4,6,8,0
Claudinho,BRA,DF,Vitória,24,2000,10.0,21,10,14,7,0,14,25,56.0,11,13,5,8,10,31,26,1
Clayson,BRA,FW,Mirassol,29,1995,2.8,2,1,1,1,0,1,5,20.0,4,3,0,3,1,3,0,0
Clayton,BRA,DF,Internacional,24,2000,8.5,10,6,6,4,0,3,6,50.0,3,18,11,7,10,20,45,1
Cleiton,BRA,DF,Flamengo,21,2003,0.9,3,2,1,2,0,1,1,100.0,0,2,2,0,2,5,7,0
Mateus Cocão,BRA,MF,Vasco da Gama,22,2002,6.6,19,9,8,10,1,9,18,50.0,9,2,2,0,11,30,12,2
Igor Coronado,BRA,MF,Corinthians,32,1992,3.8,7,1,1,3,3,4,8,50.0,4,3,1,2,2,9,2,0
Joaquín Correa,ARG,"MF,FW",Botafogo (RJ),30,1994,10.0,12,8,3,8,1,4,18,22.2,14,5,0,5,2,14,1,0
Francisco da Costa,BRA,FW,Mirassol,29,1995,13.2,2,1,0,1,1,0,5,0.0,5,6,4,2,1,3,14,0
Philippe Coutinho,BRA,MF,Vasco da Gama,32,1992,26.7,23,11,6,11,6,11,26,42.3,15,17,3,14,7,30,9,0
Lucas Crispim,BRA,"MF,FW",Fortaleza,30,1994,4.7,2,1,0,0,2,1,3,33.3,2,7,2,5,2,4,3,0
Franco Cristaldo,ARG,"MF,FW",Grêmio,28,1996,14.0,23,14,7,8,8,13,27,48.1,14,14,3,11,5,28,13,1
Gustavo Cuellar,COL,MF,Grêmio,32,1992,9.8,30,21,13,13,4,11,26,42.3,15,11,0,11,12,42,16,2
Tomás Cuello,ARG,"FW,MF",Atlético Mineiro,24,2000,13.4,25,15,8,9,8,9,16,56.3,7,5,2,3,7,32,7,0
Carlos Cuesta,COL,DF,Vasco da Gama,25,1999,12.1,18,12,14,3,1,7,10,70.0,3,10,6,4,13,31,62,1
Cuiabano,BRA,"DF,MF",Botafogo (RJ),21,2003,17.0,34,27,18,12,4,13,27,48.1,14,19,4,15,21,55,33,1
Jair Cunha,BRA,DF,Botafogo (RJ),19,2005,11.0,14,11,10,4,0,8,12,66.7,4,9,6,3,11,25,63,2
Lucas Cunha,BRA,DF,Sport Recife,28,1997,4.8,5,2,3,2,0,5,10,50.0,5,6,5,1,7,12,20,0
Danielzinho,BRA,MF,Mirassol,30,1994,36.3,60,40,24,33,3,20,37,54.1,17,33,16,17,23,83,54,3
Danilo,BRA,"MF,FW",Botafogo (RJ),23,2001,9.2,18,8,9,5,4,9,24,37.5,15,9,2,7,9,27,6,1
Danilo,BRA,DF,Flamengo,33,1991,15.7,10,8,6,4,0,5,12,41.7,7,10,6,4,14,24,59,0
David,BRA,FW,Vasco da Gama,29,1995,8.3,9,5,3,3,3,6,10,60.0,4,8,0,8,5,14,5,2
Matheus Davó,BRA,"FW,MF",Mirassol,25,1999,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Giorgian De Arrascaeta,URU,"MF,FW",Flamengo,30,1994,26.1,34,15,10,16,8,11,24,45.8,13,12,2,10,7,41,10,0
Nicolás De La Cruz,URU,MF,Flamengo,27,1997,11.3,21,14,13,8,0,12,20,60.0,8,6,2,4,7,28,8,1
