Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Lucas Mugni,ARG,MF,Ceará,33,1992,19.0,2,20,4,20.0,1.05,0.21,0.1,0.5,18.8,4,0,0,2.0,2.0,0.11,0.0,0.0
Alex Muralha,BRA,GK,Mirassol,35,1989,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bruno Nascimento,BRA,FW,Palmeiras,27,1997,3.8,2,6,4,66.7,1.58,1.06,0.33,0.5,11.3,0,0,0,0.8,0.8,0.13,1.2,1.2
Nata,BRA,"DF,MF",Juventude,23,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Natanael,BRA,DF,Atlético Mineiro,23,2002,23.8,1,19,6,31.6,0.8,0.25,0.05,0.17,22.5,0,0,0,0.6,0.6,0.03,0.4,0.4
Nathan,BRA,DF,Internacional,23,2001,1.0,0,1,0,0.0,1.0,0.0,0.0,,14.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Nathan,BRA,"MF,FW",Grêmio,28,1996,1.0,0,3,2,66.7,3.0,2.0,0.0,0.0,26.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Kaiky Naves,BRA,DF,Palmeiras,22,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gui Negão,BRA,"FW,MF",Corinthians,17,2007,10.5,3,13,5,38.5,1.24,0.48,0.23,0.6,13.2,0,0,0,2.6,2.6,0.2,0.4,0.4
Felipe Negrucci,BRA,"DF,MF",São Paulo,20,2004,2.5,0,1,0,0.0,0.4,0.0,0.0,,6.5,0,0,0,0.0,0.0,0.05,0.0,0.0
Negueba,BRA,"FW,MF",Mirassol,25,1999,24.0,7,54,20,37.0,2.25,0.83,0.13,0.35,20.5,1,0,0,4.1,4.1,0.08,2.9,2.9
Edison Negueba,BRA,"FW,MF",Juventude,24,2000,1.2,1,6,3,50.0,5.05,2.52,0.17,0.33,11.8,0,0,0,1.0,1.0,0.16,0.0,0.0
Nenê,BRA,"FW,MF",Juventude,43,1981,11.2,3,22,10,45.5,1.96,0.89,0.05,0.1,27.3,7,2,2,3.3,1.7,0.08,-0.3,-0.7
Neris,BRA,DF,Vitória,32,1992,5.9,0,5,2,40.0,0.84,0.34,0.0,0.0,11.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Rodrigo Nestor,BRA,MF,Bahia,24,2000,9.7,5,21,12,57.1,2.16,1.23,0.24,0.42,25.0,7,0,0,1.2,1.2,0.06,3.8,3.8
Neto,BRA,GK,Botafogo (RJ),35,1989,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
José Vitor Silva Neves,BRA,FW,Mirassol,24,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Newton,BRA,MF,Botafogo (RJ),24,2000,16.6,1,18,5,27.8,1.08,0.3,0.06,0.2,27.2,0,0,0,0.5,0.5,0.03,0.5,0.5
Neymar,BRA,"FW,MF",Santos,32,1992,17.0,8,54,23,42.6,3.18,1.35,0.11,0.26,19.1,12,2,2,8.6,7.0,0.13,-0.6,-1.0
Nicolas,BRA,DF,Ceará,27,1997,6.6,0,4,1,25.0,0.61,0.15,0.0,0.0,23.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Nicolas,BRA,DF,São Paulo,17,2007,0.5,0,1,0,0.0,2.0,0.0,0.0,,17.3,0,0,0,0.0,0.0,0.05,0.0,0.0
